SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0	dcf1
0	1.6e-05	0.001	0.00024	0.0014	4.7e-06	0	1	0	0.0014	0	0	0	0	0	4.8e-06	0	0	0	6	0.26	0.24
1	0	0.0031	0	0.092	0	0	0.81	0	0.092	0	0	0	0	0	0	3.8e-05	0	0	6	0.26	0.24
2	0	0.0032	0.0004	0.49	0	0	0.02	0	0.49	0	0	0	0	0	0	0	0	0	3	0.42	0.36
3	0	0	0	0	0	0	0	0	0	0.004	6.3e-06	0	1	0	0	0	0	0	12	0.087	0
4	0.00015	0.0018	0.071	0.00071	4.4e-05	0	0.93	0	0.00071	0	0	0	0	0	4.5e-05	0	0	0	6	0.26	0.24
5	0.0023	0.00021	0.041	1.3e-05	0.00065	0	0.96	0	1.3e-05	0	0	0	0	0	0.00067	0	1.9e-05	0	6	0.26	0.24
6	3.5e-05	6.7e-05	1.7e-05	0	1e-05	0	1	0	0	0	0	0	0	0	1e-05	0	0	0	6	0.26	0.24
7	0	0.00024	0	6.5e-06	0	0	1	0	6.5e-06	0	0	0	0	0	0	0	0	0	6	0.26	0.24
8	0	0	0	0	0	0	3.1e-05	0	0	0.00011	1	0	0	0	0	0	0	0	10	0.14	0.053
9	6.7e-05	0.0016	0.003	0.037	1.9e-05	0	0.92	0	0.037	0	0.00011	0	0	0	1.9e-05	0	0	0	6	0.26	0.24
10	0	0.00012	1.6e-06	0.42	0	0	0.17	0	0.42	0	0	0	0	0	0	0	0	0	3	0.42	0.36
11	1.5e-06	0	0	0	0	0	1.8e-05	0	0	0.0029	0.00045	0	1	0	0	0	0	0	12	0.087	0
12	0	8.9e-05	0	0.5	0	0	0.0058	0	0.5	0	0	0	0	0	0	0	0	0	3	0.42	0.36
13	0	0.0004	0	0.38	0	0	0.24	0	0.38	0	0	0	0	0	0	0	0	0	3	0.42	0.36
14	0	0	0	8.3e-06	0	0	1.2e-05	0	8.3e-06	0	0	0	0	0	0	1	0	0	15	1	0.24
15	0	0.0018	0	0.016	0	0	0.97	0	0.016	0	0	0	0	0	0	0	0	0	6	0.26	0.24
16	6.7e-05	0.0018	0.012	0.0039	1.9e-05	0	0.98	0	0.0039	0	0	0	0	0	1.9e-05	0	0	0	6	0.26	0.24
17	0.00037	0.00047	0.0053	0.00062	0.00011	0	0.99	0	0.00062	0	8.7e-05	0	0	0	0.00011	0	0	0	6	0.26	0.24
