SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0	dcf1
0	0.97	0.0021	3.4e-05	0	0	0	0	0	0.023	0	0	0	0.00046	0	0.00023	3.3e-06	0	0	0.26	0.24
1	0.76	0.14	0	0	0	0	0	0	0.067	0.0059	0	0	0.03	0	0	0	0	0	0.26	0.24
2	0.019	0.75	0	0	0	0	0	0	0.071	0	0	0	0.16	0	0.00037	0	0	1	0.42	0.36
3	0	0	0	0	0.99	5e-06	0	0	0	0	0	0.0077	0	0	0	0	0	4	0.087	0
4	0.89	0.0011	0.00031	0	0	0	0	0	0.042	0	0	0	0.00024	0	0.067	3.1e-05	0	0	0.26	0.24
5	0.95	2.1e-05	0.0048	0	0	0	0	1.7e-05	0.0049	0	0	0	4.6e-06	0	0.039	0.00047	0	0	0.26	0.24
6	1	0	7.5e-05	0	0	0	0	0	0.0016	0	0	0	0	0	1.6e-05	7.3e-06	0	0	0.26	0.24
7	0.99	1e-05	0	0	0	0	0	0	0.0056	0	0	0	0	0	0	0	0	0	0.26	0.24
8	3.7e-05	0	0	0	0	0.98	0	0	0	0	0	0.019	0	0	0	0	0	5	0.14	0.053
9	0.89	0.058	0.00014	0	0	8.6e-05	0	0	0.038	0.00027	0	0	0.012	0	0.0029	1.3e-05	0	0	0.26	0.24
10	0.17	0.68	0	0	0	0	0	0	0.0029	0	0	0	0.15	0	1.6e-06	0	0	1	0.42	0.36
11	1.8e-05	0	3.1e-06	0	0.98	0.00036	0	0	0	0	0	0.019	0	0	0	0	0	4	0.087	0
12	0.0059	0.82	0	0	0	0	0	0	0.0022	0	0	0	0.17	0	0	0	0	1	0.42	0.36
13	0.24	0.62	0	0	0	0	0	0	0.0094	0	0	0	0.13	0	0	0	0	1	0.42	0.36
14	0.00044	0.00052	0	0	0	0	0	0	4.5e-05	1	0	0	0.00011	0	0	0	0	9	0.74	0.24
15	0.93	0.025	0	0	0	0	0	0	0.041	0.00066	0	0	0.0054	0	0	0	0	0	0.26	0.24
16	0.94	0.0061	0.00014	0	0	0	0	0	0.04	0	0	0	0.0013	0	0.011	1.3e-05	0	0	0.26	0.24
17	0.98	0.00099	0.00078	0	0	6.9e-05	0	0	0.011	0	0	0	0.00021	0	0.0051	7.6e-05	0	0	0.26	0.24
18	0.43	0.46	0	0	0	0	0	0	0.011	0	0	0	0.099	0	0	0	0	1	0.42	0.36
19	0.96	0.0021	0.0002	0	0	0	0	0	0.031	0	0	0	0.00044	0	0.0041	1.9e-05	0	0	0.26	0.24
20	0.99	1.1e-05	0.00039	0	0	0	0	0	0.0073	0	0	0	2.4e-06	0	0.0013	3.8e-05	0	0	0.26	0.24
21	0.84	0.1	0	0	0	0	0	0	0.031	0.00021	0	0	0.022	0	3.3e-05	0	0	0	0.26	0.24
22	0	0	0	0	0	0.27	0	0	0	0	0	0.72	0	0	0	0	0.0019	11	0.087	0.027
23	0.99	2.3e-06	0.0014	0	0	0.0027	0	0	0.0016	0	0	0	0	0	0.00038	0.00013	0	0	0.26	0.24
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	0.029	0.08
25	0	0	0	0	0.99	0	0	0	0	0	0	0.0067	0	0	0	0	0	4	0.087	0
26	0.89	0.08	0	0	0	0	0	0	0.015	0.0003	0	0	0.017	0	0	0	0	0	0.26	0.24
27	1	0	0.00021	0	0	0	0	0	0.0041	0	0	0	0	0	0.00047	2e-05	0	0	0.26	0.24
28	0.84	0.065	0	0	0	0	0	0	0.084	0	0	0	0.014	0	0	0	0	0	0.26	0.24
29	0	0	0	0	0.99	4.4e-05	0	0	0	0	0	0.011	0	0	0	0	0	4	0.087	0
30	0.99	0	0.00025	0	0	0	0	0	0.0042	0	0	0	0	0	0.00069	2.5e-05	0	0	0.26	0.24
31	0.73	0.16	0	0	0	0	0	0	0.071	0.00083	0	0	0.035	0	3.3e-05	0	0	0	0.26	0.24
32	0.73	0.19	0	0	0	0	0	0	0.03	1.2e-06	0	0	0.041	0	2.2e-05	0	0	0	0.26	0.24
33	0.9	0.032	0.00027	0	0	0	0	0	0.054	0	0	0	0.0069	0	0.012	2.6e-05	0	0	0.26	0.24
34	0.7	0.21	0	0	0	0	0	0	0.031	0.016	0	0	0.044	0	7.6e-05	0	0	0	0.26	0.24
35	0.97	0.0053	4.6e-05	0	0	1e-05	0	0	0.026	0	0	0	0.0011	0	0.00029	4.5e-06	0	0	0.26	0.24
36	0	0	0	0	0.97	0.0081	0	0	0	0	0	0.021	0	0	0	0	0	4	0.087	0
37	0.95	0.016	0.00043	0	0	6.8e-05	0	0	0.027	3.2e-06	0	0	0.0035	0	0.0073	4.2e-05	0	0	0.26	0.24
38	0.43	0.32	0	0	0	0	0	0	0.19	0	0	0	0.068	0	0	0	0	0	0.26	0.24
39	0.57	0.25	1.2e-05	0	0	0	0	0	0.13	0	0	0	0.053	0	0.0037	0	0	0	0.26	0.24
40	0.93	0.05	0	0	0	0	0	0	0.007	0	0	0	0.011	0	0	0	0	0	0.26	0.24
41	1	0	0.0011	0	0	0	0	0	0.00052	0	0	0	0	0	0.00044	0.0001	0	0	0.26	0.24
42	1	0	0.00024	0	0	0	0	0	0.0011	0	0	0	0	0	8e-05	2.4e-05	0	0	0.26	0.24
43	0.97	0.0013	0	0	0	0	0	0	0.03	0	0	0	0.00029	0	0	0	0	0	0.26	0.24
44	0.94	0.02	2.5e-05	0	0	0	0	0	0.03	1.3e-05	0	0	0.0043	0	0.00032	0	0	0	0.26	0.24
45	0	0	0	0	0	0.00091	0	0	0	0	0	1	0	0	0	0	0	11	0.087	0.027
