SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0	dcf1
0	0	2.5e-06	0	0	0	0	0	0	1	4e-06	0	0	0	0	0	0	0	0	8	0.2	0.2
1	0	0.099	0.73	0	0.069	0.00034	0.026	0.069	0	6.1e-06	0	0	0.002	0	0	0	0	0	2	0.39	0.34
2	0	0	0.96	0	0	0	0.043	0	0	0	0	0	0	0	0	0	0	0	2	0.39	0.34
3	0	0	0.99	0	0	0	0.0078	0	0	0	0	0	0	0	0	0	0	0	2	0.39	0.34
4	0	0.0031	6.7e-06	0	1.5e-05	1.5e-05	0	1.5e-05	0.096	0.00057	0	0.00024	7.4e-05	0.9	0	0	0	0	13	0.08	0.067
5	0	0.77	0.063	0	0.029	0.0033	0.0016	0.029	0.062	0.014	0	0	0.025	0	0	0	0	0	1	0.32	0.27
6	0	0.18	0.5	0	0.077	2.8e-05	0.0064	0.077	3.2e-05	0	0	0	0.15	0	0	0	0	0	2	0.39	0.34
7	0	0.12	0.74	0	0.049	0.0005	0.039	0.049	1.2e-05	0.00015	0	0	0.0052	0	0	0	0	0	2	0.39	0.34
8	0	0	0	0	0	0	0	0	0	0	0	0.022	0	0	0	0.039	0.94	0	16	0.36	0
9	0	0	0.0007	0.37	0	0	0	0	0	0	0.26	0	0	8.2e-06	0.37	0	0	0	3	0	0.13
10	0	0	0	0	0	0	0	0	0	0	0	0.024	0	0	0	0.76	0.22	4.1e-05	15	0.2	0
11	0	0.26	0.59	0	0.058	0.0015	0.03	0.058	0.00017	0.0014	0	0	0.0082	0	0	0	0	0	2	0.39	0.34
12	0	0.66	0.091	0	0.12	0.0038	0.0011	0.12	0	2.4e-06	0	0	0.00068	0	0	0	0	0	1	0.32	0.27
13	0	0.49	0.055	0	0.22	0.0003	0.00025	0.22	0	0	0	0	0.0065	0	0	0	0	0	1	0.32	0.27
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9e-06	0	1	17	0.08	0
