SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster	dcf0	dcf1
0	0	0	0	0	0.91	0	0	7e-06	0	0.094	0	0	0	0	0	4	0.55	0.43
1	0.13	0	0	0	4.4e-05	0	0.38	0.11	0	0	0	0	0.38	0	0	6	0.39	0.34
2	0	0	0	0	0.0027	0	0.5	0	0	0	0	0	0.5	0	0	6	0.39	0.34
3	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	6	0.39	0.34
4	4.3e-05	0.0065	0	0	0	0	5.1e-06	0.0052	0	0.046	0.94	0	5.1e-06	0	0	10	0.04	0.2
5	0.052	0	0	0	7.7e-06	0	0.031	0.83	0	0.055	0	0	0.031	0	0	7	0.32	0.27
6	0.17	0	0	0	2.7e-05	0	0.3	0.24	0	0.0011	0	0	0.3	0	0	6	0.39	0.34
7	0.092	0	0	0	0.034	0	0.37	0.13	0	3.9e-05	0	0	0.37	0	0	6	0.39	0.34
8	0	0.0022	0	0.039	0	0.9	0	0	0	0	0	0	0	0	0.061	5	0.36	0
9	0	0	0	0	0	0	0.00019	0	0	0	8.7e-05	0	0.00019	1	0	13	0	0.1
10	0	0.024	4e-05	0.74	0	0.2	0	0	0	0	0	0	0	0	0.038	3	0.2	0
11	0.11	0	0	0	0.014	0	0.3	0.28	2.1e-06	0.00033	0	2.1e-06	0.3	0	0	6	0.39	0.34
12	0.22	0	0	0	0	0	0.043	0.7	0	0	0	0	0.043	0	0	7	0.32	0.27
13	0.42	0	0	0	0	0	0.027	0.53	0	0	0	0	0.027	0	0	7	0.32	0.27
14	0	0	1	5.8e-06	0	0	0	0	0	0	0	0	0	0	0	2	0.08	0
15	0	0	0	0	0	0	0	0	0	0	0.00073	0	0	1	0	13	0	0.1
16	0.13	0	0	0	0	0	0.014	0.84	0	6.7e-06	0	0	0.014	0	0	7	0.32	0.27
17	0.08	0	0	0	0	0	0.0095	0.9	2e-06	0.00045	0	2e-06	0.0095	0	0	7	0.32	0.27
18	0	0	0	0	0	0	0	0	0	0	0.00061	0	0	1	0	13	0	0.1
19	0	1	0	0	0	0	0	0	0	2e-05	4.1e-05	0	0	0	0	1	0.2	0.033
20	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0.04	0.2
21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	0.1
22	0.33	0	0	0	0	0	0.013	0.65	0	0	0	0	0.013	0	0	7	0.32	0.27
23	0.12	0	0	0	0	0	0.015	0.84	0	0.0081	0	0	0.015	0	0	7	0.32	0.27
24	0.21	0	0	0	0.00018	0	0.15	0.49	1.1e-06	0.0019	0	1.1e-06	0.15	0	0	7	0.32	0.27
25	0.03	0	0	0	0	0	0.00017	0.97	0	0	0	0	0.00017	0	0	7	0.32	0.27
26	0	0	1	3.1e-05	0	0	0	0	0	0	0	0	0	0	0	2	0.08	0
27	0	1.2e-05	0	0.00033	0	0.97	0	0	0	0	0	0	0	0	0.03	5	0.36	0
28	0	0	0	0	0.0029	0	0.5	0	0	0	0	0	0.5	0	0	6	0.39	0.34
29	0	0	0	0	1.4e-05	0	0.5	0	0	0	0	0	0.5	0	0	6	0.39	0.34
30	0.026	0	0	0	0	0	0.0014	0.97	0	4.9e-06	0	0	0.0014	0	0	7	0.32	0.27
31	0.035	0	0	0	0	0	0.0082	0.95	6.1e-06	0.00014	0	6.1e-06	0.0082	0	0	7	0.32	0.27
32	0.045	2.3e-06	0	0	3.3e-06	0	0.023	0.9	4e-06	0.012	0	4e-06	0.023	0	0	7	0.32	0.27
33	0.054	0	0	0	0.18	0	0.36	0.049	1.3e-06	0	0	1.3e-06	0.36	0	0	6	0.39	0.34
34	0.024	0	0	0	0	0	0.0017	0.66	0	0.31	0	0	0.0017	0	0	7	0.32	0.27
35	0.17	0	0	0	0	0	0.037	0.76	0	0.0012	0	0	0.037	0	0	7	0.32	0.27
36	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.2	0.033
37	0	0.00015	0	0.0021	0	0.96	0	0	0	0	0	0	0	0	0.038	5	0.36	0
38	0	0	0	0	0	0	0	0	0	0	0.00058	0	0	1	0	13	0	0.1
39	0.17	0	0	0	2.2e-06	0	0.061	0.71	1.7e-05	3.3e-05	0	1.7e-05	0.061	0	0	7	0.32	0.27
40	0	0	0	0	0	0	0	0	0	0	2.6e-06	0	0	1	0	13	0	0.1
41	0	0	0	0	0	0	0	0	0	0	0.0055	0	0	0.99	0	13	0	0.1
42	0.061	0.012	0	0	1.8e-06	0	0.013	0.87	8.6e-06	0.033	0	8.6e-06	0.013	0	0	7	0.32	0.27
43	0.18	0	0	0	6.8e-05	0	0.09	0.64	4.3e-06	0.0019	0	4.3e-06	0.09	0	0	7	0.32	0.27
44	0.19	0	0	0	0	0	0.065	0.68	2.1e-06	0.00011	0	2.1e-06	0.065	0	0	7	0.32	0.27
45	0	0.0031	0	0.13	0	0.77	0	0	0	0	0	0	0	0	0.1	5	0.36	0
46	0.21	0	0	0	0.0025	0	0.25	0.28	2.5e-05	6.1e-06	0	2.5e-05	0.25	0	0	7	0.32	0.27
47	0	0	0	0	0	0	0	0.00011	0	1	0	0	0	0	0	9	0.2	0.23
48	0	0	0	0	0	0	0	7.2e-05	0	1	0	0	0	0	0	9	0.2	0.23
49	0.044	0	0	0	0	0	0.0033	0.89	0	0.062	0	0	0.0033	0	0	7	0.32	0.27
50	0.04	0	0	0	0	0	0.0016	0.96	6.5e-05	0	0	6.5e-05	0.0016	0	0	7	0.32	0.27
51	0.36	0	0	0	0	0	0.026	0.58	0	0	0	0	0.026	0	0	7	0.32	0.27
52	0.18	0	0	0	0.0001	0	0.1	0.62	1.6e-05	0.00029	0	1.6e-05	0.1	0	0	7	0.32	0.27
53	0.085	0	0	0	0	0	0.015	0.85	0	0.032	0	0	0.015	0	0	7	0.32	0.27
