k	loglikelihood	observations	parameters	BIC
1	-3755.54	1748	4	7540.95
2	-1921.61	1748	6	3888.02
3	-1502.17	1748	8	3064.06
4	-1430.62	1748	10	2935.9
5	-1345.69	1748	12	2780.97
6	-1249.08	1748	14	2602.69
7	-1246.11	1748	16	2611.68
8	-1241.82	1748	18	2618.04
9	-1212.12	1748	20	2573.56
10	-1212.12	1748	22	2588.49
11	-1203.58	1748	24	2586.34
12	-1203.59	1748	26	2601.29
13	-1203.58	1748	28	2616.21
14	-1186.46	1748	30	2596.9
15	-1186.46	1748	32	2611.83
16	-1192.35	1748	34	2638.54
17	-1183.41	1748	36	2635.6
18	-1185.37	1748	38	2654.45
19	-1192.62	1748	40	2683.89
20	-1185.36	1748	42	2684.3
