SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1
0	0	1	0	0	0	0	0	0	0	0	1	0.2	0.2
1	0	0	0	0.11	0	0.13	0	0	0	0.76	9	0.39	0.34
2	0	0	0	0	0	0	0	0	0	1	9	0.39	0.34
3	0	0	0	0	0	0	0	0	0	1	9	0.39	0.34
4	0	0.95	0	0.024	0.03	0.0002	0	0	0	4.8e-05	1	0.2	0.2
5	0	0.084	0	0.8	0	0.052	0	0	0	0.061	3	0.32	0.27
6	0	5.3e-05	0	0.23	0	0.17	0	0	0	0.6	9	0.39	0.34
7	0	1.8e-05	0	0.13	0	0.096	0	0	0	0.77	9	0.39	0.34
8	0	0	0.96	0	0.0022	0	0.039	0	0	0	2	0.36	0
9	0	0	0	0	0	0	0	0	1	0.00037	8	0	0.1
10	4.1e-05	0	0.22	0	0.025	0	0.76	0	0	0	6	0.2	0
11	0	0.00025	0	0.28	0	0.11	0	0	0	0.61	9	0.39	0.34
12	0	0	0	0.69	0	0.22	0	0	0	0.089	3	0.32	0.27
13	0	0	0	0.52	0	0.42	0	0	0	0.055	3	0.32	0.27
14	1	0	0	0	0	0	5.8e-06	0	0	0	0	0.08	0
15	0	0	0	0	0	0	0	0	1	0	8	0	0.1
16	0	2.1e-06	0	0.83	0	0.14	0	0	0	0.029	3	0.32	0.27
17	0	0.00048	0	0.9	0	0.082	0	0	0	0.02	3	0.32	0.27
18	0	0	0	0	0	0	0	0	1	0	8	0	0.1
19	0	0.00028	0	0	1	0	0	0	0	0	4	0.2	0.033
20	0	1	0	0	0	0	0	0	0	0	1	0.2	0.2
21	0	0	0	0	0	0	0	0	1	0	8	0	0.1
22	0	0	0	0.64	0	0.33	0	0	0	0.026	3	0.32	0.27
23	0	0.0018	0	0.84	0	0.13	0	0	0	0.032	3	0.32	0.27
24	0	0.0012	0	0.48	0	0.22	0	0	0	0.3	3	0.32	0.27
25	0	0	0	0.97	0	0.031	0	0	0	0.00035	3	0.32	0.27
26	1	0	0	0	0	0	3.1e-05	0	0	0	0	0.08	0
27	0	0	1	0	1.1e-05	0	0.00032	0	0	0	2	0.36	0
28	0	0	0	0	0	0	0	0	0	1	9	0.39	0.34
29	0	0	0	0	0	0	0	0	0	1	9	0.39	0.34
30	0	0	0	0.97	0	0.027	0	0	0	0.0028	3	0.32	0.27
31	0	0.0003	0	0.95	0	0.036	0	0	0	0.017	3	0.32	0.27
32	0	0.029	0	0.88	2.3e-06	0.045	0	0	0	0.046	3	0.32	0.27
33	0	0	0	0.059	0	0.066	0	0	0	0.88	9	0.39	0.34
34	0	0.4	0	0.57	0	0.021	0	0	0	0.0031	3	0.32	0.27
35	0	0.00042	0	0.75	0	0.17	0	0	0	0.075	3	0.32	0.27
36	0	0	0	0	1	0	0	0	0	0	4	0.2	0.033
37	0	0	1	0	0.00014	0	0.002	0	0	0	2	0.36	0
38	0	0	0	0	0	0	0	0	1	0	8	0	0.1
39	0	4.3e-05	0	0.7	0	0.17	0	0	0	0.12	3	0.32	0.27
40	0	0	0	0	0	0	0	0	1	0	8	0	0.1
41	0	1.4e-06	0	0	0	0	0	0	1	0	8	0	0.1
42	0	0.11	0	0.8	0.011	0.057	0	0	0	0.024	3	0.32	0.27
43	0	0.002	0	0.63	0	0.18	0	0	0	0.18	3	0.32	0.27
44	0	7.5e-05	0	0.67	0	0.19	0	0	0	0.13	3	0.32	0.27
45	0	0	0.86	0	0.0033	0	0.14	0	0	0	2	0.36	0
46	0	5.5e-06	0	0.27	0	0.22	0	0	0	0.51	9	0.39	0.34
