SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0	dcf1
0	0	1	0	0	0	0	0	1	0.24	0.23
1	0.00085	1.4e-05	1	0	0	0	0	2	0.36	0.3
2	0	0	1	0	0	0	0	2	0.36	0.3
3	0	0	1	0	0	0	0	2	0.36	0.3
4	8.2e-06	0.87	0.014	0	0.11	0	0	1	0.24	0.23
5	0.00052	0.26	0.74	0	0	0	0	2	0.36	0.3
6	0.0015	0.0059	0.99	0	0	0	0	2	0.36	0.3
7	0.00087	0.00087	1	0	0	0	0	2	0.36	0.3
8	0	0	0	0	0.0018	2.9e-05	1	6	0.32	0
9	0	0	0	1	0	0	0	3	0	0.1
10	0	0	0	0	0.032	0.017	0.95	6	0.32	0
11	0.00079	0.0037	1	0	0	0	0	2	0.36	0.3
12	0.0005	0	1	0	0	0	0	2	0.36	0.3
13	0.0022	0	1	0	0	0	0	2	0.36	0.3
14	0	0	0	0	0	1	0	5	0.12	0
15	0	0	0	1	0	0	0	3	0	0.1
16	0.0018	0.003	1	0	0	0	0	2	0.36	0.3
17	0.0016	0.051	0.95	0	0	0	0	2	0.36	0.3
18	0	0	0	1	0	0	0	3	0	0.1
19	0	1.6e-05	0	0	1	0	0	4	0.2	0.033
20	0	1	0	0	0	0	0	1	0.24	0.23
21	0	0	0	1	0	0	0	3	0	0.1
22	0.0038	0.00024	1	0	0	0	0	2	0.36	0.3
23	0.0023	0.17	0.83	0	0	0	0	2	0.36	0.3
24	0.0025	0.025	0.97	0	0	0	0	2	0.36	0.3
25	0.0016	0.0022	1	0	0	0	0	2	0.36	0.3
26	0	0	0	0	0	1	0	5	0.12	0
27	0	0	0	0	2e-05	0	1	6	0.32	0
28	0	0	1	0	0	0	0	2	0.36	0.3
29	0	0	1	0	0	0	0	2	0.36	0.3
30	0.00053	0.0069	0.99	0	0	0	0	2	0.36	0.3
31	0.00045	0.02	0.98	0	0	0	0	2	0.36	0.3
32	0.0005	0.15	0.85	0	2.3e-06	0	0	2	0.36	0.3
33	0.00051	9.6e-05	1	0	0	0	0	2	0.36	0.3
34	0.00023	0.89	0.11	0	0	0	0	1	0.24	0.23
