k	loglikelihood	observations	parameters	BIC
1	-7945.37	870	4	15917.8
2	-1041.77	870	6	2124.14
3	-883.124	870	8	1820.4
4	-807.474	870	10	1682.63
5	-742.229	870	12	1565.68
6	-709.761	870	14	1514.28
7	-695.504	870	16	1499.3
8	-699.073	870	18	1519.98
9	-693.414	870	20	1522.2
10	-700.377	870	22	1549.66
11	-689.424	870	24	1541.29
12	-689.574	870	26	1555.13
13	-693.258	870	28	1576.03
14	-689.487	870	30	1582.03
15	-687.987	870	32	1592.57
16	-687.989	870	34	1606.11
17	-689.963	870	36	1623.59
18	-687.987	870	38	1633.18
19	-687.99	870	40	1646.72
20	-687.99	870	42	1660.26
