SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster	dcf0	dcf1
0	0.00013	0	0.003	0.46	0.00013	0.15	0	0	0.39	0	0	0	0	3	0.44	0.7
1	0.00013	0	0.32	0	0.00013	0.24	0	0	0.44	0	0	0	0	8	0.56	0.7
2	0.00084	0	0.036	0.0084	0.00084	0.4	0	0	0.55	0	0	0	0	8	0.56	0.7
3	0	0	0	0	0	0	0.5	0	0	0	0.5	3.6e-05	0	6	0	0.1
4	0.00014	0	0.21	7e-05	0.00014	0.21	0	0	0.58	0	0	0	0	8	0.56	0.7
5	0.0006	0	0.0099	0	0.0006	0.58	0	0	0.41	0	0	0	0	5	0.56	0.73
6	0.00035	0	0.013	0.016	0.00035	0.32	0	0	0.65	0	0	0	0	8	0.56	0.7
7	3.2e-06	0	0.02	0	3.2e-06	0.11	0	0	0.87	0	0	0	0	8	0.56	0.7
8	0.00012	0	0.027	0.00068	0.00012	0.25	0	0	0.72	0	0	0	0	8	0.56	0.7
9	0	0	0.023	0	0	0.047	0	0	0.93	0	0	0	0	8	0.56	0.7
10	0	0	0	0	0	0	0.5	0	0	0	0.5	0.00042	0	6	0	0.1
11	2.1e-05	0	0.028	0.0022	2.1e-05	0.13	0	0	0.84	0	0	0	0	8	0.56	0.7
12	3.6e-05	0	0.01	0.00019	3.6e-05	0.19	0	0	0.8	0	0	0	0	8	0.56	0.7
13	5.5e-05	0	0.046	7.2e-05	5.5e-05	0.19	0	0	0.76	0	0	0	0	8	0.56	0.7
14	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	6	0	0.1
15	0.00021	0	0.021	0.097	0.00021	0.23	0	0	0.65	0	0	0	0	8	0.56	0.7
16	0.0017	0	0.003	1.6e-06	0.0017	0.7	0	0	0.3	0	0	0	0	5	0.56	0.73
17	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	7	0.11	0.11
18	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0.049	0.1
19	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0.24	0.3
20	0.0005	0	0.1	0	0.0005	0.43	0	0	0.46	0	0	0	0	8	0.56	0.7
21	0.00067	0	0.12	0.00011	0.00067	0.38	0	0	0.5	0	0	0	0	8	0.56	0.7
22	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0.049	0.1
23	0	0	0.039	9.5e-05	0	0.16	0	0	0.8	0	0	0	0	8	0.56	0.7
24	0	0	0.011	0.11	0	0.16	0	0	0.72	0	0	0	0	8	0.56	0.7
25	0	0	0.018	0	0	0.38	0	0	0.6	0	0	0	0	8	0.56	0.7
26	2.5e-05	0	1.5e-05	0.96	2.5e-05	0.015	0	0	0.024	0	0	0	0	3	0.44	0.7
27	0.0023	0	0.0095	0.057	0.0023	0.52	0	0	0.4	0	0	0	0	5	0.56	0.73
28	0.00038	0	0.013	0.0022	0.00038	0.36	0	0	0.63	0	0	0	0	8	0.56	0.7
29	0	0	0	0	0	0	0	1.7e-06	0	0	0	1	1.7e-06	11	0.049	0.1
30	0.00021	0	0.057	0.00049	0.00021	0.28	0	0	0.66	0	0	0	0	8	0.56	0.7
31	0.00015	0	0.0014	0.0059	0.00015	0.32	0	0	0.67	0	0	0	0	8	0.56	0.7
32	0.00038	0	0.088	1.4e-06	0.00038	0.4	0	0	0.51	0	0	0	0	8	0.56	0.7
33	0.0012	0	0.032	0.0029	0.0012	0.46	0	0	0.51	0	0	0	0	8	0.56	0.7
34	1.1e-06	0	0.0024	6.4e-05	1.1e-06	0.054	0	0	0.94	0	0	0	0	8	0.56	0.7
35	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0.049	0.1
36	0	0	0	0	0	0	0	0.0011	0	0	0	1	0.0011	11	0.049	0.1
37	0	0	0	0	0	0.84	0.079	0	0	0	0.079	2e-05	0	5	0.56	0.73
38	0.00012	0	0.027	0	0.00012	0.35	0	0	0.62	0	0	0	0	8	0.56	0.7
39	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0.049	0.1
40	4.1e-06	0	0.0042	0.0041	4.1e-06	0.077	0	0	0.91	0	0	0	0	8	0.56	0.7
41	0.0005	0	0.049	7.7e-06	0.0005	0.43	0	0	0.52	0	0	0	0	8	0.56	0.7
42	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0.049	0.1
43	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0.049	0
44	1.5e-06	0	5.8e-06	0.98	1.5e-06	0.0033	0	0	0.013	0	0	0	0	3	0.44	0.7
45	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0.049	0
46	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0.049	0.1
47	7.6e-06	0	0.0035	0.19	7.6e-06	0.07	0	0	0.74	0	0	0	0	8	0.56	0.7
48	0.00092	0	0.021	1.1e-05	0.00092	0.55	0	0	0.43	0	0	0	0	5	0.56	0.73
49	0	0	0.27	0	0	0.13	0	0	0.6	0	0	0	0	8	0.56	0.7
50	0.00042	0	0.15	4.2e-06	0.00042	0.35	0	0	0.5	0	0	0	0	8	0.56	0.7
51	0.00036	0	0.0025	0.62	0.00036	0.15	0	0	0.23	0	0	0	0	3	0.44	0.7
52	0	0	0	0	0	0	0.5	0	0	0	0.5	0.00011	0	6	0	0.1
53	0.017	0	0.025	0	0.017	0.85	0	0	0.095	0	0	0	0	5	0.56	0.73
54	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	7	0.11	0.11
55	0	0	0.091	0	0	0.2	0	0	0.71	0	0	0	0	8	0.56	0.7
56	0.00032	0	0.023	0.0035	0.00032	0.33	0	0	0.64	0	0	0	0	8	0.56	0.7
