SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0	dcf1
0	0.4	0	0.00015	0	0	0.082	0.047	0	0	0	7.9e-06	0	0	0.23	0.23	0	0.0044	0	0.56	0.7
1	0.45	0	0.022	0	0	6.6e-06	0.078	0	0	0	0	0	0	0.00017	0.00017	0	0.45	16	0.61	0.7
2	0.59	0	0.0035	0	0	0.0034	0.29	0	0	0	1e-06	0	0	0.032	0.032	0	0.053	0	0.56	0.7
3	0	0	0	0	0.64	0	0	0	0.24	7.4e-05	0	0.12	0	0	0	0	0	4	0	0.1
4	0.6	0	0.0098	0	0	0.0019	0.071	0	0	0	0	0	0	0.0032	0.0032	0	0.31	0	0.56	0.7
5	0.58	0	0.0025	0	0	0	0.4	0	0	0	0	0	0	0.0017	0.0017	0	0.02	0	0.56	0.7
6	0.68	0	0.00082	0	0	0.012	0.13	0	0	0	0	0	0	0.077	0.077	0	0.019	0	0.56	0.7
7	0.96	0	0.00034	0	0	0.00011	0.0041	0	0	0	0	0	0	0.0016	0.0016	0	0.031	0	0.56	0.7
8	0.83	0	0.0013	0	0	0.0045	0.066	0	0	0	0	0	0	0.025	0.025	0	0.044	0	0.56	0.7
9	0.97	0	0.00015	0	0	1.4e-05	0.00042	0	0	0	0	0	0	0.00025	0.00025	0	0.034	0	0.56	0.7
10	0	0	0	0	0.35	0	0	0	0.62	0.00047	0	0.026	0	0	0	0	0	8	0	0.067
11	0.82	0	0.0005	0	0	0.054	0.013	0	0	0	0	0	0	0.037	0.037	0	0.038	0	0.56	0.7
12	0.89	0	0.00034	0	0	0.004	0.024	0	0	0	0	0	0	0.031	0.031	0	0.016	0	0.56	0.7
13	0.87	0	0.0016	0	0	0.0037	0.036	0	0	0	0	0	0	0.01	0.01	0	0.073	0	0.56	0.7
14	0	0	0	0	0.06	0	0	0	0.94	0	0	9.7e-05	0	0	0	0	0	8	0	0.067
15	0.63	0	0.00091	0	0	0.072	0.074	0	0	0	1.7e-06	0	0	0.095	0.095	0	0.029	0	0.56	0.7
16	0.33	0	0.00098	0	0	0	0.66	0	0	0	0	0	0	0.0041	0.0041	0	0.0046	6	0.56	0.77
17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.11	0.11
18	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0.049	0.1
19	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0.24	0.3
20	0.55	0	0.014	0	0	7.3e-06	0.27	0	0	0	0	0	0	0.00093	0.00093	0	0.17	0	0.56	0.7
21	0.53	0	0.012	0	0	0.00033	0.26	0	0	0	0	0	0	0.0042	0.0042	0	0.18	0	0.56	0.7
22	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0.049	0.1
23	0.87	0	0.0022	0	0	0.00099	0.055	0	0	0	0	0	0	0.0056	0.0056	0	0.059	0	0.56	0.7
24	0.73	0	0.00062	0	0	0.037	0.071	0	0	0	0	0	0	0.071	0.071	0	0.016	0	0.56	0.7
25	0.79	0	0.0019	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0.034	0	0.56	0.7
26	0.075	0	3.9e-06	0	0	0.018	0.021	0	0	0	0.00012	0	0	0.44	0.44	0	6.7e-05	13	0.5	0.7
27	0.36	0	0.0014	0	0	0.0013	0.51	0	0	0	1.7e-05	0	0	0.063	0.063	0	0.012	6	0.56	0.77
28	0.72	0	0.0011	0	0	0.003	0.17	0	0	0	0	0	0	0.044	0.044	0	0.021	0	0.56	0.7
29	0	3.5e-06	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0.049	0.1
30	0.77	0	0.0035	0	0	0.0033	0.11	0	0	0	0	0	0	0.014	0.014	0	0.093	0	0.56	0.7
31	0.62	0	7.8e-05	0	0	0.0022	0.063	0	0	0	0	0	0	0.16	0.16	0	0.0018	0	0.56	0.7
32	0.62	0	0.01	0	0	2e-05	0.22	0	0	0	0	0	0	0.0015	0.0015	0	0.15	0	0.56	0.7
