SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0	dcf1
0	0	0	0	0.0029	0	0	0.53	0	0.47	0	0	0	0	0	0	0	0	0	0	6	0.11	0
1	0	0	0	0.076	0	0	0.87	0	0.0051	0	0	0	0	0	0	0	0	0	0.053	6	0.11	0
2	0.0096	0.00034	0	0	0	0.0045	0	0	0	0.015	0	0.00091	0	0	1.8e-05	0	0	0.97	0	17	0.19	0.25
3	0.0062	0	0	0	0	5.6e-05	0	0	0	0	0	0	0	0	0	0	0	0.0094	0.98	18	0.15	0.028
4	0	0	0	0.0055	0	0.051	0.57	0	0.37	0	0	0	1.6e-05	0	0	0	0	5.7e-05	2.3e-05	6	0.11	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	0.15	0.028
6	0	0	0	0	0.00088	0	0	0	0	0.79	0	0.12	0	0	0.0085	0	0	0.078	0	9	0.33	0.42
7	0	0	1.1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	0.15	0.028
8	0.71	1e-06	0	0	0	0.067	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0.15	0.19
9	0.1	0.00082	0	0	0	0.048	0	0	0	6.8e-05	0	0	0	0	0	0	0	0.85	0	17	0.19	0.25
10	0.43	0.0028	0.0026	0	0	0.26	0	0	0	1.7e-06	0	0	0.0034	0	0	0	0	0.3	6.9e-05	0	0.15	0.19
11	0	0.0011	0	0	0	0.00035	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0.021	0.25
12	0.00062	0.83	0	0	0	0.15	0	0	0	0	0	0	0.00087	0	0	0	0	0.016	0	1	0.09	0.36
13	0	0	0	0	0.0002	0	0	0	0	0.0067	0	3.5e-05	0	0	0.79	0	0	0.2	0	14	0.47	0.47
14	0.052	0.0013	0	0	3.5e-06	0.023	0	0	0	0.0084	0	0.00057	0	0	5.5e-05	0	0	0.91	0	17	0.19	0.25
15	0	0	1	0	0	0	0	0	0	0	0	0	1.2e-05	0	0	0	0	0	0	2	0.021	0.11
16	0	0	0.0013	0	0	0	0	0	0	0	0.84	0	4.1e-05	0	0	0	0.16	0	0	10	0	0.14
