SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1
0	0	0	0	0	0	0	1	0	0	0	6	0.11	0
1	0	0	0	0	0	0.022	0.98	0	0	0	6	0.11	0
2	0.97	0	0	0.0044	0	0	0	0.021	0.00041	0	0	0.19	0.25
3	0.003	0	0	0.001	0	1	0	0	0	0	5	0.19	0.028
4	8.6e-05	4.4e-05	0	0	0	0	1	0	0	0	6	0.11	0
5	0	0	0	0	0	1	0	0	0	0	5	0.19	0.028
6	0.067	0	0	0	0	0	0	0.93	0	0	7	0.33	0.42
7	0	0	0	7e-05	0	1	0	0	0	0	5	0.19	0.028
8	0.23	0	0	0.77	0	0	0	0	1.2e-06	0	3	0.13	0.19
9	0.9	0	0	0.098	0	0	0	0.0001	0.001	0	0	0.19	0.25
10	0.28	0.0059	0	0.71	0	1.9e-05	0	2.3e-06	0.0031	0	3	0.13	0.19
11	0	1	0	0	0	0	0	0	0.00072	0	1	0.021	0.25
12	0.016	0.0016	0	0.0019	0	0	0	1.2e-06	0.98	0	8	0.09	0.36
13	0.96	0	0	0	0	0	0	0.045	0	0	0	0.19	0.25
14	0.95	0	0	0.038	0	0	0	0.012	0.0016	0	0	0.19	0.25
15	0	1	0	0	0	0	0	0	0	0	1	0.021	0.25
16	0	0.00011	0	0	0.6	0	0	0	0	0.4	4	0	0.17
17	0	0.00019	0	0	0.47	0	0	0	0	0.53	9	0	0.11
18	0.91	0	0	0	0	0	0	0.09	0	0	0	0.19	0.25
19	0.91	0	0	2.5e-05	0	0	0	0.086	0.00052	0	0	0.19	0.25
20	0.89	0	0	0.016	0	0	0	0.031	0.059	0	0	0.19	0.25
21	0	0	0	0	0.027	0	0	0	0	0.97	9	0	0.11
22	0.0041	0	0	0.14	0	0.86	0	0	0	0	5	0.19	0.028
23	1	0	0	0	0	0	0	1.2e-06	0	0	0	0.19	0.25
24	0.13	8.7e-06	0	0.87	0	0	0	0	0.0014	0	3	0.13	0.19
25	0.99	0	0	0.01	0	0	0	7.4e-05	0	0	0	0.19	0.25
26	0	0	0	0	0.011	0	0	0	0	0.99	9	0	0.11
27	0	0.0031	0	2.9e-06	0.62	0	0	0	0	0.38	4	0	0.17
28	0	3.7e-05	0	0	0.12	0	0	0	0	0.88	9	0	0.11
