SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0	dcf1
0	0	0	0	0.017	0	0.98	0	0	0	0	0	0	0	0	0	0	0	5	0.084	0
1	0	0	0	0.75	0	0.2	0	0	0.054	0	0	0	0	0	0	0	0	3	0.13	0
2	0.00022	0.99	0.0047	0	0	0	0.0095	0.00018	0	0	0	0	0	0	0	0.00022	0	1	0.19	0.25
3	0	0.0098	0.0035	0	0	0	0	0.00013	0.99	0	0	0	0	0	0	0	0	8	0.15	0.028
4	0	4.5e-05	0	0.04	0	0.96	0	0	1.8e-05	1.2e-05	0	0	0	0	0	0	0	5	0.084	0
5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0.15	0.028
6	0	0.06	0	0	0	0	0.94	0	0	0	0	0	0	0	0	0	0.00061	6	0.33	0.47
7	0	0	3.7e-06	0	0	0	0	0	1	0	1.1e-05	0	0	0	0	0	0	8	0.15	0.028
8	0	0.22	0.78	0	0	0	0	0.00064	0	0	0	0	0	0	0	0	0	2	0.13	0.19
9	0.00054	0.9	0.1	0	0	0	1.8e-05	0.00072	0	0	0	0	0	0	0	0.00054	0	1	0.19	0.25
10	0.0016	0.27	0.72	0	0	0	0	0.00072	6e-05	0.0029	0.0023	0	0	0	0	0.0016	0	2	0.13	0.19
11	0.00073	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00073	0	9	0.021	0.25
12	0.49	0.015	0.0019	0	0	0	0	0	0	0.00078	0	0	0	0	0	0.49	0	0	0.09	0.36
13	0	1	0	0	0	0	0.0018	0	0	0	0	0	0	0	0	0	0.00093	1	0.19	0.25
14	0.00086	0.95	0.04	0	0	0	0.0061	0.00047	0	0	0	0	0	0	0	0.00086	3.3e-06	1	0.19	0.25
15	0	0	0	0	0	0	0	0	0	1.2e-05	1	0	0	0	0	0	0	10	0.021	0.11
16	0	0	0	0	0.5	0	0	0	0	3.6e-05	0.0012	0.5	0	0	0	0	0	4	0	0.14
17	0	0	0	0	0.5	0	0	0	0	6.9e-05	0.0024	0.5	0	0	0	0	0	4	0	0.14
18	0	0.84	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0.061	1	0.19	0.25
19	0.00023	0.79	2.3e-05	0	0	0	0.19	0	0	0	0	0	0	0	0	0.00023	0.025	1	0.19	0.25
20	0.031	0.89	0.017	0	0	0	0.03	8.1e-05	0	0	0	0	0	0	0	0.031	2e-05	1	0.19	0.25
