k	loglikelihood	observations	parameters	BIC
1	-3849.15	2738	4	7729.96
2	-2553.79	2738	6	5155.06
3	-2041.69	2738	8	4146.7
4	-1751.73	2738	10	3582.62
5	-1583.72	2738	12	3262.43
6	-1520.36	2738	14	3151.53
7	-1464.51	2738	16	3055.67
8	-1488.38	2738	18	3119.22
9	-1451.92	2738	20	3062.14
10	-1465.36	2738	22	3104.86
11	-1453.28	2738	24	3096.53
12	-1390.51	2738	26	2986.8
13	-1388.11	2738	28	2997.85
14	-1379.54	2738	30	2996.53
15	-1381.63	2738	32	3016.55
16	-1392.84	2738	34	3054.79
17	-1381.73	2738	36	3048.41
18	-1428.03	2738	38	3156.83
19	-1375.01	2738	40	3066.62
20	-1395.6	2738	42	3123.62
