SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1
0	0	0	0	0	2.8e-06	1	0	0	5	0.11	0
1	0	0	0	0	0.047	0.95	0	0	5	0.11	0
2	0.0091	0.98	0.0091	0	0	0	0	0.00055	1	0.19	0.25
3	0.007	0.011	0.00013	0	0.98	0	0	0	4	0.15	0.028
4	0	7.9e-05	0.14	0	2.8e-05	0.86	0	0	5	0.11	0
5	0	0	0	0	1	0	0	0	4	0.15	0.028
6	0	0.3	2e-06	0	0	0	0	0.7	7	0.4	0.47
7	0	0	0	0	1	0	0	0	4	0.15	0.028
8	0.085	0.57	0.34	0	0	0	0	0	1	0.19	0.25
9	0.035	0.87	0.098	0	0	0	0	0	1	0.19	0.25
10	0.046	0.35	0.61	0	7.1e-05	0	0	0	2	0.11	0.25
11	0	1.5e-05	1	0	0	0	0	0	2	0.11	0.25
12	4.7e-05	0.05	0.95	0	0	0	0	0	2	0.11	0.25
13	0	0.77	0	0	0	0	0	0.23	1	0.19	0.25
14	0.023	0.93	0.047	0	0	0	0	0.00068	1	0.19	0.25
15	0	0	1	0	0	0	0	0	2	0.11	0.25
16	0	0	0	0	0	0	1	0	6	0	0.14
17	0	0	0	0	0	0	1	0	6	0	0.14
18	0	0.96	0	0	0	0	0	0.044	1	0.19	0.25
19	2e-05	0.96	0.00031	0	0	0	0	0.044	1	0.19	0.25
20	0.0038	0.85	0.14	0	0	0	0	0.0011	1	0.19	0.25
21	0	0	0	0	0	0	1	0	6	0	0.14
22	0.23	0.0056	3.3e-05	0	0.76	0	0	0	4	0.15	0.028
23	0	1	0	0	0	0	0	1.2e-06	1	0.19	0.25
24	0.013	0.13	0.85	0	0	0	0	0	2	0.11	0.25
25	0.11	0.89	0.00028	0	0	0	0	0	1	0.19	0.25
26	0	0	0	0	0	0	1	0	6	0	0.14
27	0	0	5.4e-06	0	0	0	1	0	6	0	0.14
28	0	0	0	0	0	0	1	0	6	0	0.14
29	0.13	0.52	0.32	0	0.034	0	0	0	1	0.19	0.25
30	0	0.89	0	0	0	0	0	0.11	1	0.19	0.25
31	0.067	0.74	0.19	0	0	0	0	0	1	0.19	0.25
32	0.00016	0.94	0.00044	0	0	0	0	0.061	1	0.19	0.25
33	0.00037	0.0069	0.99	0	0	0	0	0	2	0.11	0.25
34	0.013	0.98	0.0086	0	0	0	0	0	1	0.19	0.25
35	0.2	0.72	0.078	0	2.2e-05	0	0	0	1	0.19	0.25
36	0	0	7.6e-06	0	0	0	1	0	6	0	0.14
37	0	0.79	0	0	0	0	0	0.21	1	0.19	0.25
38	0.00013	0.16	0.84	0	0	0	0	0	2	0.11	0.25
39	0.0044	0.99	0.0052	0	0	0	0	0	1	0.19	0.25
40	0	0.98	0	0	0	0	0	0.025	1	0.19	0.25
41	1.8e-05	0	0	0	1	0	0	0	4	0.15	0.028
42	0	0.94	0	0	0	0	0	0.055	1	0.19	0.25
43	0	0	0	0	0	0	1	0	6	0	0.14
44	0	0.96	0	0	0	0	0	0.045	1	0.19	0.25
45	4.6e-05	0.19	0.81	0	0	0	0	0	2	0.11	0.25
46	0	0	0	0	0	0	1	0	6	0	0.14
47	0	0	0	0	0.00049	1	0	0	5	0.11	0
48	0.36	0.37	0.23	0	0.044	0	0	0	1	0.19	0.25
49	0	0	0	0	0	0	1	0	6	0	0.14
50	0	0	0	0	4.2e-05	1	0	0	5	0.11	0
51	0	0	0	0	7.6e-06	1	0	0	5	0.11	0
52	0	0	0	1	0	0	0	0	3	0.81	0.25
53	0	0	0	0	2.4e-05	1	0	0	5	0.11	0
54	0	0.91	0	0	0	0	0	0.092	1	0.19	0.25
55	0.028	0.51	0.46	0	0	0	0	0	1	0.19	0.25
56	0	0	0	0	1	0	0	0	4	0.15	0.028
57	0	0	0	0	0	0	1	0	6	0	0.14
58	0.046	0.88	0.076	0	0	0	0	0	1	0.19	0.25
59	0	0.96	0	0	0	0	0	0.038	1	0.19	0.25
60	0	0	0	0	0	1	0	0	5	0.11	0
61	0	0	0	0	0.00085	1	0	0	5	0.11	0
62	0	0	0	0	0.0019	1	0	0	5	0.11	0
63	0	0.92	0	0	0	0	0	0.084	1	0.19	0.25
64	0.45	0.55	3.8e-05	0	0	0	0	0	1	0.19	0.25
65	0.44	0.56	0.00023	0	0	0	0	0	1	0.19	0.25
66	0.057	0.41	0.53	0	0	0	0	0	2	0.11	0.25
67	0	0	0	0	0.0049	1	0	0	5	0.11	0
68	0.019	0.97	0.015	0	0	0	0	0	1	0.19	0.25
69	0	1	0	0	0	0	0	0.00064	1	0.19	0.25
70	0.23	0.77	0.005	0	0	0	0	0	1	0.19	0.25
71	0	1	0	0	0	0	0	0	1	0.19	0.25
72	0	1	0	0	0	0	0	0.00038	1	0.19	0.25
73	0	1	0	0	0	0	0	0	1	0.19	0.25
74	0	0	0	0	0	0	0	1	7	0.4	0.47
75	0	0.28	0	0	0	0	0	0.72	7	0.4	0.47
76	0	0.92	0	0	0	0	0	0.078	1	0.19	0.25
77	0.4	0.57	0.023	0	0	0	0	0	1	0.19	0.25
78	0	0.92	0	0	0	0	0	0.08	1	0.19	0.25
79	0.032	0.97	0.0025	0	0	0	0	0	1	0.19	0.25
80	0	0.77	0	0	0	0	0	0.23	1	0.19	0.25
81	2.9e-05	0.0015	1	0	0	0	0	0	2	0.11	0.25
82	0	0.86	0	0	0	0	0	0.14	1	0.19	0.25
83	0.085	0.88	0.035	0	0	0	0	0	1	0.19	0.25
84	0.012	0.57	0.41	0	0	0	0	0.0071	1	0.19	0.25
85	0	0	0	0	0.023	0.98	0	0	5	0.11	0
86	0.12	0.88	0.0011	0	0	0	0	0	1	0.19	0.25
87	0	0	0	0	0.0085	0.99	0	0	5	0.11	0
88	0.038	0.041	0.92	0	0	0	0	0.0015	2	0.11	0.25
89	0.12	0.88	0.0015	0	0	0	0	4.2e-06	1	0.19	0.25
90	0.047	0.86	0.091	0	0	0	0	5e-05	1	0.19	0.25
91	0	0	0	0	0.0052	0.99	0	0	5	0.11	0
92	0	0	0	0	0.00044	1	0	0	5	0.11	0
93	0.0022	0.00097	9.9e-05	0	1	0	0	0	4	0.15	0.028
