SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1
0	0	0	0	0	0	0	0	0	0	0	0	0	0.0054	0.99	0	0	13	0.03	0.35
1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0.03	0.35
2	0.11	0.11	0.35	0	0	0	0	0	0.078	0.14	0	0	0.22	0	0	0	2	0.27	0.35
3	0.11	0.11	0.56	0	0	0	0	0	0.057	0.053	0	0	0.1	0	0	0	2	0.27	0.35
4	0.19	0.19	0.5	0	0	0	0	0	0.038	0.029	0	0	0.051	0	0	0	2	0.27	0.35
5	0.085	0.085	0.49	0	0	0	0	0	0.077	0.087	0	0	0.17	0	0	0	2	0.27	0.35
6	0.032	0.032	0.54	0	0	0	0	0	0.29	0.013	0	0	0.094	0	0	0	2	0.27	0.35
7	0.41	0.41	0.13	0	0	0	0	0	0.0019	0.037	0	0	0.011	0	0	0	0	0.47	0.65
8	0.044	0.044	0.46	0	0	0	0	0	0.24	0.036	0	0	0.18	0	0	0	2	0.27	0.35
9	0.0012	0.0012	0.32	0	0	0	0	0	0.48	0.0063	0	0	0.19	0	0	0	8	0.27	0.42
10	0.0036	0.0036	0.24	0	0	0	0	0	0.017	0.2	0	0	0.53	0	0	0	12	0.32	0.35
11	0	0	0.00028	0	0.75	0	0	0.034	0	0	0.2	0	0.002	0	0	0.011	4	0.57	0.22
12	0.06	0.06	0.51	0	0	0	0	0	0.069	0.095	0	0	0.2	0	0	0	2	0.27	0.35
13	0	0	0	0	0.93	0	0	0.011	0	0	0.064	0	0	0	0	1.3e-05	4	0.57	0.22
14	0	0	9e-05	0	0.68	0	0	0.038	0	0	0.23	0	0.0011	0	0	0.051	4	0.57	0.22
15	0.062	0.062	0.39	0	0	0	0	0	0.094	0.13	0	0	0.26	0	0	0	2	0.27	0.35
16	0.014	0.014	0.33	0	0	0	0	0	0.12	0.1	0	0	0.41	0	0	0	12	0.32	0.35
17	0.5	0.5	0.0024	0	0	0	0	0	0.0007	0.0039	0	0	0.00015	0	0	0	0	0.47	0.65
18	0.49	0.49	0.0085	0	0	0	0	0	2e-05	0.01	0	0	0.0004	0	0	0	0	0.47	0.65
19	0.11	0.11	0.33	0	0	0	0	0	0.0057	0.29	0	0	0.16	0	0	0	2	0.27	0.35
20	0.011	0.011	0.47	0	0	0	0	0	0.14	0.054	0	0	0.32	0	0	0	2	0.27	0.35
21	0	0	0	0.94	0	0	0	0	0	0	0	0.04	0	0.016	0	0	3	0	0.42
22	0.16	0.16	0.36	0	0	0	0	0	0.11	0.072	0	0	0.13	0	0	0	2	0.27	0.35
23	0.3	0.3	0.29	0	0	0	0	0	0.067	0.017	0	0	0.032	0	0	0	0	0.47	0.65
24	0.066	0.066	0.19	0	0	0	0	0	0.00091	0.54	0	0	0.14	0	0	0	9	0.58	0.65
25	0.25	0.25	0.3	0	0	0	0	0	0.064	0.053	0	0	0.075	0	0	0	2	0.27	0.35
26	0.23	0.23	0.34	0	0	0	0	0	0.096	0.038	0	0	0.073	0	0	0	2	0.27	0.35
27	0	0	1.6e-05	0	0.81	0	0	0.027	0	0	0.16	0	0.00028	0	0	0.0021	4	0.57	0.22
28	0.34	0.34	0.045	0	0	0	0	0	1.8e-05	0.27	0	0	0.0092	0	0	0	0	0.47	0.65
29	0.35	0.35	0.13	0	0	0	0	0	0.0019	0.13	0	0	0.037	0	0	0	0	0.47	0.65
30	0.092	0.092	0.41	0	0	0	0	0	0.18	0.057	0	0	0.17	0	0	0	2	0.27	0.35
31	0.26	0.26	0.2	0	8.2e-05	0	0	0.0011	0.077	0.062	0.0067	0	0.14	0	0	0	0	0.47	0.65
32	0.23	0.23	0.26	0	0	0	0	0	0.013	0.16	0	0	0.11	0	0	0	2	0.27	0.35
33	0.4	0.4	0.12	0	0	0	0	0	0.00077	0.061	0	0	0.013	0	0	0	0	0.47	0.65
34	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0.03	0.35
35	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0.03	0.35
36	0.32	0.32	0.26	0	0	0	0	0	0.069	0.0086	0	0	0.017	0	0	0	0	0.47	0.65
