k	loglikelihood	observations	parameters	BIC
1	-9868.25	8408	4	19772.6
2	-7619.78	8408	6	15293.8
3	-6525.55	8408	8	13123.4
4	-6034.73	8408	10	12159.8
5	-5498.13	8408	12	11104.7
6	-5213.73	8408	14	10554
7	-5194.09	8408	16	10532.8
8	-4977.83	8408	18	10118.3
9	-4970.17	8408	20	10121.1
10	-4969.05	8408	22	10136.9
11	-5170.78	8408	24	10558.5
12	-4988.88	8408	26	10212.7
13	-4991.67	8408	28	10236.4
14	-5031.28	8408	30	10333.7
15	-4965.65	8408	32	10220.5
16	-4864.51	8408	34	10036.3
17	-4992.36	8408	36	10310.1
18	-4864.55	8408	38	10072.5
19	-4841.15	8408	40	10043.8
20	-4849.39	8408	42	10078.3
