SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1
0	0	0	0	0.0079	0	0.99	0	0	5	0.03	0.35
1	0	0	0	0	0	1	0	0	5	0.03	0.35
2	0.48	0.22	0	0.31	0	0	0	0	0	0.27	0.35
3	0.67	0.2	0	0.13	0	0	0	0	0	0.27	0.35
4	0.59	0.35	0	0.062	0	0	0	0	0	0.27	0.35
5	0.62	0.16	0	0.22	0	0	0	0	0	0.27	0.35
6	0.78	0.073	0	0.14	0	0	0	0	0	0.27	0.35
7	0.17	0.81	0	0.015	0	0	0	0	1	0.47	0.65
8	0.65	0.096	0	0.26	0	0	0	0	0	0.27	0.35
9	0.61	0.0035	0	0.38	0	0	0	0	0	0.27	0.35
10	0.3	0.0068	0	0.69	0	0	0	0	3	0.32	0.35
11	0.00015	0	1	0.0011	0	0	0	0	2	0.49	0.22
12	0.63	0.11	0	0.26	0	0	0	0	0	0.27	0.35
13	0	0	1	0	0	0	0	0	2	0.49	0.22
14	1.6e-05	0	1	0.00019	0	0	0	0	2	0.49	0.22
15	0.51	0.13	0	0.36	0	0	0	0	0	0.27	0.35
16	0.43	0.027	0	0.55	0	0	0	0	3	0.32	0.35
17	0.0031	1	0	0.0002	0	0	0	0	1	0.47	0.65
18	0.011	0.99	0	0.00055	0	0	0	0	1	0.47	0.65
19	0.49	0.26	0	0.25	0	0	0	0	0	0.27	0.35
20	0.58	0.02	0	0.4	0	0	0	0	0	0.27	0.35
21	0	0	0	0	0.99	0.011	0	0	4	0	0.42
22	0.48	0.34	0	0.18	0	0	0	0	0	0.27	0.35
23	0.37	0.59	0	0.042	0	0	0	0	1	0.47	0.65
24	0.44	0.23	0	0.32	0	0	0	0	0	0.27	0.35
25	0.4	0.5	0	0.1	0	0	0	0	1	0.47	0.65
26	0.45	0.46	0	0.098	0	0	0	0	1	0.47	0.65
27	1.4e-05	0	1	0.00025	0	0	0	0	2	0.49	0.22
28	0.078	0.91	0	0.017	0	0	0	0	1	0.47	0.65
29	0.19	0.76	0	0.053	0	0	0	0	1	0.47	0.65
30	0.56	0.19	0	0.24	0	0	0	0	0	0.27	0.35
31	0.27	0.54	0.00028	0.19	0	0	0	0	1	0.47	0.65
32	0.35	0.49	0	0.16	0	0	0	0	1	0.47	0.65
33	0.16	0.83	0	0.018	0	0	0	0	1	0.47	0.65
34	0	0	0	0	0	1	0	0	5	0.03	0.35
35	0	0	0	0	0	1	0	0	5	0.03	0.35
36	0.34	0.64	0	0.023	0	0	0	0	1	0.47	0.65
37	0.6	0.0063	0	0.4	0	0	0	0	0	0.27	0.35
38	0.56	0.41	0	0.035	0	0	0	0	0	0.27	0.35
39	0.011	0.99	0	0.00014	0	0	0	0	1	0.47	0.65
40	0.22	0.00075	0	0.78	0	0	0	0	3	0.32	0.35
41	0.55	0.076	0	0.38	0	0	0	0	0	0.27	0.35
42	0	0	1	0	0	0	0	0	2	0.49	0.22
43	0	0	0	0	0	1	0	0	5	0.03	0.35
44	0.41	0.11	0	0.48	0	0	0	0	3	0.32	0.35
45	0.22	0.75	0	0.026	0	0	0	0	1	0.47	0.65
46	0.74	0.051	0	0.21	0	0	0	0	0	0.27	0.35
47	0.32	0.32	0	0.36	0	0	0	0	3	0.32	0.35
48	0.7	0.24	0	0.064	0	0.0019	0	0	0	0.27	0.35
49	5.1e-06	0	1	0.0016	0	0	0	0	2	0.49	0.22
50	0.12	0.26	0	0.63	0	0	0	0	3	0.32	0.35
51	0.38	0.5	0	0.12	0	0	0	0	1	0.47	0.65
52	0.0082	0.99	0	0.00021	0	0	0	0	1	0.47	0.65
53	0.46	0.39	0	0.15	0	0	0	0	0	0.27	0.35
54	0.52	0.27	0.0069	0.21	0	0	0	0	0	0.27	0.35
55	0.31	0.056	0	0.63	0	0	0	0	3	0.32	0.35
56	0.54	0	0.45	0.014	0	0	0	0	0	0.27	0.35
57	0.077	0.92	0	0.0027	0	0	0	0	1	0.47	0.65
58	0	0	1	0	0	0	0	0	2	0.49	0.22
59	0.13	2.5e-05	0	0.87	0	0	0	0	3	0.32	0.35
60	0.1	0.89	0	0.01	0	0	0	0	1	0.47	0.65
61	0.52	0.0086	0	0.47	0	0	0	0	0	0.27	0.35
62	0.53	0.4	0	0.063	0	0	0	0	0	0.27	0.35
63	0.35	0.52	0	0.12	0	0	0	0	1	0.47	0.65
64	0.043	0.95	0	0.0085	0	0	0	0	1	0.47	0.65
65	0.54	0.16	0	0.3	0	0	0	0	0	0.27	0.35
66	0	0	0	0	0	0	0	1	7	0.09	0.039
67	0.65	0.12	0	0.23	0	0	0	0	0	0.27	0.35
68	0	0	0	0	0.99	0.005	0	0	4	0	0.42
69	0.23	0.74	0	0.031	0	0	0	0	1	0.47	0.65
70	0.33	0.55	0	0.12	0	0	0	0	1	0.47	0.65
71	0.11	0.88	0	0.011	0	0	0	0	1	0.47	0.65
72	0	0	1	2.3e-06	0	0	0	0	2	0.49	0.22
73	0	0	0	0	0	0	0	1	7	0.09	0.039
74	0.32	0.56	0	0.12	0	0	0	0	1	0.47	0.65
