SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0	dcf1
0	0	0.0053	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	12	0.03	0.35
1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	0.03	0.35
2	0.11	0.22	0.11	0.12	0.12	0	0	0	0	0.0034	0	0.14	0	0.078	0.12	0	0	0	1	0.32	0.35
3	0.11	0.1	0.11	0.19	0.19	0	0	0	0	0.00024	0	0.051	0	0.057	0.19	0	0	0	3	0.27	0.35
4	0.19	0.05	0.19	0.17	0.17	0	0	0	0	7.2e-05	0	0.028	0	0.038	0.17	0	0	0	0	0.47	0.65
5	0.085	0.17	0.085	0.17	0.17	0	0	0	0	0.00093	0	0.083	0	0.077	0.17	0	0	0	1	0.32	0.35
6	0.032	0.093	0.032	0.18	0.18	0	0	0	0	5.9e-05	0	0.013	0	0.29	0.18	0	0	0	13	0.27	0.42
7	0.41	0.011	0.41	0.044	0.044	0	0	0	0	8.1e-05	0	0.035	0	0.0019	0.044	0	0	0	0	0.47	0.65
8	0.044	0.17	0.044	0.15	0.15	0	0	0	0	0.0005	0	0.035	0	0.24	0.15	0	0	0	13	0.27	0.42
9	0.0012	0.19	0.0012	0.11	0.11	0	0	0	0	9.2e-05	0	0.0061	0	0.48	0.11	0	0	0	13	0.27	0.42
10	0.0036	0.53	0.0036	0.082	0.082	0	0	0	0	0.012	0	0.19	0	0.017	0.082	0	0	0	1	0.32	0.35
11	0	0.0019	0	9.5e-05	9.5e-05	0	0	0.75	0.011	0	0	0	0	0	9.5e-05	0.18	0	0.053	7	0.57	0.22
12	0.06	0.2	0.06	0.17	0.17	0	0	0	0	0.0011	0	0.091	0	0.069	0.17	0	0	0	1	0.32	0.35
13	0	0	0	0	0	0	0	0.93	1.3e-05	0	0	0	0	0	0	0.058	0	0.016	7	0.57	0.22
14	0	0.0011	0	3e-05	3e-05	0	0	0.68	0.051	0	0	0	0	0	3e-05	0.21	0	0.06	7	0.57	0.22
15	0.062	0.26	0.062	0.13	0.13	0	0	0	0	0.0035	0	0.12	0	0.094	0.13	0	0	0	1	0.32	0.35
16	0.014	0.41	0.014	0.11	0.11	0	0	0	0	0.0048	0	0.1	0	0.12	0.11	0	0	0	1	0.32	0.35
17	0.5	0.00015	0.5	0.00081	0.00081	0	0	0	0	3.2e-06	0	0.0037	0	0.0007	0.00081	0	0	0	0	0.47	0.65
18	0.49	0.0004	0.49	0.0029	0.0029	0	0	0	0	1.4e-05	0	0.0096	0	2e-05	0.0029	0	0	0	0	0.47	0.65
19	0.11	0.16	0.11	0.11	0.11	0	0	0	0	0.0039	0	0.28	0	0.0057	0.11	0	0	0	11	0.58	0.65
20	0.011	0.31	0.011	0.16	0.16	0	0	0	0	0.001	0	0.052	0	0.14	0.16	0	0	0	1	0.32	0.35
21	0	0	0	0	0	0.94	0	0	0	0	0	0	0.016	0	0	0	0.04	0	5	0	0.42
22	0.16	0.13	0.16	0.12	0.12	0	0	0	0	0.0012	0	0.069	0	0.11	0.12	0	0	0	0	0.47	0.65
23	0.3	0.031	0.3	0.097	0.097	0	0	0	0	7.1e-05	0	0.016	0	0.067	0.097	0	0	0	0	0.47	0.65
24	0.067	0.14	0.067	0.066	0.066	0	0	0	0	0.009	0	0.52	0	0.00092	0.066	0	0	0	11	0.58	0.65
25	0.25	0.074	0.25	0.1	0.1	0	0	0	0	0.00057	0	0.051	0	0.064	0.1	0	0	0	0	0.47	0.65
26	0.23	0.072	0.23	0.11	0.11	0	0	0	0	0.00034	0	0.036	0	0.095	0.11	0	0	0	0	0.47	0.65
27	0	0.00028	0	5.3e-06	5.3e-06	0	0	0.81	0.0021	0	0	0	0	0	5.3e-06	0.15	0	0.042	7	0.57	0.22
28	0.34	0.0092	0.34	0.015	0.015	0	0	0	0	0.0012	0	0.26	0	1.8e-05	0.015	0	0	0	0	0.47	0.65
29	0.35	0.036	0.35	0.045	0.045	0	0	0	0	0.0013	0	0.12	0	0.0019	0.045	0	0	0	0	0.47	0.65
30	0.092	0.17	0.092	0.14	0.14	0	0	0	0	0.001	0	0.055	0	0.18	0.14	0	0	0	13	0.27	0.42
31	0.26	0.14	0.26	0.067	0.067	0	0	8.3e-05	0	0.00074	0	0.059	0	0.077	0.067	0.0061	0	0.0017	0	0.47	0.65
32	0.23	0.11	0.23	0.086	0.086	0	0	0	0	0.0029	0	0.16	0	0.013	0.086	0	0	0	0	0.47	0.65
33	0.4	0.013	0.4	0.04	0.04	0	0	0	0	0.00018	0	0.059	0	0.00077	0.04	0	0	0	0	0.47	0.65
34	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	0.03	0.35
35	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	0.03	0.35
36	0.32	0.017	0.32	0.089	0.089	0	0	0	0	2e-05	0	0.0082	0	0.069	0.089	0	0	0	0	0.47	0.65
37	0.0036	0.34	0.0036	0.18	0.18	0	0	0	0	0.00093	0	0.11	0	0.014	0.18	0	0	0	1	0.32	0.35
38	0.22	0.027	0.22	0.15	0.15	0	0	0	0	1.6e-05	0	0.01	0	0.07	0.15	0	0	0	0	0.47	0.65
39	0.49	9.9e-05	0.49	0.0029	0.0029	0	0	0	0	0	0	0.0023	0	8.2e-06	0.0029	0	0	0	0	0.47	0.65
40	0.00038	0.57	0.00038	0.057	0.057	0	0	0	0	0.0018	0	0.02	0	0.24	0.057	0	0	0	1	0.32	0.35
41	0.038	0.28	0.038	0.14	0.14	0	0	0	0	0.0024	0	0.1	0	0.1	0.14	0	0	0	1	0.32	0.35
42	0	0	0	0	0	0	0	0.97	0.002	0	0	0	0	0	0	0.023	0	0.0065	7	0.57	0.22
43	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	0.03	0.35
