SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1
0	0	0	0	0	0	0	0	0.0028	0	0	0	0	0	0.0028	0	0	0	0.99	0	0	17	0.03	0.35
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	17	0.03	0.35
2	0.1	0.1	0	0.1	0.03	0.1	0	0.12	0.13	0	0	0.1	0	0.12	0	0.1	0	0	0	0	8	0.58	0.65
3	0.11	0.11	0	0.16	0.0075	0.16	0	0.053	0.048	0	0	0.16	0	0.053	0	0.16	0	0	0	0	3	0.27	0.35
4	0.18	0.18	0	0.14	0.0048	0.14	0	0.026	0.026	0	0	0.14	0	0.026	0	0.14	0	0	0	0	0	0.47	0.65
5	0.082	0.082	0	0.14	0.021	0.14	0	0.09	0.079	0	0	0.14	0	0.09	0	0.14	0	0	0	0	3	0.27	0.35
6	0.035	0.035	0	0.17	0.13	0.17	0	0.055	0.014	0	0	0.17	0	0.055	0	0.17	0	0	0	0	3	0.27	0.35
7	0.4	0.4	0	0.037	0.00013	0.037	0	0.0059	0.034	0	0	0.037	0	0.0059	0	0.037	0	0	0	0	0	0.47	0.65
8	0.045	0.045	0	0.14	0.14	0.14	0	0.097	0.035	0	0	0.14	0	0.097	0	0.14	0	0	0	0	4	0.27	0.45
9	0.0014	0.0014	0	0.11	0.32	0.11	0	0.12	0.007	0	0	0.11	0	0.12	0	0.11	0	0	0	0	4	0.27	0.45
10	0.0034	0.0034	0	0.067	0.0025	0.067	0	0.27	0.18	0	0	0.067	0	0.27	0	0.067	0	0	0	0	7	0.32	0.35
11	0	0	0.22	7.6e-05	0	7.6e-05	0	0.00097	0	0	0	7.6e-05	0	0.00097	0	7.6e-05	0	0	0	0.78	19	0.57	0.22
12	0.058	0.058	0	0.14	0.016	0.14	0	0.1	0.086	0	0	0.14	0	0.1	0	0.14	0	0	0	0	3	0.27	0.35
13	0	0	0.065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93	19	0.57	0.22
14	0	0	0.26	2.5e-05	0	2.5e-05	0	0.00055	0	0	0	2.5e-05	0	0.00055	0	2.5e-05	0	0	0	0.74	19	0.57	0.22
15	0.06	0.06	0	0.11	0.043	0.11	0	0.14	0.12	0	0	0.11	0	0.14	0	0.11	0	0	0	0	7	0.32	0.35
16	0.014	0.014	0	0.095	0.063	0.095	0	0.22	0.096	0	0	0.095	0	0.22	0	0.095	0	0	0	0	7	0.32	0.35
17	0.49	0.49	0	0.00069	0.0039	0.00069	0	8.1e-05	0.0036	0	0	0.00069	0	8.1e-05	0	0.00069	0	0	0	0	0	0.47	0.65
18	0.49	0.49	0	0.0025	5.7e-05	0.0025	0	0.00021	0.0094	0	0	0.0025	0	0.00021	0	0.0025	0	0	0	0	0	0.47	0.65
19	0.11	0.11	0	0.091	0.00044	0.091	0	0.082	0.26	0	0	0.091	0	0.082	0	0.091	0	0	0	0	8	0.58	0.65
20	0.011	0.011	0	0.14	0.042	0.14	0	0.17	0.051	0	0	0.14	0	0.17	0	0.14	0	0	0	0	7	0.32	0.35
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94	0	0.04	0.016	0	0	14	0	0.42
22	0.16	0.16	0	0.1	0.057	0.1	0	0.071	0.067	0	0	0.1	0	0.071	0	0.1	0	0	0	0	0	0.47	0.65
23	0.3	0.3	0	0.083	0.024	0.083	0	0.017	0.016	0	0	0.083	0	0.017	0	0.083	0	0	0	0	0	0.47	0.65
24	0.065	0.065	0	0.056	3.6e-05	0.056	0	0.073	0.5	0	0	0.056	0	0.073	0	0.056	0	0	0	0	8	0.58	0.65
25	0.25	0.25	0	0.087	0.027	0.087	0	0.039	0.049	0	0	0.087	0	0.039	0	0.087	0	0	0	0	0	0.47	0.65
26	0.23	0.23	0	0.098	0.044	0.098	0	0.039	0.035	0	0	0.098	0	0.039	0	0.098	0	0	0	0	0	0.47	0.65
27	0	0	0.17	4.1e-06	0	4.1e-06	0	0.00014	0	0	0	4.1e-06	0	0.00014	0	4.1e-06	0	0	0	0.83	19	0.57	0.22
28	0.34	0.34	0	0.013	0	0.013	0	0.005	0.26	0	0	0.013	0	0.005	0	0.013	0	0	0	0	0	0.47	0.65
29	0.34	0.34	0	0.038	0.00016	0.038	0	0.019	0.12	0	0	0.038	0	0.019	0	0.038	0	0	0	0	0	0.47	0.65
30	0.092	0.092	0	0.12	0.11	0.12	0	0.091	0.054	0	0	0.12	0	0.091	0	0.12	0	0	0	0	3	0.27	0.35
31	0.25	0.25	0.0074	0.056	0.071	0.056	0	0.071	0.056	0	0	0.056	0	0.071	0	0.056	0	0	0	9e-05	0	0.47	0.65
32	0.22	0.22	0	0.072	0.0026	0.072	0	0.057	0.15	0	0	0.072	0	0.057	0	0.072	0	0	0	0	0	0.47	0.65
33	0.4	0.4	0	0.034	3.3e-05	0.034	0	0.007	0.057	0	0	0.034	0	0.007	0	0.034	0	0	0	0	0	0.47	0.65
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	17	0.03	0.35
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	17	0.03	0.35
36	0.32	0.32	0	0.077	0.024	0.077	0	0.0094	0.0081	0	0	0.077	0	0.0094	0	0.077	0	0	0	0	0	0.47	0.65
37	0.0033	0.0033	0	0.14	0.00062	0.14	0	0.17	0.099	0	0	0.14	0	0.17	0	0.14	0	0	0	0	7	0.32	0.35
38	0.21	0.21	0	0.13	0.013	0.13	0	0.014	0.0099	0	0	0.13	0	0.014	0	0.13	0	0	0	0	0	0.47	0.65
39	0.49	0.49	0	0.0025	0	0.0025	0	5.4e-05	0.0022	0	0	0.0025	0	5.4e-05	0	0.0025	0	0	0	0	0	0.47	0.65
40	0.00038	0.00038	0	0.049	0.17	0.049	0	0.31	0.019	0	0	0.049	0	0.31	0	0.049	0	0	0	0	7	0.32	0.35
41	0.038	0.038	0	0.12	0.042	0.12	0	0.15	0.1	0	0	0.12	0	0.15	0	0.12	0	0	0	0	7	0.32	0.35
42	0	0	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97	19	0.57	0.22
43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	17	0.03	0.35
44	0.047	0.047	4e-06	0.075	0.0057	0.075	0	0.16	0.29	0	0	0.075	0	0.16	0	0.075	0	0	0	0	8	0.58	0.65
45	0.38	0.38	0	0.05	0.0011	0.05	0	0.01	0.029	0	0	0.05	0	0.01	0	0.05	0	0	0	0	0	0.47	0.65
46	0.028	0.028	0	0.18	0.013	0.18	0	0.091	0.034	0	0	0.18	0	0.091	0	0.18	0	0	0	0	3	0.27	0.35
47	0.14	0.14	0	0.064	0.11	0.064	0	0.13	0.092	0	0	0.064	0	0.13	0	0.064	0	0	0	0	0	0.47	0.65
48	0.031	0.031	0	0.041	0.76	0.041	0	0.0067	0.00049	0	0	0.041	0	0.0067	0	0.041	0	0.00056	0	0	4	0.27	0.45
49	0	0	0.96	0	0	0	0	0.00013	0	0	0	0	0	0.00013	0	0	0	0	0	0.042	2	0.49	0.29
50	0.024	0.024	0	0.0049	0.84	0.0049	0	0.047	0.00022	0	0	0.0049	0	0.047	0	0.0049	0	0	0	0	4	0.27	0.45
51	0.24	0.24	0	0.082	0.0058	0.082	0	0.045	0.09	0	0	0.082	0	0.045	0	0.082	0	0	0	0	0	0.47	0.65
52	0.49	0.49	0	0.0018	0.0088	0.0018	0	8.3e-05	0.0017	0	0	0.0018	0	8.3e-05	0	0.0018	0	0	0	0	0	0.47	0.65
53	0.19	0.19	0	0.099	0.064	0.099	0	0.057	0.051	0	0	0.099	0	0.057	0	0.099	0	0	0	0	0	0.47	0.65
54	0.13	0.13	0.0086	0.11	0.089	0.11	0	0.078	0.044	0	0	0.11	0	0.078	0	0.11	0	0	0	0.0033	0	0.47	0.65
55	0.02	0.02	0	0.051	0.0012	0.051	0	0.18	0.39	0	0	0.051	0	0.18	0	0.051	0	0	0	0	8	0.58	0.65
56	0	0	0.74	0.058	0	0.058	0	0.0028	0	0	0	0.058	0	0.0028	0	0.058	0	0	0	0.024	2	0.49	0.29
57	0.45	0.45	0	0.017	0	0.017	0	0.0011	0.021	0	0	0.017	0	0.0011	0	0.017	0	0	0	0	0	0.47	0.65
58	0	0	3.7e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0.57	0.22
59	1.5e-05	1.5e-05	0	0.035	0.011	0.035	0	0.41	0.035	0	0	0.035	0	0.41	0	0.035	0	0	0	0	7	0.32	0.35
60	0.44	0.44	0	0.023	0.016	0.023	0	0.004	0.014	0	0	0.023	0	0.004	0	0.023	0	0	0	0	0	0.47	0.65
61	0.0046	0.0046	0	0.12	0.0029	0.12	0	0.2	0.093	0	0	0.12	0	0.2	0	0.12	0	0	0	0	7	0.32	0.35
62	0.2	0.2	0	0.12	0.00042	0.12	0	0.025	0.057	0	0	0.12	0	0.025	0	0.12	0	0	0	0	0	0.47	0.65
63	0.23	0.23	0	0.069	0.00072	0.069	0	0.043	0.18	0	0	0.069	0	0.043	0	0.069	0	0	0	0	0	0.47	0.65
64	0.39	0.39	0	0.0078	0	0.0078	0	0.0028	0.18	0	0	0.0078	0	0.0028	0	0.0078	0	0	0	0	0	0.47	0.65
65	0.078	0.078	0	0.11	0.097	0.11	0	0.11	0.07	0	0	0.11	0	0.11	0	0.11	0	0	0	0	3	0.27	0.35
66	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0.09	0.039
67	0.055	0.055	0	0.14	0.13	0.14	0	0.088	0.034	0	0	0.14	0	0.088	0	0.14	0	0	0	0	3	0.27	0.35
68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58	0	0.41	0.0047	0	0	14	0	0.42
69	0.36	0.36	0	0.049	0.00073	0.049	0	0.012	0.048	0	0	0.049	0	0.012	0	0.049	0	0	0	0	0	0.47	0.65
70	0.14	0.14	0	0.036	0.52	0.036	0	0.025	0.0082	0	0	0.036	0	0.025	0	0.036	0	0	0	0	4	0.27	0.45
71	0.43	0.43	0	0.023	2.1e-05	0.023	0	0.0042	0.042	0	0	0.023	0	0.0042	0	0.023	0	0	0	0	0	0.47	0.65
72	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97	19	0.57	0.22
73	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.00011	0	10	0.09	0.039
74	0.25	0.25	0	0.065	0.0015	0.065	0	0.043	0.15	0	0	0.065	0	0.043	0	0.065	0	0	0	0	0	0.47	0.65
75	0.19	0.19	0.0098	0.081	0.051	0.081	0	0.075	0.081	0	0	0.081	0	0.075	0	0.081	0	0	0	0.0012	0	0.47	0.65
76	0.097	0.097	0	0.088	0.12	0.088	0	0.12	0.082	0	0	0.088	0	0.12	0	0.088	0	0	0	0	7	0.32	0.35
77	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0.09	0.039
78	0.011	0.011	0	0.2	0.014	0.2	0	0.067	0.018	0	0	0.2	0	0.067	0	0.2	0	0	0	0	3	0.27	0.35
79	0	0	0.53	5.1e-06	0	5.1e-06	0	0.00032	0	0	0	5.1e-06	0	0.00032	0	5.1e-06	0	0	0	0.47	2	0.49	0.29
80	0.13	0.13	0	0.098	0.19	0.098	0	0.059	0.034	0	0	0.098	0	0.059	0	0.098	0	0	0	0	4	0.27	0.45
81	0.37	0.37	0	0.023	0.14	0.023	0	0.0055	0.015	0	0	0.023	0	0.0055	0	0.023	0	0	0	0	0	0.47	0.65
82	0.099	0.099	0	0.11	0.045	0.11	0	0.11	0.099	0	0	0.11	0	0.11	0	0.11	0	0	0	0	3	0.27	0.35
83	0.082	0.082	0	0.14	0.027	0.14	0	0.092	0.072	0	0	0.14	0	0.092	0	0.14	0	0	0	0	3	0.27	0.35
84	0.11	0.11	0	0.086	0.00036	0.086	0	0.076	0.28	0	0	0.086	0	0.076	0	0.086	0	0	0	0	8	0.58	0.65
