SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1
0	0	0	0.017	3.5e-06	0	0.98	0	0	0	0	5	0.37	0.26
1	0	1.8e-05	0.012	0.016	0	0.97	0	0	2.5e-06	0	5	0.37	0.26
2	0	0	7.9e-05	0.14	0	0.86	0	0	0	0	5	0.37	0.26
3	0	0	1.6e-05	0.47	0	0.53	0	0	0	0	5	0.37	0.26
4	0.98	0.016	0	0	0	0	0	0	0	0	0	0.082	0.087
5	0	0	0	0	0	0	0	0	0	1	9	0.21	0
6	0	0	0.00027	0.0014	0	1	0	0	0	0	5	0.37	0.26
7	0	0	0	0	0	0	1	0	0	0	6	0	0.087
8	0.95	0.039	0	0	0.015	0	0	0	0	0	0	0.082	0.087
9	0	0	1.1e-06	0.00057	0	1	0	0	0	0	5	0.37	0.26
10	0	0	0	0	1	0	0	0	0	0	4	0.082	0.029
11	0.00049	0.31	0.0012	0.0087	0	0.68	0	0	0	0	5	0.37	0.26
12	0.00081	0.037	0.025	0.0039	7.3e-05	0.93	0	0	0	0	5	0.37	0.26
13	0	0	0.11	0	0	0.89	0	0	0	0	5	0.37	0.26
14	0	0	0.00069	9.4e-05	0	1	0	0	0	0	5	0.37	0.26
15	0	0	0.0019	3.1e-06	0	1	0	0	0	0	5	0.37	0.26
16	0	0	2.3e-06	0	0	1	0	0	0	0	5	0.37	0.26
17	0	0	0.2	0	0	0.8	0	0	0	0	5	0.37	0.26
18	0.079	0.92	0	0	0	0	0	0	0	0	1	0.12	0.14
19	0	0	0.00098	0	0	1	0	0	0	0	5	0.37	0.26
20	0	0	0	0	1	0	0	0	0	0	4	0.082	0.029
21	0	0	0	0	1	0	0	0	0	4.7e-06	4	0.082	0.029
22	0.00079	2.2e-06	0	0	0.29	0	0	0	0	0.71	9	0.21	0
23	0	0	0.002	0.15	0	0.85	0	0	1.2e-06	0	5	0.37	0.26
24	0	0	0	0	1	0	0	0	0	4.9e-05	4	0.082	0.029
25	4.9e-06	0.69	0	0.31	0	1.1e-05	0	0	0	0	1	0.12	0.14
26	0	0	0.0017	0	0	1	0	0	0	0	5	0.37	0.26
27	0	0	0	0	0	1	0	0	0	0	5	0.37	0.26
28	0	0	0.26	0	0	0.74	0	0	0	0	5	0.37	0.26
29	0.00012	0	0	0	0.97	0	0	0	0	0.027	4	0.082	0.029
30	0	4.2e-06	0	1	0	0	0	0	0	0	3	0.21	0.31
31	0.46	0.54	0	0	0	0	0	0	0	0	1	0.12	0.14
32	0.98	0.018	0	0	0	0	0	0	0	0	0	0.082	0.087
33	0.95	2.9e-05	0	0	0.05	0	0	0	0	0	0	0.082	0.087
34	0.00021	0.032	0.00072	0.37	0	0.6	0	0	2.2e-06	0	5	0.37	0.26
35	0	1.7e-05	0.0026	0.0011	0	1	0	0	0	0	5	0.37	0.26
36	0.00056	0.01	0.011	0.0088	9.2e-05	0.97	0	0	1.7e-05	0	5	0.37	0.26
37	0	2.4e-05	0.019	0.0028	0	0.98	0	0	0.0003	0	5	0.37	0.26
38	0.0067	0.9	1.7e-05	0.00079	0.00011	0.093	0	0	0	0	1	0.12	0.14
39	0	0	0.00027	1.9e-05	0	1	0	0	0	0	5	0.37	0.26
40	0	0	6.5e-06	0.00026	0	1	0	0	0	0	5	0.37	0.26
41	0.05	0.95	0	0	0	0	0	0	0	0	1	0.12	0.14
42	0	0	0.0045	0.00018	0	1	0	0	0	0	5	0.37	0.26
43	0	0	0	0	0	0.99	0	5.1e-05	0.0061	0	5	0.37	0.26
44	0.46	3.5e-06	0	0	0.54	0	0	0	0	0	4	0.082	0.029
45	0	0	0.00031	0	0	0.14	0	0	0.86	0	8	0.63	0.42
46	0	0	0	0	1	0	0	0	0	1.9e-05	4	0.082	0.029
47	0	0	0	0	0	1	0	0	0.0012	0	5	0.37	0.26
48	0	0	6.9e-05	0	0	0.97	0	0	0.027	0	5	0.37	0.26
49	0	0	0	0	0	0	0	0	0	1	9	0.21	0
50	0.46	6.4e-05	0	0	0.54	0	0	0	0	0	4	0.082	0.029
51	0	0	0	0	0	0.99	0	0	0.0084	0	5	0.37	0.26
52	0	0	0	0	0	0.016	0	0	0.98	0	8	0.63	0.42
53	3.2e-05	0	0	0	0.092	0	0	0	0	0.91	9	0.21	0
54	0	0	0	1	0	0	0	0	0	0	3	0.21	0.31
55	0	0	3.5e-06	0	0	0.89	0	0	0.11	0	5	0.37	0.26
56	0	0	0	0	1.3e-06	0	0	0	0	1	9	0.21	0
57	0	0	0	0	0	0	0	0	0	1	9	0.21	0
58	0.83	0.0015	0	0	0.17	0	0	0	0	0	0	0.082	0.087
59	0.59	0.41	0	0	4.7e-05	0	0	0	0	0	0	0.082	0.087
60	0	0	0	0	0	0	0	0	1	0	8	0.63	0.42
61	0	0	7e-05	0	0	1	0	0	0	0	5	0.37	0.26
62	0	0	0	0.00018	0	1	0	0	0	0	5	0.37	0.26
63	0.89	0.11	0	0	0	0	0	0	0	0	0	0.082	0.087
64	0	0	0	0	0	1	0	5.1e-06	0.00021	0	5	0.37	0.26
65	0	0	1.1e-06	0	0	0.011	0	0	0.99	0	8	0.63	0.42
66	3.6e-06	0.028	0.00012	0.08	0	0.89	0	0	0	0	5	0.37	0.26
67	0.98	0.02	0	0	7.1e-05	0	0	0	0	0	0	0.082	0.087
68	0	1.1e-05	0.0014	0.1	0	0.9	0	0	1.5e-05	0	5	0.37	0.26
69	0	0	0	0	0	1	0	0	0.00098	0	5	0.37	0.26
70	0.86	0.14	0	0	1.3e-05	0	0	0	0	0	0	0.082	0.087
71	0	2.3e-05	1.5e-06	0	0	1	0	0	0	0	5	0.37	0.26
