SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1
0	1.6e-05	0	0	0.00031	0	0	0	0	0	0	0.98	0	0	0.023	0	0	10	0.37	0.26
1	0.041	0	0	0.067	1.3e-05	0	0	0	0	0.0015	0.87	0	0	0.015	0.0017	0	10	0.37	0.26
2	0.0001	0	0	0.34	0	0	0	0	0	0.011	0.65	0	0	8.2e-05	0.0017	0	10	0.37	0.26
3	4.2e-05	0	0	0.61	0	0	0	0	0	0.033	0.35	0	0	1.4e-05	0.0074	0	3	0.25	0.26
4	0	0	0	0	0.00032	0	0	0	0	0	0	0	1	0	0	0	12	0.12	0.087
5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.21	0
6	0.00069	0	0	0.036	0	0	0	0	0	0.00014	0.96	0	0	0.00036	4.7e-06	0	10	0.37	0.26
7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0.087
8	0	0	0	0	0.002	0.00088	0	0	0	0	0	3.2e-05	1	0	0	0	12	0.12	0.087
9	0	0	0	0.027	0	0	0	0	0	5.9e-05	0.97	0	0	1.5e-06	0	0	10	0.37	0.26
10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.21	0.029
11	0.97	0	0	0.0089	0.0043	0	0	0	0	1.6e-05	0.012	7.3e-05	0.0041	2.8e-05	0.0006	0	0	0.33	0.14
12	0.91	0	0	0.0061	0.0018	4.2e-06	0	0	0	2.6e-05	0.058	0.012	0.0059	0.0021	0.00034	0	0	0.33	0.14
13	0	0	0	0	0	0	0	0	0	0	0.86	0	0	0.14	0	0	10	0.37	0.26
14	0.33	0	0	0.018	0	0	0	0	0	6.5e-06	0.65	0	0	0.00062	2e-06	0	10	0.37	0.26
15	0.15	0	0	0.0022	0	0	0	0	0	0	0.84	0	0	0.0022	0	0	10	0.37	0.26
16	0.97	0	0	2.3e-05	0	0	0	0	0	0	0.034	0	0	0	0	0	0	0.33	0.14
17	0.00015	0	0	0	0	0	0	0	0	0	0.74	0	0	0.26	0	0	10	0.37	0.26
18	0	0	1e-05	0	0.93	0	0	0	0	0	0	0	0.066	0	0	0	4	0.12	0.14
19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0.14
20	0	0	0	0	0	0.77	0	0	0.23	0	0	0	0	0	0	0	5	0.082	0.029
21	0	5.2e-06	0	0	0	0.95	0	0	0.052	0	0	0	0	0	0	0	5	0.082	0.029
22	0	0.73	2.6e-06	0	1.7e-06	0.26	0	0	6.3e-05	0	0	0.0068	0.0013	0	0	0	1	0.21	0
23	0.00049	0	0	0.17	0	0	0	0	0	0.015	0.81	0	0	0.0026	0.0061	0	10	0.37	0.26
24	0	5.6e-05	0	0	0	0.99	0	0	0.014	0	0	0	0	0	0	0	5	0.082	0.029
25	0	0	0	0.02	0.046	0	0	0	0	0.0027	0	0	1.3e-05	0	0.93	0	14	0.16	0.26
26	1	0	0	0	0	0	0	0	0	0	0.0021	0	0	4.9e-06	0	0	0	0.33	0.14
27	0	0	0	0.00015	0	0	0	0	0	0	1	0	0	0	0	0	10	0.37	0.26
28	0.0049	0	0	1.2e-06	0	0	0	0	0	0	0.67	0	0	0.32	0	0	10	0.37	0.26
29	0	0.031	3e-06	0	0	0.97	0	0	0.0016	0	0	6.4e-05	3.1e-05	0	0	0	5	0.082	0.029
30	0	0	0	0.015	1.7e-06	0	0	0	0	0.054	0	0	0	0	0.93	0	14	0.16	0.26
31	0	0	4.9e-05	0	0.44	0	0	0	0	0	0	0	0.56	0	0	0	12	0.12	0.087
32	0	0	0	0	3.2e-05	0	0	0	0	0	0	0	1	0	0	0	12	0.12	0.087
33	0	0	1	0	0	0.00047	0	0	0.0034	0	0	0	1.7e-05	0	0	0	2	0.041	0.087
34	0.011	0	0	0.22	0.021	0	0	0	0	0.032	0.49	0	0.0009	0.00081	0.22	0	10	0.37	0.26
35	0.14	0	0	0.027	1.1e-05	0	0	0	0	9.8e-05	0.83	0	0	0.0029	0.00036	0	10	0.37	0.26
36	0.31	0	0	0.028	0.0053	5.5e-05	0	0	0	0.0006	0.63	0.0076	0.0091	0.0098	0.004	0	10	0.37	0.26
37	0.03	0	0	0.012	1.8e-05	0	0	0	0	0.00028	0.93	0	3.2e-06	0.025	0.00042	0	10	0.37	0.26
38	0.85	0	0	0.0016	0.014	1.8e-06	0	0	0	1.6e-06	0.0018	0.048	0.086	0	0.00017	0	0	0.33	0.14
39	5.7e-05	0	0	0.0018	0	0	0	0	0	2e-06	1	0	0	0.00038	0	0	10	0.37	0.26
40	4.6e-05	0	0	0.031	0	0	0	0	0	2.6e-05	0.97	0	0	8.7e-06	0	0	10	0.37	0.26
41	0	0	0.00027	0	0.99	0	0	0	0	0	0	0	0.012	0	2.1e-05	0	4	0.12	0.14
42	0.022	0	0	0.0051	0	0	0	0	0	1.8e-05	0.97	0	0	0.0061	6.7e-06	0	10	0.37	0.26
43	0	0	0	0	0	0	0.0028	0	0	0	1	0	0	0	0	6.1e-06	10	0.37	0.26
44	0	0	0.0014	0	5e-06	0.89	0	0	0.00011	0	0	0	0.11	0	0	0	5	0.082	0.029
45	0	0	0	0	0	0	0.0044	0	0	0	0.99	0	0	0.0031	0	0.001	10	0.37	0.26
46	0	2.2e-05	0	0	0	1	0	0	0.00044	0	0	0	0	0	0	0	5	0.082	0.029
47	0	0	0	0	0	0	0.0013	0	0	0	1	0	0	0	0	0	10	0.37	0.26
48	0	0	0	0	0	0	0	0	0	0	1	0	0	9.8e-05	0	2.1e-05	10	0.37	0.26
49	0	1	0	0	0	0	0	0	0	0	0	1.5e-06	0	0	0	0	1	0.21	0
50	0	0	0	0	2e-05	0.19	0	0	0	0	0	5e-05	0.81	0	0	0	12	0.12	0.087
51	0	0	0	0	0	0	6.3e-05	0	0	0	1	0	0	0	0	0	10	0.37	0.26
52	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.37	0.26
53	0	0.92	0	0	0	0.08	0	0	6.9e-06	0	0	0.0016	6.3e-05	0	0	0	1	0.21	0
54	0	0	0	0.22	0	0	0	0	0	0.17	0	0	0	0	0.62	0	14	0.16	0.26
55	0	0	0	0	0	0	0	0	0	0	1	0	0	5.4e-06	0	0	10	0.37	0.26
56	0	0.99	0	0	0	1.1e-06	0	0	0	0	0	0.0081	3.3e-06	0	0	0	1	0.21	0
57	0	1	0	0	0	0	0	0	0	0	0	4.9e-06	0	0	0	0	1	0.21	0
58	0	0	0.0001	0	0.00089	0.11	0	0	1.3e-06	0	0	5.6e-05	0.89	0	0	0	12	0.12	0.087
59	0	0	0	0	0.0063	0	0	0	0	0	0	1.3e-06	0.99	0	0	0	12	0.12	0.087
60	0	0	0	0	0	0	0.0016	0	0	0	0.00044	0	0	0	0	1	15	0.79	0.58
61	4.5e-05	0	0	0.00012	0	0	0	0	0	0	1	0	0	9.6e-05	0	0	10	0.37	0.26
62	0	0	0	0.04	0	0	0	0	0	1.9e-05	0.96	0	0	0	0	0	10	0.37	0.26
63	0	0	0.00039	0	0.16	0	0	0	0	0	0	0	0.84	0	0	0	12	0.12	0.087
64	0	0	0	0	0	0	0.00069	0	0	0	1	0	0	0	0	0	10	0.37	0.26
65	0	0	0	0	0	0	0.00063	0	0	0	0.98	0	0	0.00014	0	0.024	10	0.37	0.26
