SNV	cluster0	cluster1	cluster	dcf0	dcf1
0	0	1	1	0.37	0.26
1	0	1	1	0.37	0.26
2	0	1	1	0.37	0.26
3	0	1	1	0.37	0.26
4	1	0	0	0.082	0.058
5	1	0	0	0.082	0.058
6	0	1	1	0.37	0.26
7	1	0	0	0.082	0.058
8	1	0	0	0.082	0.058
9	0	1	1	0.37	0.26
10	1	0	0	0.082	0.058
11	0.00021	1	1	0.37	0.26
12	0.0013	1	1	0.37	0.26
13	0	1	1	0.37	0.26
14	0	1	1	0.37	0.26
15	0	1	1	0.37	0.26
16	0	1	1	0.37	0.26
17	0	1	1	0.37	0.26
18	1	0	0	0.082	0.058
19	0	1	1	0.37	0.26
20	1	0	0	0.082	0.058
21	1	0	0	0.082	0.058
22	1	0	0	0.082	0.058
23	0	1	1	0.37	0.26
24	1	0	0	0.082	0.058
25	0.00013	1	1	0.37	0.26
26	0	1	1	0.37	0.26
27	0	1	1	0.37	0.26
28	0	1	1	0.37	0.26
29	1	0	0	0.082	0.058
30	0	1	1	0.37	0.26
31	1	0	0	0.082	0.058
32	1	0	0	0.082	0.058
33	1	0	0	0.082	0.058
34	2.6e-05	1	1	0.37	0.26
35	0	1	1	0.37	0.26
36	0.0009	1	1	0.37	0.26
37	0	1	1	0.37	0.26
38	0.077	0.92	1	0.37	0.26
39	0	1	1	0.37	0.26
40	0	1	1	0.37	0.26
41	1	0	0	0.082	0.058
42	0	1	1	0.37	0.26
43	0	1	1	0.37	0.26
44	1	0	0	0.082	0.058
45	0	1	1	0.37	0.26
46	1	0	0	0.082	0.058
47	0	1	1	0.37	0.26
48	0	1	1	0.37	0.26
49	1	0	0	0.082	0.058
50	1	0	0	0.082	0.058
51	0	1	1	0.37	0.26
52	0	1	1	0.37	0.26
53	1	0	0	0.082	0.058
54	0	1	1	0.37	0.26
55	0	1	1	0.37	0.26
56	1	0.00021	0	0.082	0.058
57	1	0	0	0.082	0.058
58	1	0	0	0.082	0.058
59	1	0	0	0.082	0.058
60	0	1	1	0.37	0.26
61	0	1	1	0.37	0.26
62	0	1	1	0.37	0.26
63	1	0	0	0.082	0.058
64	0	1	1	0.37	0.26
65	0	1	1	0.37	0.26
66	0	1	1	0.37	0.26
67	1	0	0	0.082	0.058
68	0	1	1	0.37	0.26
69	0	1	1	0.37	0.26
70	1	0	0	0.082	0.058
71	0	1	1	0.37	0.26
72	0	1	1	0.37	0.26
73	0	1	1	0.37	0.26
74	0	1	1	0.37	0.26
75	0	1	1	0.37	0.26
76	0	1	1	0.37	0.26
77	0	1	1	0.37	0.26
78	0	1	1	0.37	0.26
79	0	1	1	0.37	0.26
80	0	1	1	0.37	0.26
81	0	1	1	0.37	0.26
82	1	0	0	0.082	0.058
83	0	1	1	0.37	0.26
84	0	1	1	0.37	0.26
85	0	1	1	0.37	0.26
86	0	1	1	0.37	0.26
87	1	0	0	0.082	0.058
88	0	1	1	0.37	0.26
89	0	1	1	0.37	0.26
90	0.97	0.035	0	0.082	0.058
91	0	1	1	0.37	0.26
92	0	1	1	0.37	0.26
93	0	1	1	0.37	0.26
94	0	1	1	0.37	0.26
95	0	1	1	0.37	0.26
96	1	0	0	0.082	0.058
97	0	1	1	0.37	0.26
98	0	1	1	0.37	0.26
99	0	1	1	0.37	0.26
100	0	1	1	0.37	0.26
101	0	1	1	0.37	0.26
102	1	0	0	0.082	0.058
103	0	1	1	0.37	0.26
104	0	1	1	0.37	0.26
105	0	1	1	0.37	0.26
106	0	1	1	0.37	0.26
107	0	1	1	0.37	0.26
108	1	0	0	0.082	0.058
109	0	1	1	0.37	0.26
110	1	0	0	0.082	0.058
111	0	1	1	0.37	0.26
112	0	1	1	0.37	0.26
113	0	1	1	0.37	0.26
114	1	0	0	0.082	0.058
115	0	1	1	0.37	0.26
116	1	0.00023	0	0.082	0.058
117	1	0	0	0.082	0.058
118	0	1	1	0.37	0.26
119	0	1	1	0.37	0.26
120	1	0.0028	0	0.082	0.058
121	1	0	0	0.082	0.058
122	0	1	1	0.37	0.26
123	0	1	1	0.37	0.26
124	1	0	0	0.082	0.058
125	0	1	1	0.37	0.26
126	0	1	1	0.37	0.26
127	1	0	0	0.082	0.058
128	2.4e-06	1	1	0.37	0.26
129	0	1	1	0.37	0.26
130	1	0	0	0.082	0.058
131	1	0	0	0.082	0.058
132	0	1	1	0.37	0.26
133	0	1	1	0.37	0.26
134	1	0	0	0.082	0.058
135	0	1	1	0.37	0.26
136	1	0	0	0.082	0.058
137	1	0	0	0.082	0.058
138	0	1	1	0.37	0.26
139	0	1	1	0.37	0.26
140	0	1	1	0.37	0.26
141	0	1	1	0.37	0.26
142	0	1	1	0.37	0.26
143	0	1	1	0.37	0.26
144	0	1	1	0.37	0.26
145	0	1	1	0.37	0.26
146	1	0	0	0.082	0.058
147	1	0	0	0.082	0.058
148	0	1	1	0.37	0.26
149	0	1	1	0.37	0.26
150	0	1	1	0.37	0.26
151	1	0.0011	0	0.082	0.058
152	0.00021	1	1	0.37	0.26
153	0	1	1	0.37	0.26
154	0	1	1	0.37	0.26
155	1	0	0	0.082	0.058
156	0	1	1	0.37	0.26
157	0	1	1	0.37	0.26
158	1	0	0	0.082	0.058
159	1	0	0	0.082	0.058
160	0	1	1	0.37	0.26
161	0	1	1	0.37	0.26
162	0	1	1	0.37	0.26
163	0	1	1	0.37	0.26
164	1	0	0	0.082	0.058
165	0	1	1	0.37	0.26
166	1	0	0	0.082	0.058
167	0	1	1	0.37	0.26
168	1	0	0	0.082	0.058
169	0	1	1	0.37	0.26
170	0	1	1	0.37	0.26
171	0	1	1	0.37	0.26
172	1	0	0	0.082	0.058
173	0	1	1	0.37	0.26
174	0	1	1	0.37	0.26
175	0	1	1	0.37	0.26
176	1	4.4e-06	0	0.082	0.058
177	1	0	0	0.082	0.058
178	0.0049	1	1	0.37	0.26
179	1	0	0	0.082	0.058
180	1	0	0	0.082	0.058
181	1	0	0	0.082	0.058
182	1	0	0	0.082	0.058
183	1	0	0	0.082	0.058
184	0	1	1	0.37	0.26
185	0	1	1	0.37	0.26
186	0	1	1	0.37	0.26
187	1	0	0	0.082	0.058
188	0	1	1	0.37	0.26
189	0	1	1	0.37	0.26
190	0	1	1	0.37	0.26
191	0	1	1	0.37	0.26
192	0	1	1	0.37	0.26
193	1	0	0	0.082	0.058
194	0	1	1	0.37	0.26
195	1	0	0	0.082	0.058
196	0	1	1	0.37	0.26
197	0	1	1	0.37	0.26
198	1	0	0	0.082	0.058
199	3.6e-05	1	1	0.37	0.26
200	1	0	0	0.082	0.058
201	1	0	0	0.082	0.058
202	0	1	1	0.37	0.26
203	0	1	1	0.37	0.26
204	1	0	0	0.082	0.058
205	0	1	1	0.37	0.26
206	0.00055	1	1	0.37	0.26
207	0	1	1	0.37	0.26
208	0	1	1	0.37	0.26
209	0	1	1	0.37	0.26
210	0	1	1	0.37	0.26
211	0	1	1	0.37	0.26
212	0	1	1	0.37	0.26
213	0	1	1	0.37	0.26
214	1	0	0	0.082	0.058
215	1	0.0011	0	0.082	0.058
216	0	1	1	0.37	0.26
217	1	0	0	0.082	0.058
218	2.3e-05	1	1	0.37	0.26
219	0	1	1	0.37	0.26
220	0	1	1	0.37	0.26
221	1	0	0	0.082	0.058
222	0	1	1	0.37	0.26
223	1	0	0	0.082	0.058
