SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1
0	0	0	0	0	2.4e-06	0	0	0.012	0.01	0	0	0	0	0	0	0.98	0	0	0	0	15	0.37	0.26
1	0	0	1.4e-05	0	0.036	0	0	0.078	0.0053	0	0	0	1.2e-06	0.003	0.0034	0.87	0	0	0	0.0023	15	0.37	0.26
2	0	0	0	0	0.00025	0	0	0.0092	2.9e-05	0	0	0	0	0.032	0.036	0.92	0	0	0	0.0032	15	0.37	0.26
3	0	0	0	0	0.00022	0	0	0.0054	6.3e-06	0	0	0	0	0.13	0.15	0.69	0	0	0	0.02	15	0.37	0.26
4	0.98	0	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082	0.087
5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0.21	0
6	0	0	0	0	0.00051	0	0	0.025	3.7e-05	0	0	0	0	0.00029	0.00034	0.97	0	0	0	6.4e-06	15	0.37	0.26
7	0	0	0	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0.64	0	18	0	0.087
8	0.94	0.018	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082	0.087
9	0	0	0	0	0	0	0	0.00065	0	0	0	0	0	0.00012	0.00014	1	0	0	0	0	15	0.37	0.26
10	0	0.73	0	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.082	0.029
11	4.2e-06	0	0.0025	0	0.98	0	0	0.015	0	0	0	0	0	1.7e-05	1.9e-05	0.0062	0	0	0	0.00043	4	0.29	0.14
12	4.6e-05	5.1e-06	0.002	0	0.88	0	0	0.063	7.1e-05	0	0	0	0	5.1e-05	5.8e-05	0.057	0	0	0	0.00046	4	0.29	0.14
13	0	0	0	0	0	0	0	0.0068	0.058	0	0	0	0	0	0	0.94	0	0	0	0	15	0.37	0.26
14	0	0	0	0	0.18	0	0	0.27	2.9e-06	0	0	0	0	1.1e-05	1.3e-05	0.55	0	0	0	2.3e-06	15	0.37	0.26
15	0	0	0	0	0.038	0	0	0.29	1.3e-05	0	0	0	0	0	0	0.68	0	0	0	0	15	0.37	0.26
16	0	0	0	0	0.24	0	0	0.72	0	0	0	0	0	0	0	0.039	0	0	0	0	7	0.37	0.2
17	0	0	0	0	0	0	0	0.53	1.6e-05	0	0	0	0	0	0	0.47	0	0	0	0	7	0.37	0.2
18	0.082	0	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0	7.1e-06	0	0	0	2	0.12	0.14
19	0	0	0	0	1	0	0	0.0037	0	0	0	0	0	0	0	1.1e-06	0	0	0	0	4	0.29	0.14
20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.082	0.029
