SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0	dcf1
0	0	0.99	0	0	1.9e-06	0	0	0.0083	0	0	0	0	0	1.7e-06	1	0.37	0.26
1	0	0.98	0	0	0.0085	0	0	0.0048	0	0	1.9e-05	0	2e-06	0.0077	1	0.37	0.26
2	0	0.86	0	0	0.075	0	0	2.1e-05	0	0	0	0	0	0.068	1	0.37	0.26
3	0	0.52	0	0	0.25	0	0	3.8e-06	0	0	0	0	0	0.23	1	0.37	0.26
4	0.98	0	0	0	0	0	0	0	0	0	0.023	0	0	0	0	0.082	0.087
5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0.21	0
6	0	1	0	0	0.00076	0	0	3e-05	0	0	0	0	0	0.00069	1	0.37	0.26
7	0	0	0	0	0	0.32	0	0	0.038	0	0	0.64	0	0	11	0	0.087
8	0.93	0	0.019	0	0	0	0	0	0	0	0.056	0	0	0	0	0.082	0.087
9	0	1	0	0	0.00031	0	0	0	0	0	0	0	0	0.00028	1	0.37	0.26
10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0.082	0.029
11	0.00035	0.67	0	0	0.0046	0	0	5e-06	0	0	0.32	0	0	0.0042	1	0.37	0.26
12	0.0006	0.95	7.3e-05	0	0.0021	0	0	0.00096	0	0	0.04	0	0	0.0019	1	0.37	0.26
13	0	0.95	0	0	0	0	0	0.048	0	0	0	0	0	0	1	0.37	0.26
14	0	1	0	0	5.1e-05	0	0	4.3e-06	0	0	0	0	0	4.6e-05	1	0.37	0.26
15	0	1	0	0	1.7e-06	0	0	1.5e-05	0	0	0	0	0	1.5e-06	1	0.37	0.26
16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.37	0.26
17	0	1	0	0	0	0	0	2.8e-05	0	0	0	0	0	0	1	0.37	0.26
18	0.055	0	0	0	0	0	0	0	0	5.1e-06	0.94	0	0	0	10	0.12	0.14
19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.37	0.26
20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0.082	0.029
