k	loglikelihood	observations	parameters	BIC
1	-81154.1	35708	4	162350
2	-33723.2	35708	6	67509.4
3	-29547.5	35708	8	59178.9
4	-27847.4	35708	10	55799.6
5	-26309.4	35708	12	52744.6
6	-24526.2	35708	14	49199.2
7	-24274.1	35708	16	48716
8	-23716.6	35708	18	47621.9
9	-23209.5	35708	20	46628.6
10	-23120.6	35708	22	46471.9
11	-22855	35708	24	45961.6
12	-22932.9	35708	26	46138.4
13	-22294.6	35708	28	44882.8
14	-22652.2	35708	30	45618.8
15	-22420.8	35708	32	45177.1
16	-21924.5	35708	34	44205.5
17	-21778.8	35708	36	43935
18	-21797.3	35708	38	43993
19	-21857.4	35708	40	44134
20	-21718.6	35708	42	43877.5
