SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster	dcf0	dcf1
0	0	0	0	0	5.6e-05	0	0.48	0	0.51	0.0067	0	8	0.16	0.35
1	0.92	0	0	0	0.021	0	0	0	0.057	0	0	0	0.31	0.22
2	0	0	0	0	0.00041	0	0	0	0.0017	1	0	9	0.24	0.48
3	0	0	0	1	0	0.0011	0	0	0	0	0	3	0	0.12
4	0.82	0	0	0	0.15	0	0	0	0.034	0.0019	0	0	0.31	0.22
5	0	1	0	0	0	1.2e-05	0	0.00012	0	0	5.5e-06	1	0.16	0
6	0.00014	0	0	0	0.0032	0	0	0	0.98	0.016	0	8	0.16	0.35
7	1	0	0	0	0	0	0	0	0	0	0	0	0.31	0.22
8	0.97	0	0	0	0.03	0	0	0	0	0	0	0	0.31	0.22
9	0.0072	0	0	0	0.99	0	0	0	0.0026	1.2e-05	0	4	0.31	0.35
10	0	0.99	0	0	0	2.2e-06	0	0.011	0	0	0.0044	1	0.16	0
11	0	0	0	0	0.0073	0	0	0	0.82	0.17	0	8	0.16	0.35
12	0	0.49	0	0	0	0.00019	0	0.12	0	0	0.39	1	0.16	0
13	0	0.76	0	0	0	0.019	0	0.048	0	0	0.17	1	0.16	0
14	0	0	0	0.76	0	0	0.24	0	0	0	0	3	0	0.12
15	0	0	0	0	0	0	1	0	0	0	0	6	0	0.42
16	0	0.98	0	0	0	0.0072	0	0.0063	0	0	0.0065	1	0.16	0
17	0	0	0	1	0	0	0	0	0	0	0	3	0	0.12
18	0	0	0	0	0.32	0	0	0	0.68	2.9e-06	0	8	0.16	0.35
19	0	0	0	0	0	0	0.049	0	0.95	0	0	8	0.16	0.35
20	0.0044	0	0	0	1	0	0	0	8e-06	0.0003	0	4	0.31	0.35
21	5e-05	0	0	0	1	0	0	0	0	5.1e-05	0	4	0.31	0.35
22	0	0.74	0	0	0	0.0029	0	0.072	0	0	0.18	1	0.16	0
23	0	0.64	0	0	0	0.0069	0	0.01	0.32	0	0.015	1	0.16	0
24	0	0	0	0	0	0	0.93	0	0.066	0	0	6	0	0.42
25	2.9e-05	0.89	0	0	0	0.076	0	0.013	2.2e-06	0	0.026	1	0.16	0
26	0	3.6e-05	0	0	0	0	0	0.022	0	0	0.98	10	0.089	0
27	1	0	0	0	0.00066	0	0	0	0	0	0	0	0.31	0.22
28	0	0	0	1	0	0	0	0	0	0	0	3	0	0.12
29	0	0	0	0	1	0	0	0	0	0	0	4	0.31	0.35
