SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1
0	0	0.0029	0	0	0	0	0	0	0	0	0.18	0.39	0.098	1e-05	1.4e-06	5.5e-05	0	2.3e-06	0.33	0	11	0.16	0.35
1	0	0	0.13	0	3.3e-06	0	0	0	0	0	0	0.012	0	0	0.85	0.0059	0	0.00033	0	0	14	0.31	0.29
2	0	0.0026	0	0	0	0	0	0	0	0	0	0.046	0	0	0	0.014	0	0	0.94	0	18	0.16	0.45
3	0	0	0	0	0	0	0.0012	0	0.032	0	0	0	0	0.032	0	0	0.94	0	0	0	16	0	0.12
4	0	1.8e-05	0.37	0	0	0	0	0	0.00094	0	0	0.023	0	0	0.24	0.13	0	0.24	0.00036	0	2	0.31	0.22
5	0.62	0	0	0	0	0	7.7e-06	0.38	0	6e-06	0	0	0	0	0	0	0	0	0	0	0	0.16	0
6	0	0.00094	8.3e-05	0	0	0	0	0	2.4e-06	0	0	0.86	0	0	0.00065	0.0037	0	0.0012	0.13	0	11	0.16	0.35
7	0	0	0.98	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	2	0.31	0.22
8	0	0	0.59	0	0	0	0	0	0	0	0	0	0	0	0.36	0.035	0	0.015	0	0	2	0.31	0.22
9	0	0	0.0015	0	0	0	0	0	0	0	0	0.00078	0	0	0.59	0.39	0	0.02	0	0	14	0.31	0.29
10	0.62	0	0	0	0	0	0	0.38	0	0.0049	0	0	0	0	0	0	0	0	0	0	0	0.16	0
11	0	0.0088	0	0	0	0	0	0	0	0	0	0.51	0	0	0	0.0059	0	0	0.48	0	11	0.16	0.35
12	0.33	0	0	0	0	4.2e-06	0.00013	0.2	0	0.47	0	0	0	0	0	0	0	0	0	0	9	0.089	0
13	0.49	0	0	0	0	0.0006	0.012	0.3	2.6e-05	0.2	0	0	0	0	0	0	0	0	0	0	0	0.16	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0.79	0.19	0	0	0.02	0	0	0	12	0	0.31
