SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0	dcf1
0	0	3.5e-06	0.011	0	0.16	3.9e-06	0	0.52	0	0	0	0	1.5e-05	0	0	0.16	0	0.15	7	0	0.35
1	0	0.92	0	0	0.0021	0	0	0	0	0	0.073	0	0	0	0	0.0022	0	0.002	1	0.31	0.29
2	0	0	1	0	0.00034	0	0	0	0	0	0	0	0	0	0	0.00035	0	0.00032	2	0.24	0.48
3	0	0	0	0	0	0.0022	0	0	0.97	0	0	0	0.025	0	0	0	0.00073	0	8	0	0.078
4	0	0.54	0.0025	0	0.0084	0.011	0	0	0	0	0.42	0	0	0	0	0.0087	0	0.008	1	0.31	0.29
5	0.99	0	0	2.3e-06	0	0	0	0	0	2.3e-06	0	0	0	0.007	2.3e-06	0	8.9e-06	0	0	0.16	0
6	0	0.0015	0.027	0	0.32	0.00033	0	0	0	0	9.5e-05	0	0	0	0	0.34	0	0.31	15	0.16	0.35
7	0	0.039	0	0	0	0	0	0	0	0	0.96	0	0	0	0	0	0	0	10	0.31	0.22
8	0	0.54	0	0	0	0	0	0	0	0	0.46	0	0	0	0	0	0	0	1	0.31	0.29
9	0	1	5.3e-06	0	0.00022	0	0	0	0	0	0.0013	0	0	0	0	0.00023	0	0.00021	1	0.31	0.29
10	0.99	0	0	0.0019	0	0	0	0	0	0.0019	0	0	0	0.0002	0.0019	0	0	0	0	0.16	0
11	0	0	0.27	0	0.24	0	0	0	0	0	0	0	0	0	0	0.25	0	0.23	2	0.24	0.48
12	0.49	0	0	0.17	0	0	0	0	0	0.17	0	0	0	0.0001	0.17	0	0.00014	0	0	0.16	0
13	0.75	0	0	0.075	0	4.7e-06	0	0	0	0.075	0	0	0	0.0082	0.075	0	0.014	0	0	0.16	0
14	0	0	0	0	0	0	0	0.58	0.00019	0	0	0	0.42	0	0	0	0	0	7	0	0.35
15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0.35
16	0.95	0	0	0.0027	0	0	0	0	0	0.0027	0	0	0	0.038	0.0027	0	0.0052	0	0	0.16	0
17	0	0	0	0	0	0	0	0.00021	0.026	0	0	0	0.97	0	0	0	0	0	12	0	0.16
18	0	0	7.4e-06	0	0.33	0	0	0	0	0	0	0	0	0	0	0.35	0	0.32	15	0.16	0.35
19	0	0	0	0	0.11	0	0	0.68	0	0	0	0	0	0	0	0.11	0	0.1	7	0	0.35
20	0	0.99	0.00083	0	4.2e-06	0	0	0	0	0	0.0049	0	0	0	0	4.4e-06	0	4.1e-06	1	0.31	0.29
21	0	1	0.00035	0	0	0	0	0	0	0	0.00014	0	0	0	0	0	0	0	1	0.31	0.29
22	0.76	0	0	0.079	0	0	0	0	0	0.079	0	0	0	0.00056	0.079	0	0.0022	0	0	0.16	0
23	0.68	0	0	0.007	0.094	1.2e-06	0	0	0	0.007	0	0	0	0.011	0.007	0.098	0.0055	0.09	0	0.16	0
24	0	0	0	0	0.037	0	0	0.89	0	0	0	0	0	0	0	0.038	0	0.035	7	0	0.35
25	0.86	2e-06	0	0.011	0	0.00084	0	0	0	0.011	1.7e-05	0	0	0.053	0.011	0	0.055	0	0	0.16	0
26	2.9e-05	0	0	0.33	0	0	0	0	0	0.33	0	0	0	0	0.33	0	0	0	3	0.089	0
27	0	0.25	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	10	0.31	0.22
28	0	0	0	0	0	0	0	0	1	0	0	0	0.0037	0	0	0	0	0	8	0	0.078
29	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.31	0.29
30	0.95	0	0	1.5e-05	0	0	0	0	0	1.5e-05	0	0	0	0.049	1.5e-05	0	0.0015	0	0	0.16	0
31	0	0	0.98	0	0.0067	0	0	0	0	0	0	0	0	0	0	0.007	0	0.0065	2	0.24	0.48
32	0	0	0.79	0	0.071	0	0	0	0	0	0	0	0	0	0	0.074	0	0.068	2	0.24	0.48
33	0	0	2.2e-05	0	0.33	0	0	0	0	0	0	0	0	0	0	0.35	0	0.32	15	0.16	0.35
34	0	0	0	0	0	0	0	0	4.2e-06	0	0	0	1	0	0	0	0	0	12	0	0.16
35	0	0	0	0	0	0	0	0.049	0.0055	0	0	0	0.95	0	0	0	0	0	12	0	0.16
36	0	0.0023	8.9e-06	0	0.023	0.92	0	0	0	0	0.0076	0	0	0	0	0.024	0.00043	0.022	5	0.16	0.16
37	0	0	0	0	0	0	0	0	1	0	0	0	0.0015	0	0	0	0	0	8	0	0.078
38	0	3.2e-06	0.5	0	0.17	0	0	0	0	0	0	0	0	0	0	0.17	0	0.16	2	0.24	0.48
39	0	0	1	0	0.0001	0	0	0	0	0	0	0	0	0	0	0.00011	0	9.9e-05	2	0.24	0.48
40	0	0	0	0	0	1.2e-05	0	0	1	0	0	0	0.00014	0	0	0	0	0	8	0	0.078
41	0	0	0	0.33	0	0	0	0	0	0.33	0	0	0	0	0.33	0	0	0	3	0.089	0
42	0	0	0	0	0	0.051	0	0	0.37	0	0	0	0.58	0	0	0	3.7e-05	0	12	0	0.16
43	0.86	0	0	0.043	0	0	0	0	0	0.043	0	0	0	0.004	0.043	0	0.0035	0	0	0.16	0
44	0	0.88	0.001	0	0.00039	0	0	0	0	0	0.12	0	0	0	0	0.00041	0	0.00037	1	0.31	0.29
45	0	0	0	0	1.6e-05	1	0	0	0	0	0	0	0	0	0	1.7e-05	6e-06	1.5e-05	5	0.16	0.16
