SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0	dcf1
0	0	4.5e-05	0	0	0.3	0.0014	0.16	0	0	0	0	4.6e-05	3.3e-06	0.16	0.38	0	1.1e-05	0	0	14	0	0.35
1	0	0.00089	4e-05	0	0.004	0.15	0	0	0	0	0	0	0.85	0	0	0	0	0	0	12	0.31	0.29
2	0	0	0	0	0.063	0	0.035	0	0	0	0	0.001	0	0.9	0	0	0	0	0	13	0.16	0.42
3	0	1.7e-05	0	0	0	0	0	0.95	0.00072	0.022	0	0	0	0	0	0	0.025	0	0	7	0	0.078
4	0	0.02	0.051	0	0.028	0.01	2.1e-05	0	0	0.0014	0	0.0001	0.89	0.00099	0	0	0	0	0	12	0.31	0.29
5	0.00077	0	0	0.0077	0	0	0	0	9.5e-06	0	1.6e-05	0	0	0	0	0.99	0	0	0	15	0.16	0
6	0	0.0029	0	0	0.8	0.027	0.02	0	0	2.7e-06	0	0.00011	0.0018	0.14	0	0	0	0	0	4	0.16	0.35
7	0	0	1	0	0	0	0	0	0	0	0	0	0.0031	0	0	0	0	0	0	2	0.39	0.22
8	0	0	0.1	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	12	0.31	0.29
9	0	0	0	0	0.00044	7.5e-05	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0.31	0.29
10	0.065	0	0	0.00021	0	0	0	0	0	0	5.1e-05	0	0	0	0	0.93	0	0	0	15	0.16	0
11	0	0	0	0	0.51	0	0.12	0	0	0	0	0.0014	0	0.38	0	0	0	0	0	4	0.16	0.35
12	0.6	0	0	8.8e-05	0	0	0	0	0.00012	0	4e-05	0	0	0	0	0.39	0	0	0.0033	0	0.11	0
13	0.28	0	0	0.0081	0	0	0	0	0.014	3.2e-05	3.8e-05	0	0	0	0	0.69	0	0	0.0084	15	0.16	0
14	0	0	0	0	0	0	0	0.00019	0	0	0	0	0	0	0.57	0	0.43	0	0	14	0	0.35
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	14	0	0.35
