SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1
0	0	3.5e-06	0	0.37	0.33	0	0.3	0	3	0.16	0.35
1	0	0.99	0	0.0055	0	0	0	0	1	0.31	0.29
2	0	0	0	0.13	0	0	0.87	0	6	0.16	0.48
3	0	0	1	0	0	0.0012	0	0	2	0	0.12
4	0	0.96	0	0.036	0	0	0.00015	0	1	0.31	0.29
5	1	0	0	0	0	2.7e-05	0	0	0	0.14	0
6	0	0.0018	0	0.93	0	0	0.072	0	3	0.16	0.35
7	0	1	0	0	0	0	0	0	1	0.31	0.29
8	0	1	0	0	0	0	0	0	1	0.31	0.29
9	0	1	0	0.00052	0	0	0	0	1	0.31	0.29
10	1	0	0	0	0	0	0	0	0	0.14	0
11	0	0	0	0.62	0	0	0.38	0	3	0.16	0.35
12	1	0	0	0	0	0.00013	0	0	0	0.14	0
13	0.98	0	0	0	0	0.016	0	0	0	0.14	0
14	0	0	0.086	0	0.91	0	0	0	4	0	0.35
15	0	0	0	0	1	0	0	0	4	0	0.35
16	0.99	0	0	0	0	0.0086	0	0	0	0.14	0
17	0	0	1	0	0.00024	0	0	0	2	0	0.12
18	0	0	0	1	0	0	6e-05	0	3	0.16	0.35
19	0	0	0	0.37	0.63	0	5.1e-05	0	4	0	0.35
20	0	1	0	1e-05	0	0	0	0	1	0.31	0.29
21	0	1	0	0	0	0	0	0	1	0.31	0.29
22	1	0	0	0	0	0.0019	0	0	0	0.14	0
23	0.71	0	0	0.28	0	0.0069	0	0	0	0.14	0
24	0	0	0	0.13	0.87	0	0	0	4	0	0.35
25	0.92	3.1e-06	0	2.1e-06	0	0.081	0	0	0	0.14	0
26	1	0	0	0	0	0	0	0	0	0.14	0
27	0	1	0	0	0	0	0	0	1	0.31	0.29
28	0	0	1	0	0	0	0	0	2	0	0.12
29	0	1	0	0	0	0	0	0	1	0.31	0.29
30	1	0	0	0	0	0.0049	0	0	0	0.14	0
31	0	0	0	0.17	0	0	0.83	0	6	0.16	0.48
32	0	0	0	0.85	0	0	0.15	0	3	0.16	0.35
33	0	0	0	1	0	0	0.00036	0	3	0.16	0.35
34	0	0	1	0	0	0	0	0	2	0	0.12
35	0	0	0.88	0	0.12	0	0	0	2	0	0.12
36	0	0.041	0	0.95	0	0.0075	0.00032	0	3	0.16	0.35
37	0	0	1	0	0	0	0	0	2	0	0.12
38	0	8e-06	0	1	0	0	0.003	0	3	0.16	0.35
39	0	0	0	0	0	0	1	0	6	0.16	0.48
40	0	0	1	0	0	3e-06	0	0	2	0	0.12
41	1	0	0	0	0	0	0	0	0	0.14	0
42	0	0	1	0	0	2.1e-05	0	0	2	0	0.12
43	1	0	0	0	0	0.004	0	0	0	0.14	0
44	0	1	0	0.0011	0	0	0	0	1	0.31	0.29
45	0	0	0	0.87	0	0.13	0	0	3	0.16	0.35
46	0	0	0	0	0	1	0	0	5	0.16	0.039
47	0	2.6e-05	0	0.89	0	0	0.11	0	3	0.16	0.35
48	0	0	0	0.37	0.63	0	0	0	4	0	0.35
49	0	0.079	0	0.82	0	0	0.11	0	3	0.16	0.35
50	1	0	0	0	0	0	0	0	0	0.14	0
51	0	0	0	0.37	0.63	0	0.00031	0	4	0	0.35
52	0	0.052	0	0.95	0	0	0.0011	0	3	0.16	0.35
53	0	0	0	0.37	0.63	0	0.00018	0	4	0	0.35
54	0.73	0	0	0	0	0.27	0	0	0	0.14	0
55	1	0	0	0	0	0.0026	0	0	0	0.14	0
56	0	1	0	0	0	0	0	0	1	0.31	0.29
57	0	0	0	0	0	0	0	1	7	0.84	0
58	0	1	0	0.00057	0	0	0	0	1	0.31	0.29
59	1	0	0	0	0	0	0	0	0	0.14	0
60	1	0	0	0	0	0	0	0	0	0.14	0
61	0	0	0	0	1	0	0	0	4	0	0.35
62	0.94	0	0	0	0	0.065	0	0	0	0.14	0
63	1	0	0	0	0	3.9e-06	0	0	0	0.14	0
64	0	0	0.97	0.011	0.018	0	0	0	2	0	0.12
65	0	0	0	0	1	0	1.7e-06	0	4	0	0.35
66	0	0.56	0	0.44	0	0	0	0	1	0.31	0.29
67	0	0	1	0	0.00037	0	0	0	2	0	0.12
68	0	0	0	0.38	0	0	0.62	0	6	0.16	0.48
69	0	0	3.1e-05	0.37	0.63	0	0	0	4	0	0.35
70	0.89	0	0	0.11	0	2.7e-05	0	0	0	0.14	0
71	0	0	0	0	0	1	0	0	5	0.16	0.039
72	0	0	0	0.17	0	0	0.83	0	6	0.16	0.48
73	0	0	0	0	1	0	0	0	4	0	0.35
74	0	0.011	0	0.67	0	0	0.32	0	3	0.16	0.35
75	0	0	0	0.14	0.86	0	0	0	4	0	0.35
76	1	0	0	0	0	0	0	0	0	0.14	0
77	0	0	0	0	1	0	0	0	4	0	0.35
78	0	0	0	0	0	1	0	0	5	0.16	0.039
79	0	0	2.3e-05	0.0015	1	0	0.00042	0	4	0	0.35
80	0	0	0	1	0	0	0.0022	0	3	0.16	0.35
81	1	0	0	0	0	0.00029	0	0	0	0.14	0
82	0	0	1	0	0.00013	0	0	0	2	0	0.12
83	0	0	1	0	0	0	0	0	2	0	0.12
84	0	0	0	1	0	0	0.00032	0	3	0.16	0.35
85	0	0	0	0.44	0	0	0.56	0	6	0.16	0.48
86	1	0	0	0	0	0	0	0	0	0.14	0
87	0	0	0	0	0	1	0	0	5	0.16	0.039
88	0	0	0	0.58	0	0	0.42	0	3	0.16	0.35
89	0	0	0	0	1	0	0	0	4	0	0.35
90	0	0	0	1.6e-05	1	0	9.8e-06	0	4	0	0.35
91	0	0	1	0	0	0	0	0	2	0	0.12
92	0	1	0	0	0	0	0	0	1	0.31	0.29
93	0	0	1	0	0	0	0	0	2	0	0.12
94	1	0	0	0	0	0	0	0	0	0.14	0
95	0	0	0.012	0.00055	0.99	0	1e-05	0	4	0	0.35
96	1	0	0	0	0	0	0	0	0	0.14	0
97	1	0	0	0	0	0	0	0	0	0.14	0
98	1	0	0	0	0	5.8e-06	0	0	0	0.14	0
99	0	0	0.0099	0	0	0.99	0	0	5	0.16	0.039
100	0	0	0	0	0	1	0	0	5	0.16	0.039
101	0	1	0	9.5e-05	0	0	0	0	1	0.31	0.29
