SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0	dcf1
0	0	0.4	0	0.00065	0.6	4.3e-06	4	0.16	0.35
1	0	0	0	0	0.0071	0.99	5	0.31	0.29
2	0	0.84	0	0	0.16	0	1	0.16	0.48
3	0	0	0.63	0.37	0	0	2	0.16	0.039
4	0	0.00016	0	0	0.046	0.95	5	0.31	0.29
5	1	0	1.1e-05	0	0	0	0	0.16	0
6	0	0.059	0	0	0.94	0.0014	4	0.16	0.35
7	0	0	0	0	0	1	5	0.31	0.29
8	0	0	0	0	0	1	5	0.31	0.29
9	0	0	0	0	0.00067	1	5	0.31	0.29
10	1	0	2e-06	0	0	0	0	0.16	0
11	0	0.33	0	0	0.67	0	4	0.16	0.35
12	1	0	0.00035	0	0	0	0	0.16	0
13	0.98	0	0.022	0	0	0	0	0.16	0
14	0	0	0	1	0	0	3	0	0.19
15	0	0	0	1	0	0	3	0	0.19
16	0.99	0	0.0066	0	0	0	0	0.16	0
17	0	0	0	1	0	0	3	0	0.19
18	0	4.8e-05	0	0	1	0	4	0.16	0.35
19	0	0.00011	0	0.00056	1	0	4	0.16	0.35
20	0	0	0	0	1.3e-05	1	5	0.31	0.29
21	0	0	0	0	0	1	5	0.31	0.29
22	1	0	0.0036	0	0	0	0	0.16	0
23	0.68	0	0.0066	0	0.32	0	0	0.16	0
24	0	0	0	1.1e-05	1	0	4	0.16	0.35
25	0.93	0	0.072	0	2.1e-06	2.4e-06	0	0.16	0
26	1	0	4e-06	0	0	0	0	0.16	0
27	0	0	0	0	0	1	5	0.31	0.29
28	0	0	0	1	0	0	3	0	0.19
29	0	0	0	0	0	1	5	0.31	0.29
30	1	0	0.0019	0	0	0	0	0.16	0
31	0	0.8	0	0	0.2	0	1	0.16	0.48
32	0	0.12	0	0	0.88	0	4	0.16	0.35
33	0	0.00029	0	0	1	0	4	0.16	0.35
34	0	0	0	1	0	0	3	0	0.19
35	0	0	0	1	0	0	3	0	0.19
36	0	0.00026	0.0066	0	0.96	0.032	4	0.16	0.35
37	0	0	0	1	0	0	3	0	0.19
38	0	0.0024	0	0	1	6.2e-06	4	0.16	0.35
39	0	1	0	0	0	0	1	0.16	0.48
40	0	0	0.99	0.0065	0	0	2	0.16	0.039
41	1	0	0	0	0	0	0	0.16	0
42	0	0	0.00046	1	0	0	3	0	0.19
43	1	0	0.0048	0	0	0	0	0.16	0
44	0	0	0	0	0.0014	1	5	0.31	0.29
45	0	0	0.12	0	0.88	0	4	0.16	0.35
46	0	0	1	0	0	0	2	0.16	0.039
47	0	0.091	0	0	0.91	2e-05	4	0.16	0.35
48	0	0	0	0.039	0.96	0	4	0.16	0.35
49	0	0.088	0	0	0.85	0.063	4	0.16	0.35
50	1	0	0	0	0	0	0	0.16	0
51	0	0.00066	0	0.026	0.97	0	4	0.16	0.35
52	0	0.0009	0	0	0.96	0.04	4	0.16	0.35
53	0	0.00039	0	0.0023	1	0	4	0.16	0.35
54	1	0	0.0048	0	0	0	0	0.16	0
55	0.99	0	0.0079	0	0	0	0	0.16	0
56	0	0	0	0	0	1	5	0.31	0.29
57	0	0	0	0	0	1	5	0.31	0.29
58	0	0	0	0	0.00075	1	5	0.31	0.29
59	1	0	2.4e-06	0	0	0	0	0.16	0
60	1	0	0	0	0	0	0	0.16	0
61	0	0	0	1	0	0	3	0	0.19
62	1	0	0.0043	0	0	0	0	0.16	0
63	1	0	0	0	0	0	0	0.16	0
64	0	0	0	1	0.0014	0	3	0	0.19
65	0	0.99	0	0.00079	0.014	0	1	0.16	0.48
66	0	0	0	0	0.51	0.49	4	0.16	0.35
67	0	0	0	1	0	0	3	0	0.19
68	0	0.57	0	0	0.43	0	1	0.16	0.48
69	0	1.3e-06	0	0.04	0.96	0	4	0.16	0.35
70	0.88	0	2.5e-05	0	0.12	0	0	0.16	0
71	0	0	1	0	0	0	2	0.16	0.039
72	0	0.8	0	0	0.2	0	1	0.16	0.48
73	0	0	0	1	0	0	3	0	0.19
74	0	0.28	0	0	0.71	0.0093	4	0.16	0.35
75	0	0	0	0	1	0	4	0.16	0.35
76	1	0	4.4e-06	0	0	0	0	0.16	0
77	0	0.0043	0	0	1	0	4	0.16	0.35
78	0	0	1	0	0	0	2	0.16	0.039
79	0	0.027	0	0.85	0.12	1.4e-05	3	0	0.19
80	0	0.0017	0	0	1	0	4	0.16	0.35
81	1	0	0.00059	0	0	0	0	0.16	0
82	0	0	0	1	0	0	3	0	0.19
83	0	0	0	1	0	0	3	0	0.19
84	0	0.00026	0	0	1	0	4	0.16	0.35
85	0	0.51	0	0	0.49	0	1	0.16	0.48
86	1	0	0	0	0	0	0	0.16	0
87	0	0	1	0	0	0	2	0.16	0.039
88	0	0.37	0	0	0.63	0	4	0.16	0.35
89	0	0	0	1	0	0	3	0	0.19
90	0	0.047	0	0.86	0.094	0	3	0	0.19
91	0	0	0	1	0	0	3	0	0.19
92	0	0	0	0	0	1	5	0.31	0.29
93	0	0	0	1	0	0	3	0	0.19
94	1	0	7e-06	0	0	0	0	0.16	0
95	0	1.8e-05	0	1	0.0012	0	3	0	0.19
96	1	0	0	0	0	0	0	0.16	0
97	1	0	0	0	0	0	0	0.16	0
98	1	0	3e-06	0	0	0	0	0.16	0
99	0	0	1	0	0	0	2	0.16	0.039
100	0	0	1	0	0	0	2	0.16	0.039
101	0	0	0	0	0.00012	1	5	0.31	0.29
