SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1
0	0.00044	0	0.23	0	0.0047	0.00044	0.00044	0	0	0.23	0	0.48	0.045	0	0	0	11	0.14	0.078
1	0	0	0	0	0	0	0	1	0	0	0	1e-06	0	0	0	0	7	0.12	0
2	0.33	0	0	0	0	0.33	0.33	0	0	0	0	0	0	0	0	0	0	0.016	0.093
3	0	0.0063	0.041	0.0011	0.84	0	0	0	0	0.041	0.06	0.0062	0	0	0	0.00076	4	0.14	0.14
4	0	0.07	0.3	0	0.13	0	0	0	0.0046	0.3	0	0.21	0	0	0	0	2	0.14	0.093
5	0	0.07	4.7e-05	0	0.92	0	0	0	0	4.7e-05	0.0034	0	0	0.0087	3.3e-06	0	4	0.14	0.14
6	0	0.44	0.0098	1.4e-06	0.52	0	0	0	0.00065	0.0098	0.00018	0.0018	0	0.011	0	0	4	0.14	0.14
7	0.33	0.00027	1.7e-06	0	7.8e-06	0.33	0.33	0	0.00067	1.7e-06	0	0	0	0	0	0	0	0.016	0.093
8	0.0033	0	0	0	0	0.0033	0.0033	0	0	0	0	0	0.99	0	0	0	12	0	0.093
9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0.12	0
10	0	0.026	0.18	0.0066	0.4	0	0	0	0.00022	0.18	0.045	0.16	0	1.3e-05	5e-05	0.0045	4	0.14	0.14
11	0	0.0012	0.13	1.7e-05	0.0024	0	0	0	0.053	0.13	0	0.68	0	0	0	1.1e-05	11	0.14	0.078
12	0	0.0044	6.9e-05	0	0.99	0	0	0	0	6.9e-05	0.0031	0	0	0	0	0	4	0.14	0.14
13	0.33	0	0	0	0	0.33	0.33	0	0	0	0	0	0	0	0	0	0	0.016	0.093
14	0.33	0	0	0	0	0.33	0.33	0	6.9e-05	0	0	0	0	0	0	0	0	0.016	0.093
15	0.019	0	0	0	0	0.019	0.019	0	0	0	0	0	0.94	0	0	0	12	0	0.093
16	0.33	0	0	0	0	0.33	0.33	0	0	0	0	0	0	0	0	0	0	0.016	0.093
17	0	0.0053	0.28	3.3e-06	0.026	0	0	0	0.00069	0.28	0	0.41	0	0	0	2.2e-06	11	0.14	0.078
18	0	0.012	4.2e-05	1.9e-06	0.91	0	0	0	0	4.2e-05	0.073	0	0	0.00067	0.0006	1.3e-06	4	0.14	0.14
19	0	0.12	0	0	0.87	0	0	0	0	0	0.0027	0	0	0.0035	0	0	4	0.14	0.14
20	5.5e-05	0.24	0.15	2.5e-05	0.25	5.5e-05	5.5e-05	0	0.079	0.15	0.00013	0.14	0	0.00016	0	1.7e-05	4	0.14	0.14
21	0	0.018	0.21	0.00013	0.51	0	0	0	2e-06	0.21	0.00092	0.055	0	0	0	9.1e-05	4	0.14	0.14
22	0	0.067	0.052	1.1e-05	0.82	0	0	0	2.1e-06	0.052	0.00044	0.0069	0	0	0	7.5e-06	4	0.14	0.14
23	0.33	0	0	0	0	0.33	0.33	0	0	0	0	0	0	0	0	0	0	0.016	0.093
24	0	0.16	0.00051	0	0.82	0	0	0	0	0.00051	0.0025	1.7e-05	0	0.015	4.7e-06	0	4	0.14	0.14
25	0	0.011	0.35	4.8e-06	0.051	0	0	0	0.00048	0.35	2.2e-06	0.23	0	0	0	3.2e-06	2	0.14	0.093
26	0	0.35	0.00039	0	0.62	0	0	0	0	0.00039	9.3e-05	1.1e-05	0	0.032	0	0	4	0.14	0.14
27	0	0.0036	0.19	0.0075	0.044	0	0	0	0.0017	0.19	0.0063	0.55	0	0	3.4e-06	0.005	11	0.14	0.078
