SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1
0	0	0	0.28	0	0	0.0082	0.65	0	0	0	0	0	0	0.0017	0.00013	0	0.059	0	0	0	6	0.14	0.078
1	0	0	0	0	0	0	1.2e-06	0.26	0	0	0	0	0	0	0	0	0	0	0.74	0	18	0.14	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0.016	0.093
3	0.00062	0.00054	0.032	0.00031	0.00031	0.96	0.0054	0	1.3e-05	0	0.00062	0.00083	0.00067	0	0.00014	0	0	0.00031	0	0.00067	5	0.14	0.14
4	0	0	0.21	0.16	0.16	0.13	0.16	0	0.03	0	0	0	0.00071	0	0.00023	0	0	0.16	0	0.00071	2	0.14	0.093
5	0	0	3.5e-05	3.5e-06	3.5e-06	0.98	0	0	0	0.0059	0	0	0.002	0	1.5e-06	0.0075	0	3.5e-06	0	0.002	5	0.14	0.14
6	1.1e-06	0	0.012	0.013	0.013	0.91	0.0024	0	0.00068	0.013	1.1e-06	1.5e-06	0.0052	0	5.7e-05	0.016	0	0.013	0	0.0052	5	0.14	0.14
7	0	0	1.6e-06	7.2e-05	7.2e-05	1.1e-05	0	0	7e-06	0	0	0	0	1	0	0	0	7.2e-05	0	0	13	0.016	0.093
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0098	0	0	0.99	0	0	0	16	0	0.093
9	0	0	0	0	0	0	0	0.38	0	0	0	0	0	0	0	0	0	0	0.62	0	18	0.14	0
10	0.0046	0.004	0.18	0.015	0.015	0.57	0.18	0	0.0038	1.2e-05	0.0046	0.0061	0.00093	0	0.00024	1.6e-05	0	0.015	0	0.00093	5	0.14	0.14
11	9.3e-06	8.1e-06	0.1	0.067	0.067	0.0027	0.6	0	0.097	0	9.3e-06	1.2e-05	1.2e-05	0	2.6e-05	0	0	0.067	0	1.2e-05	6	0.14	0.078
12	0	0	4.8e-05	0	0	1	0	0	0	0	0	0	0.00065	0	4.1e-06	0	0	0	0	0.00065	5	0.14	0.14
13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0.016	0.093
14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0.016	0.093
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057	0	0	0.94	0	0	0	16	0	0.093
16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0.016	0.093
17	2.3e-06	2e-06	0.27	0.072	0.072	0.037	0.44	0	0.029	0	2.3e-06	3e-06	0.00013	0	0.00016	0	0	0.072	0	0.00013	6	0.14	0.078
18	1e-06	0	3.2e-05	0	0	1	0	0	0	0.00046	1e-06	1.3e-06	0.00089	0	1.6e-06	0.00058	0	0	0	0.00089	5	0.14	0.14
19	0	0	0	0	0	0.99	0	0	0	0.0025	0	0	0.0026	0	0	0.0032	0	0	0	0.0026	5	0.14	0.14
20	1.3e-05	1.2e-05	0.12	0.15	0.15	0.28	0.12	0	0.037	0.00012	1.3e-05	1.8e-05	0.0016	0.00014	0.00015	0.00015	0	0.15	0	0.0016	5	0.14	0.14
21	9.1e-05	7.9e-05	0.2	0.0092	0.0092	0.71	0.059	0	0.00067	0	9.1e-05	0.00012	0.0011	0	0.00045	0	0	0.0092	0	0.0011	5	0.14	0.14
22	6.2e-06	5.4e-06	0.041	0.0045	0.0045	0.93	0.006	0	0.00016	0	6.2e-06	8.2e-06	0.0021	0	0.00018	0	0	0.0045	0	0.0021	5	0.14	0.14
23	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0.016	0.093
24	0	0	0.00042	0.00011	0.00011	0.97	1.6e-05	0	1e-06	0.011	0	0	0.0028	0	7.6e-06	0.015	0	0.00011	0	0.0028	5	0.14	0.14
25	3.3e-06	2.9e-06	0.35	0.1	0.1	0.073	0.25	0	0.018	0	3.3e-06	4.4e-06	0.00026	0	0.00032	0	0	0.1	0	0.00026	2	0.14	0.093
26	0	0	0.00041	0.00031	0.00031	0.92	1.3e-05	0	2.4e-06	0.03	0	0	0.0046	0	8.2e-06	0.038	0	0.00031	0	0.0046	5	0.14	0.14
27	0.0054	0.0047	0.2	0.021	0.021	0.066	0.63	0	0.017	0	0.0054	0.0072	0.00012	0	0.00011	0	0	0.021	0	0.00012	6	0.14	0.078
28	0.00064	0.00056	0.0093	0.00059	0.00059	0.98	0.0022	0	3.5e-05	0.00061	0.00064	0.00085	0.0014	0	4.3e-05	0.00077	0	0.00059	0	0.0014	5	0.14	0.14
29	0.0044	0.0038	0.21	0.019	0.019	0.05	0.65	0	0.014	0	0.0044	0.0058	8.2e-05	0	0.00011	0	0	0.019	0	8.2e-05	6	0.14	0.078
30	9.6e-05	8.3e-05	0.37	0.041	0.041	0.15	0.35	0	0.0097	0	9.6e-05	0.00013	0.00032	0	0.00034	0	0	0.041	0	0.00032	2	0.14	0.093
31	0.00068	0.00059	0.22	0.025	0.025	0.046	0.63	0	0.018	0	0.00068	0.00091	9.1e-05	0	0.00012	0	0	0.025	0	9.1e-05	6	0.14	0.078
32	0	0	0.00097	0.012	0.012	0.0014	0.00098	0	0.0029	3e-06	0	0	2.5e-05	0.96	1.1e-06	3.9e-06	0	0.012	0	2.5e-05	13	0.016	0.093
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046	0	0	0.95	0	0	0	16	0	0.093
