SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0	dcf1
0	0	0	0	0	0	0	0	0.078	0	0	0.0023	0	0	0	0.91	0.0096	0	14	0.14	0.093
1	0	0	0	0	9.2e-05	0	0	0	0	0	0	0	0	1	0	0	0	13	0.12	0
2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0.016	0.093
3	0.0014	0.00084	0.0014	0.0014	0	0.0013	0.00074	0	0.00074	0	0	0.00017	0.039	0	0.079	0.87	0	15	0.14	0.14
4	0.069	0.19	0.069	0.069	0	0	0	0	0	0	0	0	0	0	0.49	0.11	0	14	0.14	0.093
5	4.8e-06	0	4.8e-06	4.8e-06	0	0	0	0	0	0	0	0.016	0.0023	0	9.5e-05	0.98	0	15	0.14	0.14
6	0.0048	0.0035	0.0048	0.0048	0	2.7e-06	1.6e-06	0	1.6e-06	0	0	6.9e-05	0.00021	0	0.034	0.95	0	15	0.14	0.14
7	3.2e-06	4.5e-06	3.2e-06	3.2e-06	0	0	0	0	0	0	1	0	0	0	3.8e-06	9.3e-06	0	10	0.016	0.093
8	0	0	0	0	0	0	0	0.99	0	0	0.0098	0	0	0	0	0	0	7	0	0.093
9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0.12	0
10	0.016	0.056	0.016	0.016	0	0.0084	0.0048	0	0.0048	0	0	0.00074	0.033	0	0.39	0.46	0	15	0.14	0.14
11	0.031	0.64	0.031	0.031	0	2e-05	1.2e-05	0	1.2e-05	0	0	0	0	0	0.27	0.0026	0	1	0.12	0.078
12	2.1e-06	0	2.1e-06	2.1e-06	0	0	0	0	0	0	0	2.2e-05	0.002	0	0.00013	1	0	15	0.14	0.14
13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0.016	0.093
14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0.016	0.093
15	0	0	0	0	0	0	0	0.94	0	0	0.057	0	0	0	0	0	0	7	0	0.093
16	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0.016	0.093
17	0.048	0.28	0.048	0.048	0	3.8e-06	2.2e-06	0	2.2e-06	0	0	0	0	0	0.55	0.028	0	14	0.14	0.093
18	1.3e-06	0	1.3e-06	1.3e-06	0	1.6e-06	0	0	0	0	0	0.26	0.036	0	6.1e-05	0.7	0	15	0.14	0.14
19	0	0	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0	1	0	15	0.14	0.14
20	0.052	0.18	0.052	0.052	0	3.4e-05	1.9e-05	0	1.9e-05	0	0.00017	0	9.8e-05	0	0.35	0.31	0	14	0.14	0.093
21	0.015	0.016	0.015	0.015	0	0.00015	8.8e-05	0	8.8e-05	0	0	0	0.00061	0	0.41	0.53	0	15	0.14	0.14
22	0.0058	0.003	0.0058	0.0058	0	1.3e-05	7.5e-06	0	7.5e-06	0	0	0	0.0003	0	0.1	0.87	0	15	0.14	0.14
23	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0.016	0.093
24	8.6e-05	1.1e-05	8.6e-05	8.6e-05	0	1e-06	0	0	0	0	0	0.0052	0.0019	0	0.0012	0.99	0	15	0.14	0.14
25	0.057	0.15	0.057	0.057	0	5e-06	2.8e-06	0	2.8e-06	0	0	0	0	0	0.63	0.048	0	14	0.14	0.093
26	0.00015	1.7e-05	0.00015	0.00015	0	0	0	0	0	0	0	0.00016	9.5e-05	0	0.0012	1	0	15	0.14	0.14
27	0.024	0.28	0.024	0.024	0	0.013	0.0072	0	0.0072	0	0	2.8e-05	0.0061	0	0.54	0.068	0	14	0.14	0.093
28	0.00067	0.00057	0.00067	0.00067	0	0.0011	0.00063	0	0.00063	0	0	0.12	0.12	0	0.019	0.74	0	15	0.14	0.14
29	0.024	0.26	0.024	0.024	0	0.01	0.0057	0	0.0057	0	0	2.7e-06	0.0033	0	0.59	0.05	0	14	0.14	0.093
30	0.036	0.12	0.036	0.036	0	0.00015	8.3e-05	0	8.3e-05	0	0	0	7.3e-05	0	0.67	0.098	0	14	0.14	0.093
31	0.028	0.29	0.028	0.028	0	0.0015	0.00084	0	0.00084	0	0	0	0.00043	0	0.58	0.044	0	14	0.14	0.093
32	0.0011	0.0038	0.0011	0.0011	0	0	0	0	0	0	0.99	0	0	0	0.0024	0.0013	0	10	0.016	0.093
33	0	0	0	0	0	0	0	0.95	0	0	0.045	0	0	0	0	0	0	7	0	0.093
