k	loglikelihood	observations	parameters	BIC
1	-7032.85	6956	4	14101.1
2	-5578.87	6956	6	11210.8
3	-4476.56	6956	8	9023.89
4	-3913.21	6956	10	7914.89
5	-3890.14	6956	12	7886.45
6	-3885.36	6956	14	7894.59
7	-3887.89	6956	16	7917.34
8	-3882.52	6956	18	7924.3
9	-3858.26	6956	20	7893.46
10	-3862.28	6956	22	7919.2
11	-3844.12	6956	24	7900.57
12	-3844.12	6956	26	7918.26
13	-3828.96	6956	28	7905.64
14	-3844.12	6956	30	7953.65
15	-3840.24	6956	32	7963.59
16	-3825.64	6956	34	7952.09
17	-3843.59	6956	36	8005.69
18	-3840.14	6956	38	8016.49
19	-3837.12	6956	40	8028.13
20	-3837.4	6956	42	8046.38
