SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster	dcf0	dcf1
0	0.00036	0.00036	0	0.44	0	0	0.0044	0	0.00016	0.043	0	0	0	0.51	0.00057	13	0.14	0.078
1	0	0	1	0	0	0	0	0	0	0	0	0	0	1.2e-06	0	2	0.12	0
2	0.28	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0.44	14	0.016	0.093
3	0	0	0	0.081	0.0019	0.0075	0.84	0	0.00029	0	0	0.062	0	0.0071	0	6	0.14	0.14
4	0	0	0	0.57	1.5e-06	0.081	0.12	0	0.0005	0	0	0	0	0.23	0	3	0.14	0.093
5	0	0	0	9.3e-05	0	0.083	0.91	0.0067	3.3e-06	0	3.3e-06	0.0035	0	0	0	6	0.14	0.14
6	0	0	0	0.018	2.1e-06	0.49	0.48	0.0082	7.1e-05	0	0	0.00018	0	0.0019	0	5	0.11	0.14
7	0.28	0.28	0	3.2e-06	0	0.00031	7.5e-06	0	0	0	0	0	0	0	0.44	14	0.016	0.093
8	0.0028	0.0028	0	0	0	0	0	0	0	0.99	0	0	0	0	0.0044	9	0	0.093
9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0.12	0
10	0	0	0	0.35	0.011	0.03	0.39	1e-05	0.00039	0	5e-05	0.046	0	0.18	0	6	0.14	0.14
11	0	0	0	0.25	2.7e-05	0.0014	0.0023	0	5.2e-05	0	0	0	0	0.75	0	13	0.14	0.078
12	0	0	0	0.00014	0	0.0053	0.99	0	9.5e-06	0	0	0.0032	0	0	0	6	0.14	0.14
13	0.28	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0.44	14	0.016	0.093
14	0.28	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0.44	14	0.016	0.093
15	0.016	0.016	0	0	0	0	0	0	0	0.94	0	0	0	0	0.026	9	0	0.093
16	0.28	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0.44	14	0.016	0.093
17	0	0	0	0.52	5.3e-06	0.006	0.025	0	0.00026	0	0	0	0	0.44	0	3	0.14	0.093
18	0	0	0	8.3e-05	3.2e-06	0.015	0.91	0.00052	3.4e-06	0	0.00062	0.076	0	0	0	6	0.14	0.14
19	0	0	0	0	0	0.15	0.85	0.0027	0	0	0	0.0027	0	0	0	6	0.14	0.14
20	4.8e-05	4.8e-05	0	0.3	4.2e-05	0.29	0.25	0.00013	0.00032	0	0	0.00013	0	0.16	7.6e-05	3	0.14	0.093
21	0	0	0	0.41	0.00023	0.021	0.51	0	0.00076	0	0	0.00095	0	0.063	0	6	0.14	0.14
22	0	0	0	0.1	1.9e-05	0.08	0.81	0	0.00037	0	0	0.00045	0	0.0078	0	6	0.14	0.14
23	0.28	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0.44	14	0.016	0.093
