SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0	dcf1
0	0.00026	0.44	0.043	0	0	0.00026	0	0.00016	0	0	0	0.51	0.00039	0.00039	0	0	0.0044	0	11	0.14	0.078
1	0	0	0	0	0	0	0.046	0	0.95	0	0	1.2e-06	0	0	0	0	0	0	8	0.12	0
2	0.2	0	0	0	0	0.2	0	0	0	0	0	0	0.3	0.3	0	0	0	0	12	0.016	0.093
3	0	0.08	0	0.0012	0.00075	0	0	0.0003	0	0	0	0.0071	0	0	0.0073	0	0.84	0.058	16	0.14	0.14
4	0	0.57	0	0	0	0	0	0.00052	0	0	0	0.23	0	0	0.079	0	0.12	0	1	0.14	0.093
5	0	9.3e-05	0	0	0	0	0	3.4e-06	0	0.0069	0	0	0	0	0.081	3.3e-06	0.91	0.0033	16	0.14	0.14
6	0	0.018	0	1.3e-06	0	0	0	7.4e-05	0	0.0086	0	0.0019	0	0	0.48	0	0.49	0.00017	16	0.14	0.14
7	0.2	3.2e-06	0	0	0	0.2	0	0	0	0	0	0	0.3	0.3	0.00031	0	7.6e-06	0	12	0.016	0.093
8	0.002	0	0.99	0	0	0.002	0	0	0	0	0	0	0.003	0.003	0	0	0	0	2	0	0.093
9	0	0	0	0	0	0	0.048	0	0.95	0	0	0	0	0	0	0	0	0	8	0.12	0
10	0	0.35	0	0.0068	0.0043	0	0	0.0004	0	1.1e-05	0	0.18	0	0	0.029	5e-05	0.39	0.043	16	0.14	0.14
11	0	0.25	0	1.7e-05	1.1e-05	0	0	5.4e-05	0	0	0	0.75	0	0	0.0013	0	0.0023	0	11	0.14	0.078
12	0	0.00014	0	0	0	0	0	9.8e-06	0	0	0	0	0	0	0.0051	0	0.99	0.003	16	0.14	0.14
13	0.2	0	0	0	0	0.2	0	0	0	0	0	0	0.3	0.3	0	0	0	0	12	0.016	0.093
14	0.2	0	0	0	0	0.2	0	0	0	0	0	0	0.3	0.3	0	0	0	0	12	0.016	0.093
15	0.012	0	0.94	0	0	0.012	0	0	0	0	0	0	0.017	0.017	0	0	0	0	2	0	0.093
16	0.2	0	0	0	0	0.2	0	0	0	0	0	0	0.3	0.3	0	0	0	0	12	0.016	0.093
17	0	0.52	0	3.3e-06	2.1e-06	0	0	0.00026	0	0	0	0.44	0	0	0.0059	0	0.025	0	1	0.14	0.093
18	0	8.3e-05	0	2e-06	1.3e-06	0	0	3.5e-06	0	0.00053	0	0	0	0	0.014	0.00062	0.91	0.071	16	0.14	0.14
19	0	0	0	0	0	0	0	0	0	0.0028	0	0	0	0	0.14	0	0.85	0.0026	16	0.14	0.14
20	3.5e-05	0.31	0	2.6e-05	1.7e-05	3.5e-05	0	0.00033	0	0.00013	0	0.16	5.2e-05	5.2e-05	0.28	0	0.25	0.00012	1	0.14	0.093
21	0	0.41	0	0.00014	8.8e-05	0	0	0.00078	0	0	0	0.062	0	0	0.021	0	0.51	0.00089	16	0.14	0.14
22	0	0.1	0	1.2e-05	7.3e-06	0	0	0.00038	0	0	0	0.0077	0	0	0.078	0	0.81	0.00042	16	0.14	0.14
23	0.2	0	0	0	0	0.2	0	0	0	0	0	0	0.3	0.3	0	0	0	0	12	0.016	0.093
24	0	0.00099	0	0	0	0	0	1.5e-05	0	0.012	0	1.9e-05	0	0	0.18	4.7e-06	0.8	0.0024	16	0.14	0.14
25	0	0.68	0	4.8e-06	3e-06	0	0	0.00052	0	0	0	0.25	0	0	0.012	0	0.05	2e-06	1	0.14	0.093
26	0	0.00074	0	0	0	0	0	1.3e-05	0	0.024	0	1.2e-05	0	0	0.39	0	0.59	8.5e-05	16	0.14	0.14
27	0	0.35	0	0.0073	0.0046	0	0	0.00016	0	0	0	0.59	0	0	0.004	3.3e-06	0.041	0.0057	11	0.14	0.078
28	0	0.02	0	0.001	0.00065	0	0	7.8e-05	0	0.00058	0	0.0025	0	0	0.041	0.021	0.73	0.18	16	0.14	0.14
29	0	0.37	0	0.0057	0.0036	0	0	0.00016	0	0	0	0.58	0	0	0.0023	0	0.03	0.003	11	0.14	0.078
30	0	0.61	0	0.00012	7.5e-05	0	0	0.00047	0	0	0	0.3	0	0	0.0083	0	0.085	9.7e-05	1	0.14	0.093
31	0	0.39	0	0.0009	0.00057	0	0	0.00017	0	0	0	0.58	0	0	0.0028	0	0.028	0.00043	11	0.14	0.078
32	0.2	0.0021	0	0	0	0.2	0	2e-06	0	2.8e-06	0	0.0011	0.29	0.29	0.011	0	0.001	0	12	0.016	0.093
33	0.0094	0	0.95	0	0	0.0094	0	0	0	0	0	0	0.014	0.014	0	0	0	0	2	0	0.093
34	0	2.3e-06	0	0	0	0	0	0	0	0.0076	0	0	0	0	0.22	4.5e-06	0.77	0.0027	16	0.14	0.14
35	0.2	2.4e-05	0	0	0	0.2	0	0	0	0	0	1.9e-05	0.3	0.3	0.00014	0	1.1e-05	0	12	0.016	0.093
36	0	0.23	0	1e-05	6.4e-06	0	0	0.00065	0	0	0	0.02	0	0	0.096	0	0.66	0.00014	16	0.14	0.14
37	0	0	0	0	0	0	0.11	0	0.89	0	0	0	0	0	0	0	0	0	8	0.12	0
38	0	0.43	0	0.00026	0.00017	0	0	0.00041	0	8.3e-06	0	0.25	0	0	0.072	0	0.24	0.00086	1	0.14	0.093
39	0	0.19	0	0.00016	0.0001	0	0	0.00033	0	0.00022	0	0.056	0	0	0.19	0	0.56	0.0025	16	0.14	0.14
40	0	0	0	0	0	0	0.2	0	0.8	0	0	0	0	0	0	0	0	0	8	0.12	0
41	0	0	0	0	0	0	0	0	0	0.088	0	0	0	0	0.15	0	0.76	8.5e-06	16	0.14	0.14
42	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0.039	0	0.96	1.2e-05	16	0.14	0.14
43	0	2.9e-06	0	0	0	0	0.16	0	0.84	0	0	2.4e-05	0	0	0	0	0	0	8	0.12	0
