SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0	dcf1
0	0	0.77	0.016	0	0.047	0	0	0	0.14	0	0	0	0	0	0.016	0	0.016	0	1	0.32	0.33
1	8.9e-05	0	0.0049	0	0	0	0.46	0.52	0	0	0	0	0	0	0.0049	0.00083	0.0049	0	7	0.36	0.58
2	0	0.19	0.0078	0	0.76	0	5.5e-06	0	0.033	0	1.5e-06	0	0	0	0.0078	6.7e-06	0.0078	0	4	0.28	0.23
3	0	0	0.0037	0	0	0	0.00017	0.0018	2.5e-06	0	0	0	0	0	0.0037	0.99	0.0037	0	15	0.23	0.52
4	1.7e-05	0.24	0.24	0	0.013	0	0.016	0.0023	0.0081	0	0	0	0	0	0.24	0.00085	0.24	0	1	0.32	0.33
5	3.9e-05	0.13	0.26	0	0.0072	0	0.024	0.0081	0.032	0	0	0	0	0	0.26	0.012	0.26	0	2	0.32	0.42
6	0	0.0026	0.32	0	0	0	0.025	0.0056	8e-06	0	0	0	0	0	0.32	0.00055	0.32	0	2	0.32	0.42
7	0.018	0	0.32	0	0	0	0.017	0.0074	0	0	0	0	0	0	0.32	0	0.32	0	2	0.32	0.42
8	0	0.01	0	0	0.99	0	0	0	7.4e-05	0	0	0	0	0	0	0	0	0	4	0.28	0.23
9	0.004	0	0.29	0	0	0	0.12	0.019	0	0	0	0	0	0	0.29	0	0.29	0	2	0.32	0.42
10	0	0	0.25	0	0	0	0.12	0.13	0	0	0	0	0	0	0.25	0	0.25	0	2	0.32	0.42
11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0.11	0.047
12	0	0.99	0.003	0	0.0014	0	0	0	1.9e-05	0	0	0	0	0	0.003	0	0.003	0	1	0.32	0.33
13	3.8e-05	0	0.27	0	0	0	0.12	0.078	0	0	0	0	0	0	0.27	0	0.27	0	2	0.32	0.42
14	0.00075	0	0.32	0	0	0	0.02	0.013	0	0	0	0	0	0	0.32	0	0.32	0	2	0.32	0.42
15	0.017	0	0.2	0	0	0	0.19	0.19	0	0	0	0	0	0	0.2	0	0.2	0	2	0.32	0.42
16	0	0.012	0.31	0	1.5e-05	0	0.016	0.011	0.0057	0	0	0	0	0	0.31	0.023	0.31	0	2	0.32	0.42
17	9.5e-06	0.0056	0.29	0	2.4e-06	0	0.046	0.036	0.0016	0	0	0	0	0	0.29	0.027	0.29	0	2	0.32	0.42
18	0.0044	0	0.25	0	0	0	0.13	0.099	0	0	0	0	0	0	0.25	2.9e-06	0.25	0	2	0.32	0.42
19	0	0	0	0	0	0	0	0	0	0.95	0.048	0	0.00016	0	0	0	0	0	9	0.14	0
20	0	0	0.33	0	0	0	0.0099	9.6e-05	0	0	0	0	0	0	0.33	0	0.33	0	2	0.32	0.42
21	0.0048	0	0.28	0	0	0	0.15	0.019	0	0	0	0	0	0	0.28	0	0.28	0	2	0.32	0.42
22	6.8e-05	0.0026	0.23	0	0	0	0.13	0.14	0.00026	0	0	0	0	0	0.23	0.019	0.23	0	2	0.32	0.42
23	0	0.42	0.19	0	0.00032	0	9.7e-06	0	0.003	0	0	0	0	0	0.19	0	0.19	0	1	0.32	0.33
24	0	0.79	0.032	0	0.11	0	1.1e-05	0	0.0036	0	0	0	0	0	0.032	0	0.032	0	1	0.32	0.33
25	0.00016	0	1.9e-05	0	0	0	0.077	0.92	0	0	0	0	0	0	1.9e-05	0.00023	1.9e-05	0	7	0.36	0.58
26	0	0	0	0	0	0	0	0	0	1	0.002	0	0	0	0	0	0	0	9	0.14	0
27	0	0.012	0.32	0	0	0	0.026	0.01	0.00014	0	0	0	0	0	0.32	0.0015	0.32	0	2	0.32	0.42
28	0.064	0	0.3	0	0	0	0.035	0.0028	0	0	0	0	0	0	0.3	0	0.3	0	2	0.32	0.42
29	3.6e-06	0	0.0029	0	0	0	0.39	0.6	0	0	0	0	0	0	0.0029	4.1e-05	0.0029	0	7	0.36	0.58
30	0.00013	0.23	0.25	0	0.0038	0	0.018	0.0013	0.0018	0	0	0	0	0	0.25	0.0001	0.25	0	2	0.32	0.42
31	0	0	0	0	0	0	0	0	2.3e-06	0	4.3e-05	0	1	0	0	0	0	0	12	0.036	0.093
32	0.00034	0.0056	0.24	0	0	0	0.22	0.044	6.8e-06	0	0	0	0	0	0.24	0.00027	0.24	0	2	0.32	0.42
33	0.093	0	0.23	0	0	0	0.14	0.065	0	0	0	0	0	0	0.23	0	0.23	0	2	0.32	0.42
34	0.034	0	0.32	0	0	0	0.0034	0.00022	0	0	0	0	0	0	0.32	0	0.32	0	2	0.32	0.42
35	0	0.32	0.23	0	0.0045	0	0.0025	0.00015	0.002	0	0	0	0	0	0.23	3.6e-05	0.23	0	1	0.32	0.33
36	0.0001	0	0.0027	0	0	0	0.83	0.17	0	0	0	0	0	0	0.0027	0	0.0027	0	6	0.4	0.53
37	0.0012	0	0.058	0	0	0	0.63	0.19	0	0	0	0	0	0	0.058	0	0.058	0	6	0.4	0.53
38	0.006	7.9e-05	0.03	0	0	0	0.74	0.17	0	0	0	0	0	0	0.03	8.1e-06	0.03	0	6	0.4	0.53
39	0.00029	0	0.33	0	0	0	2.2e-06	0	0	0	0	0	0	0	0.33	0	0.33	0	2	0.32	0.42
40	0.18	0	0.089	0	0	0	0.51	0.049	0	0	0	0	0	0	0.089	0	0.089	0	6	0.4	0.53
41	0	0.3	0.015	0	0.48	0	0	0	0.18	0	0	0	0	0	0.015	4e-06	0.015	0	4	0.28	0.23
