k	loglikelihood	observations	parameters	BIC
1	-1305.45	1360	4	2639.76
2	-860.518	1360	6	1764.33
3	-835.484	1360	8	1728.69
4	-808.164	1360	10	1688.48
5	-782.083	1360	12	1650.75
6	-774.71	1360	14	1650.43
7	-774.815	1360	16	1665.07
8	-775.285	1360	18	1680.44
9	-761.814	1360	20	1667.93
10	-761.953	1360	22	1682.64
11	-760.819	1360	24	1694.8
12	-760.404	1360	26	1708.4
13	-758.086	1360	28	1718.2
14	-757.143	1360	30	1730.74
15	-757.908	1360	32	1746.7
16	-757.143	1360	34	1759.6
17	-757.388	1360	36	1774.52
18	-757.143	1360	38	1788.47
19	-756.934	1360	40	1802.48
20	-757.151	1360	42	1817.34
