SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1
0	0.064	0.94	0	0	1	0.32	0.28
1	0.017	0	0	0.98	3	0.4	0.58
2	0.029	0.97	0	0	1	0.32	0.28
3	0.99	0	0	0.013	0	0.32	0.42
4	0.8	0.19	0	0.0049	0	0.32	0.42
5	0.9	0.082	0	0.014	0	0.32	0.42
6	0.99	3e-05	0	0.0058	0	0.32	0.42
7	0.96	0	0	0.04	0	0.32	0.42
8	1.1e-05	1	0	0	1	0.32	0.28
9	0.93	0	0	0.065	0	0.32	0.42
10	0.91	0	0	0.09	0	0.32	0.42
11	0	0	1	0	2	0.071	0.047
12	0.012	0.99	0	0	1	0.32	0.28
13	0.89	0	0	0.11	0	0.32	0.42
14	0.98	0	0	0.018	0	0.32	0.42
15	0.58	0	0	0.42	0	0.32	0.42
16	0.99	0.0012	0	0.0088	0	0.32	0.42
17	0.96	0.00038	0	0.037	0	0.32	0.42
18	0.81	0	0	0.19	0	0.32	0.42
19	0	0	1	0	2	0.071	0.047
20	1	0	0	0.00021	0	0.32	0.42
21	0.93	0	0	0.075	0	0.32	0.42
22	0.81	0.00016	0	0.19	0	0.32	0.42
23	0.87	0.13	0	0	0	0.32	0.42
24	0.052	0.95	0	0	1	0.32	0.28
25	4.2e-05	0	0	1	3	0.4	0.58
26	0	0	1	0	2	0.071	0.047
27	0.99	0.00073	0	0.011	0	0.32	0.42
28	0.99	0	0	0.014	0	0.32	0.42
29	0.0098	0	0	0.99	3	0.4	0.58
30	0.85	0.14	0	0.0046	0	0.32	0.42
31	0	0	1	0	2	0.071	0.047
32	0.86	0.00028	0	0.14	0	0.32	0.42
33	0.67	0	0	0.33	0	0.32	0.42
34	1	0	0	0.0014	0	0.32	0.42
35	0.8	0.2	0	0.00035	0	0.32	0.42
36	0.01	0	0	0.99	3	0.4	0.58
37	0.23	0	0	0.77	3	0.4	0.58
38	0.098	0	0	0.9	3	0.4	0.58
39	1	0	0	0	0	0.32	0.42
40	0.43	0	0	0.57	3	0.4	0.58
41	0.052	0.95	0	0	1	0.32	0.28
42	0	0	1	0	2	0.071	0.047
43	1	0	0	0.00084	0	0.32	0.42
44	0.89	0	0	0.11	0	0.32	0.42
45	0.4	0.6	0	3.4e-06	1	0.32	0.28
46	0.87	0.13	0	0.0011	0	0.32	0.42
47	0.89	0.097	0	0.013	0	0.32	0.42
48	1	0.00081	0	0	0	0.32	0.42
49	1	0	0	0.00012	0	0.32	0.42
50	1	0	0	0.00018	0	0.32	0.42
51	0.98	0	0	0.023	0	0.32	0.42
52	0.32	0	0	0.68	3	0.4	0.58
53	0.29	2.6e-06	0	0.71	3	0.4	0.58
54	0.14	0.86	0	0	1	0.32	0.28
55	0.94	0	0	0.06	0	0.32	0.42
56	0.53	0.47	0	1.1e-06	0	0.32	0.42
57	0	0	1	0	2	0.071	0.047
58	0.48	0	0	0.52	3	0.4	0.58
59	0	0	1	0	2	0.071	0.047
60	0	0	1	0	2	0.071	0.047
61	0.022	0.98	0	0	1	0.32	0.28
62	0.97	0.033	0	0.00061	0	0.32	0.42
63	0.93	0.067	0	0.0004	0	0.32	0.42
64	0.77	0.23	0	0.0011	0	0.32	0.42
65	0	0	1	0	2	0.071	0.047
66	0.78	0.22	0	0	0	0.32	0.42
67	0.91	0.00049	0	0.089	0	0.32	0.42
68	0.51	0	0	0.49	0	0.32	0.42
69	0.089	0.91	0	0	1	0.32	0.28
70	0.98	0.017	0	0.0011	0	0.32	0.42
71	1	0.0016	0	0.00018	0	0.32	0.42
72	0.63	0	0	0.37	0	0.32	0.42
73	1	0.00021	0	0	0	0.32	0.42
74	0.45	0.55	0	0.00074	1	0.32	0.28
75	0.99	0.01	0	0	0	0.32	0.42
76	0.83	0.0094	0	0.16	0	0.32	0.42
77	0.77	0.22	0	0.001	0	0.32	0.42
78	0.64	0	0	0.36	0	0.32	0.42
79	1	0	0	0.0031	0	0.32	0.42
80	0.014	0	0	0.99	3	0.4	0.58
81	0.81	0	0	0.19	0	0.32	0.42
82	0.41	0.59	0	6.1e-05	1	0.32	0.28
83	0.61	0	0	0.39	0	0.32	0.42
84	0.03	0	0	0.97	3	0.4	0.58
