SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0	dcf1
0	0.062	0	0	0	0	0	0.94	6	0.32	0.28
1	0.016	0.98	0	0	0	0.00082	0	1	0.4	0.58
2	0.028	0	9.4e-06	0	0	7.3e-06	0.97	6	0.32	0.28
3	0.012	0.00016	0	0	0	0.99	0	5	0.23	0.52
4	0.8	0.005	0	0	0	0.00086	0.2	0	0.32	0.42
5	0.89	0.014	0	0	0	0.012	0.083	0	0.32	0.42
6	0.99	0.006	0	0	0	0.00051	3.1e-05	0	0.32	0.42
7	0.96	0.041	0	0	0	0	0	0	0.32	0.42
8	1.1e-05	0	0	0	0	0	1	6	0.32	0.28
9	0.93	0.068	0	0	0	0	0	0	0.32	0.42
10	0.91	0.093	0	0	0	0	0	0	0.32	0.42
11	0	0	1.6e-05	1	0	0	0	3	0.036	0.047
12	0.011	0	0	0	0	0	0.99	6	0.32	0.28
13	0.89	0.11	0	0	0	0	0	0	0.32	0.42
14	0.98	0.019	0	0	0	0	0	0	0.32	0.42
15	0.57	0.43	0	0	0	0	0	0	0.32	0.42
16	0.97	0.009	0	0	0	0.022	0.0012	0	0.32	0.42
17	0.94	0.038	0	0	0	0.026	0.00038	0	0.32	0.42
18	0.8	0.2	0	0	0	2.7e-06	0	0	0.32	0.42
19	0	0	8.2e-05	0.0037	1	0	0	4	0.14	0
20	1	0.00022	0	0	0	0	0	0	0.32	0.42
21	0.92	0.078	0	0	0	0	0	0	0.32	0.42
22	0.79	0.19	0	0	0	0.019	0.00016	0	0.32	0.42
23	0.87	0	0	0	0	0	0.13	0	0.32	0.42
24	0.05	0	0	0	0	0	0.95	6	0.32	0.28
25	4e-05	1	0	0	0	0.00014	0	1	0.4	0.58
26	0	0	0	0	1	0	0	4	0.14	0
27	0.99	0.012	0	0	0	0.0014	0.00076	0	0.32	0.42
28	0.99	0.015	0	0	0	0	0	0	0.32	0.42
29	0.0095	0.99	0	0	0	4.1e-05	0	1	0.4	0.58
30	0.85	0.0047	0	0	0	0.00011	0.15	0	0.32	0.42
31	0	0	1	0	0	0	0	2	0.071	0.14
32	0.86	0.14	0	0	0	0.00029	0.00028	0	0.32	0.42
33	0.66	0.34	0	0	0	0	0	0	0.32	0.42
34	1	0.0014	0	0	0	0	0	0	0.32	0.42
35	0.8	0.00036	0	0	0	3.8e-05	0.2	0	0.32	0.42
36	0.01	0.99	0	0	0	0	0	1	0.4	0.58
37	0.23	0.77	0	0	0	0	0	1	0.4	0.58
38	0.095	0.91	0	0	0	7.8e-06	0	1	0.4	0.58
39	1	0	0	0	0	0	0	0	0.32	0.42
40	0.42	0.58	0	0	0	0	0	1	0.4	0.58
41	0.05	0	2.9e-06	0	0	3.9e-06	0.95	6	0.32	0.28
42	0	0	0.2	0.8	0	0	0	3	0.036	0.047
43	1	0.00087	0	0	0	0	0	0	0.32	0.42
44	0.89	0.11	0	0	0	0	0	0	0.32	0.42
45	0.39	3.5e-06	0	0	0	0	0.61	6	0.32	0.28
46	0.86	0.0011	0	0	0	0.00014	0.14	0	0.32	0.42
47	0.88	0.014	0	0	0	0.0055	0.1	0	0.32	0.42
48	1	0	0	0	0	0	0.00084	0	0.32	0.42
49	1	0.00012	0	0	0	0	0	0	0.32	0.42
50	1	0.00019	0	0	0	0	0	0	0.32	0.42
51	0.98	0.024	0	0	0	0	0	0	0.32	0.42
52	0.31	0.69	0	0	0	0	0	1	0.4	0.58
53	0.28	0.72	0	0	0	2.3e-05	2.6e-06	1	0.4	0.58
54	0.13	0	0	0	0	0	0.87	6	0.32	0.28
55	0.94	0.062	0	0	0	0	0	0	0.32	0.42
56	0.52	1.1e-06	0	0	0	1.2e-05	0.48	0	0.32	0.42
57	0	0	8e-05	1	0	0	0	3	0.036	0.047
58	0.47	0.53	0	0	0	0	0	1	0.4	0.58
59	0	0	0	0.00029	1	0	0	4	0.14	0
60	0	0	0.61	0.39	0	0	0	2	0.071	0.14
61	0.021	0	0	0	0	0	0.98	6	0.32	0.28
62	0.96	0.00063	0	0	0	0.0035	0.034	0	0.32	0.42
63	0.93	0.00041	0	0	0	4.3e-05	0.069	0	0.32	0.42
64	0.75	0.0011	3.5e-05	0	0	0.014	0.23	0	0.32	0.42
65	0	0	0.7	0.3	0	0	3.7e-06	2	0.071	0.14
66	0.77	0	0	0	0	0	0.23	0	0.32	0.42
67	0.9	0.091	0	0	0	0.0075	0.0005	0	0.32	0.42
68	0.5	0.5	0	0	0	0.00049	0	0	0.32	0.42
69	0.086	0	0	0	0	0.00018	0.91	6	0.32	0.28
70	0.98	0.0012	0	0	0	0.0011	0.018	0	0.32	0.42
71	1	0.00019	0	0	0	6.8e-06	0.0016	0	0.32	0.42
72	0.62	0.38	0	0	0	0	0	0	0.32	0.42
73	1	0	0	0	0	0	0.00022	0	0.32	0.42
74	0.44	0.00075	0	0	0	7.1e-05	0.56	6	0.32	0.28
75	0.99	0	0	0	0	1.4e-05	0.011	0	0.32	0.42
76	0.82	0.16	0	0	0	0.0037	0.0096	0	0.32	0.42
77	0.77	0.001	7.2e-06	0	0	0.0043	0.23	0	0.32	0.42
78	0.63	0.37	0	0	0	0	0	0	0.32	0.42
79	1	0.0032	0	0	0	0	0	0	0.32	0.42
80	0.014	0.99	0	0	0	0	0	1	0.4	0.58
81	0.8	0.2	0	0	0	0	0	0	0.32	0.42
82	0.4	6.2e-05	0	0	0	3.8e-05	0.6	6	0.32	0.28
83	0.6	0.4	0	0	0	1.9e-06	0	0	0.32	0.42
84	0.029	0.97	0	0	0	0	0	1	0.4	0.58
