SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0	dcf1
0	0	0.77	0.024	0	0	0	0.024	0	0	0	0.047	0.14	0	0	1	0.32	0.33
1	0.52	0	0.0073	8.9e-05	0	0	0.0073	0.00083	0	0.46	0	0	0	0	0	0.36	0.58
2	0	0.19	0.012	0	0	0	0.012	6.7e-06	0	5.5e-06	0.76	0.033	1.5e-06	0	10	0.28	0.23
3	0.0019	0	0.0055	0	0	0	0.0055	0.99	0	0.00017	0	2.5e-06	0	0	7	0.23	0.52
4	0.0023	0.24	0.36	1.7e-05	0	0	0.36	0.00085	0	0.016	0.013	0.0081	0	0	2	0.32	0.42
5	0.0081	0.13	0.39	3.9e-05	0	0	0.39	0.012	0	0.024	0.0072	0.032	0	0	2	0.32	0.42
6	0.0057	0.0026	0.48	0	0	0	0.48	0.00055	0	0.025	0	8e-06	0	0	2	0.32	0.42
7	0.0074	0	0.48	0.018	0	0	0.48	0	0	0.017	0	0	0	0	2	0.32	0.42
8	0	0.01	2e-06	0	0	0	2e-06	0	0	0	0.99	7.4e-05	0	0	10	0.28	0.23
9	0.019	0	0.43	0.004	0	0	0.43	0	0	0.12	0	0	0	0	2	0.32	0.42
10	0.13	0	0.38	0	0	0	0.38	0	0	0.12	0	0	0	0	2	0.32	0.42
11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0.11	0.047
12	0	0.99	0.0045	0	0	0	0.0045	0	0	0	0.0014	1.9e-05	0	0	1	0.32	0.33
13	0.078	0	0.4	3.8e-05	0	0	0.4	0	0	0.12	0	0	0	0	2	0.32	0.42
14	0.013	0	0.48	0.00075	0	0	0.48	0	0	0.02	0	0	0	0	2	0.32	0.42
15	0.19	0	0.31	0.017	0	0	0.31	0	0	0.19	0	0	0	0	2	0.32	0.42
16	0.011	0.012	0.47	0	0	0	0.47	0.023	0	0.016	1.5e-05	0.0057	0	0	2	0.32	0.42
17	0.036	0.0056	0.44	9.5e-06	0	0	0.44	0.027	0	0.046	2.4e-06	0.0016	0	0	2	0.32	0.42
18	0.099	0	0.38	0.0044	0	0	0.38	2.9e-06	0	0.13	0	0	0	0	2	0.32	0.42
19	0	0	0	0	0.00016	0.95	0	0	0	0	0	0	0.048	0	5	0.14	0
20	9.6e-05	0	0.49	0	0	0	0.49	0	0	0.0099	0	0	0	0	2	0.32	0.42
21	0.019	0	0.42	0.0048	0	0	0.42	0	0	0.15	0	0	0	0	2	0.32	0.42
22	0.14	0.0026	0.35	6.8e-05	0	0	0.35	0.019	0	0.13	0	0.00026	0	0	2	0.32	0.42
23	0	0.42	0.29	0	0	0	0.29	0	0	9.7e-06	0.00032	0.003	0	0	1	0.32	0.33
24	0	0.79	0.048	0	0	0	0.048	0	0	1.1e-05	0.11	0.0036	0	0	1	0.32	0.33
25	0.92	0	2.8e-05	0.00016	0	0	2.8e-05	0.00023	0	0.077	0	0	0	0	0	0.36	0.58
26	0	0	0	0	0	1	0	0	0	0	0	0	0.002	0	5	0.14	0
27	0.01	0.012	0.47	0	0	0	0.47	0.0015	0	0.026	0	0.00014	0	0	2	0.32	0.42
28	0.0028	0	0.45	0.064	0	0	0.45	0	0	0.035	0	0	0	0	2	0.32	0.42
29	0.6	0	0.0043	3.6e-06	0	0	0.0043	4.1e-05	0	0.39	0	0	0	0	0	0.36	0.58
30	0.0013	0.23	0.37	0.00013	0	0	0.37	0.0001	0	0.018	0.0038	0.0018	0	0	2	0.32	0.42
31	0	0	0	0	1	0	0	0	0	0	0	2.3e-06	4.3e-05	0	4	0.036	0.093
