SNV	cluster0	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	1	0	0.067	0.26	0.25	0.13	0.12
1	1	0	0.067	0.26	0.25	0.13	0.12
2	1	0	0.067	0.26	0.25	0.13	0.12
3	1	0	0.067	0.26	0.25	0.13	0.12
4	1	0	0.067	0.26	0.25	0.13	0.12
5	1	0	0.067	0.26	0.25	0.13	0.12
6	1	0	0.067	0.26	0.25	0.13	0.12
7	1	0	0.067	0.26	0.25	0.13	0.12
8	1	0	0.067	0.26	0.25	0.13	0.12
9	1	0	0.067	0.26	0.25	0.13	0.12
10	1	0	0.067	0.26	0.25	0.13	0.12
11	1	0	0.067	0.26	0.25	0.13	0.12
12	1	0	0.067	0.26	0.25	0.13	0.12
13	1	0	0.067	0.26	0.25	0.13	0.12
14	1	0	0.067	0.26	0.25	0.13	0.12
15	1	0	0.067	0.26	0.25	0.13	0.12
16	1	0	0.067	0.26	0.25	0.13	0.12
17	1	0	0.067	0.26	0.25	0.13	0.12
18	1	0	0.067	0.26	0.25	0.13	0.12
19	1	0	0.067	0.26	0.25	0.13	0.12
20	1	0	0.067	0.26	0.25	0.13	0.12
21	1	0	0.067	0.26	0.25	0.13	0.12
22	1	0	0.067	0.26	0.25	0.13	0.12
23	1	0	0.067	0.26	0.25	0.13	0.12
24	1	0	0.067	0.26	0.25	0.13	0.12
25	1	0	0.067	0.26	0.25	0.13	0.12
26	1	0	0.067	0.26	0.25	0.13	0.12
27	1	0	0.067	0.26	0.25	0.13	0.12
28	1	0	0.067	0.26	0.25	0.13	0.12
29	1	0	0.067	0.26	0.25	0.13	0.12
30	1	0	0.067	0.26	0.25	0.13	0.12
31	1	0	0.067	0.26	0.25	0.13	0.12
32	1	0	0.067	0.26	0.25	0.13	0.12
33	1	0	0.067	0.26	0.25	0.13	0.12
34	1	0	0.067	0.26	0.25	0.13	0.12
35	1	0	0.067	0.26	0.25	0.13	0.12
36	1	0	0.067	0.26	0.25	0.13	0.12
37	1	0	0.067	0.26	0.25	0.13	0.12
38	1	0	0.067	0.26	0.25	0.13	0.12
39	1	0	0.067	0.26	0.25	0.13	0.12
40	1	0	0.067	0.26	0.25	0.13	0.12
