SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	0	0	0	0	0	0	0	0	0.00024	1	0	9	0.2	0.47	0.47	0.21	0.2
1	0	0	0	0	0	0	0	0	1	0	0	8	0.27	0.42	0.42	0.21	0.2
2	0	0.24	0	0.012	0	0.00027	0	0.24	1.4e-05	0.51	0	9	0.2	0.47	0.47	0.21	0.2
3	0	0.18	0	0.078	0	0.055	0	0.18	0.0042	0.51	0	9	0.2	0.47	0.47	0.21	0.2
4	0	0	0	0	0.5	0	0.5	0	0	0	0	4	0	0.058	0.083	0.058	0.053
5	0	0	0	0.0026	0	0	0	0	0.39	0.61	0	9	0.2	0.47	0.47	0.21	0.2
6	0	0.21	0	0	0	0.59	0	0.21	0	0	0	5	0	0.31	0.42	0.21	0.2
7	0	0	0	0.00017	0	0	0	0	0.019	0.98	0	9	0.2	0.47	0.47	0.21	0.2
8	0	0	1	0	0	0	0	0	0	0	0	2	0.2	0.029	0.028	0.014	0.013
9	0	0	0	3.6e-05	0	0	0	0	0.00018	1	0	9	0.2	0.47	0.47	0.21	0.2
10	0	0	0	0.032	0	0	0	0	0.0021	0.97	0	9	0.2	0.47	0.47	0.21	0.2
11	0	0	0	0.11	0	0	0	0	0	0.89	0	9	0.2	0.47	0.47	0.21	0.2
12	0	0.5	0	0	0	0.0023	0	0.5	0	0	0	1	0	0.26	0.25	0.13	0.12
13	0	0	0	0.93	0	0	0	0	1.2e-05	0.066	0	3	0.2	0.31	0.31	0.21	0.2
14	0	0.5	0	0	0	0.00037	0	0.5	0	0	0	1	0	0.26	0.25	0.13	0.12
15	0	0.093	0	0	0	0.81	0	0.093	0	0	0	5	0	0.31	0.42	0.21	0.2
16	0	0.5	0	0	0	0	0	0.5	0	0	0	1	0	0.26	0.25	0.13	0.12
17	1	0	4.3e-06	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
18	0	0.5	0	0	0	0.0046	0	0.5	0	0	0	1	0	0.26	0.25	0.13	0.12
19	1	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
20	0	0	0	0	0.5	0	0.5	0	0	0	0	4	0	0.058	0.083	0.058	0.053
21	0	0.5	0	0	0.0044	0	0.0044	0.5	0	0	0	1	0	0.26	0.25	0.13	0.12
22	0	0	0	3.3e-05	0	0	0	0	0.0028	1	0	9	0.2	0.47	0.47	0.21	0.2
23	0	0	0	1	0	0	0	0	4.8e-06	0.0041	0	3	0.2	0.31	0.31	0.21	0.2
24	1	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
25	0	0.47	0	1.5e-05	0	0.054	0	0.47	0	1.8e-05	0	1	0	0.26	0.25	0.13	0.12
26	0	0	0	0	0.5	0	0.5	0	0	0	0	4	0	0.058	0.083	0.058	0.053
27	0	0	0	0.91	0	0	0	0	0.019	0.071	0	3	0.2	0.31	0.31	0.21	0.2
28	0	0	0	0	0.5	0	0.5	0	0	0	0	4	0	0.058	0.083	0.058	0.053
29	0	0	0	0.00013	0	0	0	0	0	1	0	9	0.2	0.47	0.47	0.21	0.2
30	0.99	0	0.0066	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
31	0	0	0	0	0	0	0	0	0.31	0.69	0	9	0.2	0.47	0.47	0.21	0.2
32	0	0.00038	0	0	0.5	0	0.5	0.00038	0	0	0	4	0	0.058	0.083	0.058	0.053
33	0	0.24	0	0	0	0.52	0	0.24	0	0	0	5	0	0.31	0.42	0.21	0.2
34	0	0	0	0	0.5	0	0.5	0	0	0	0	4	0	0.058	0.083	0.058	0.053
35	0	0	0	0	0.5	0	0.5	0	0	0	0	4	0	0.058	0.083	0.058	0.053
36	0	0	0	0.0008	0	0	0	0	0	1	0	9	0.2	0.47	0.47	0.21	0.2
37	0	0	0	0.19	0	0	0	0	0	0.81	0	9	0.2	0.47	0.47	0.21	0.2
38	0	0	0	0	0	0	0	0	0	1	0	9	0.2	0.47	0.47	0.21	0.2
39	0	0.5	0	0	0	0	0	0.5	0	0	0	1	0	0.26	0.25	0.13	0.12
40	1	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
41	1	0	2e-06	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
42	0	0	0	1	0	0	0	0	0	0	0	3	0.2	0.31	0.31	0.21	0.2
43	1	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
44	0.99	0	0.0068	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
45	1	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
46	0	0	0	6.6e-05	0	0	0	0	0	1	0	9	0.2	0.47	0.47	0.21	0.2
47	0	0	0	1	0	0	0	0	0	0	0	3	0.2	0.31	0.31	0.21	0.2
48	0	0	1	0	0	0	0	0	0	0	0	2	0.2	0.029	0.028	0.014	0.013
49	0	0	0	0.013	0	0	0	0	0.23	0.76	0	9	0.2	0.47	0.47	0.21	0.2
50	0	0	0	1	0	0	0	0	0	0	0	3	0.2	0.31	0.31	0.21	0.2
51	0	0	0	0.72	0	0	0	0	0.041	0.24	0	3	0.2	0.31	0.31	0.21	0.2
52	0	0.46	0	0	0.045	0	0.045	0.46	0	0	0	1	0	0.26	0.25	0.13	0.12
53	0	0	0	0	0.5	0	0.5	0	0	0	0	4	0	0.058	0.083	0.058	0.053
54	0	0	0	1	0	0	0	0	0.00011	0.0022	0	3	0.2	0.31	0.31	0.21	0.2
55	0	0.5	0	0.00011	4.5e-05	0	4.5e-05	0.5	0	0	0	1	0	0.26	0.25	0.13	0.12
56	0	0	0	4.7e-06	0	0	0	0	2.3e-05	1	0	9	0.2	0.47	0.47	0.21	0.2
57	0	0.47	0	0	0	0.06	0	0.47	0	0	0	1	0	0.26	0.25	0.13	0.12
58	0	0.5	0	0	0	0.00043	0	0.5	0	0	0	1	0	0.26	0.25	0.13	0.12
59	1	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
60	0	0	1	0	0	0	0	0	0	0	0	2	0.2	0.029	0.028	0.014	0.013
61	0	0	0	0	0	0	0	0	1	0	0	8	0.27	0.42	0.42	0.21	0.2
62	1	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
63	0	0	0	0	0	0	0	0	0	1	0	9	0.2	0.47	0.47	0.21	0.2
64	0	0.5	0	0	0	0	0	0.5	0	0	0	1	0	0.26	0.25	0.13	0.12
65	0	0.5	0	0	0	0	0	0.5	0	0	0	1	0	0.26	0.25	0.13	0.12
66	0	0	0	2.5e-06	0	0	0	0	1.2e-05	1	0	9	0.2	0.47	0.47	0.21	0.2
67	0	0	0	0	0	0	0	0	0	1	0	9	0.2	0.47	0.47	0.21	0.2
68	0	0.5	0	0	0	2.8e-05	0	0.5	0	0	0	1	0	0.26	0.25	0.13	0.12
69	0	0	0	0.64	0	0	0	0	0.058	0.31	0	3	0.2	0.31	0.31	0.21	0.2
70	0	0	0	0	0.5	0	0.5	0	0	0	0	4	0	0.058	0.083	0.058	0.053
71	0	0	0	0	0	0	0	0	0	1	0	9	0.2	0.47	0.47	0.21	0.2
72	0	0	1	0	0	0	0	0	0	0	0	2	0.2	0.029	0.028	0.014	0.013
73	0	0.5	0	0	0	0.0076	0	0.5	0	0	0	1	0	0.26	0.25	0.13	0.12
74	0	0.45	0	4.8e-05	0	0.094	0	0.45	0	1.8e-06	0	1	0	0.26	0.25	0.13	0.12
