SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	1	0.0012	0	0	0	0.2	0.26	0.25	0.13	0.12
1	1	0	0	0	0	0.2	0.26	0.25	0.13	0.12
2	0.7	2.8e-05	0	0.3	0	0.2	0.26	0.25	0.13	0.12
3	0.69	0.012	0	0.3	0	0.2	0.26	0.25	0.13	0.12
4	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
5	0.3	0.7	0	0	1	0.27	0.47	0.47	0.29	0.2
6	0	0	0	1	3	0	0.26	0.25	0.13	0.12
7	0.73	0.27	0	0	0	0.2	0.26	0.25	0.13	0.12
8	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
9	1	5.8e-05	0	0	0	0.2	0.26	0.25	0.13	0.12
10	1	0.00056	0	0	0	0.2	0.26	0.25	0.13	0.12
11	1	9e-05	0	0	0	0.2	0.26	0.25	0.13	0.12
12	0	0	0	1	3	0	0.26	0.25	0.13	0.12
13	1	0.00054	0	0	0	0.2	0.26	0.25	0.13	0.12
14	0	0	0	1	3	0	0.26	0.25	0.13	0.12
15	0	0	0	1	3	0	0.26	0.25	0.13	0.12
16	0	0	0	1	3	0	0.26	0.25	0.13	0.12
17	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
18	0	0	0	1	3	0	0.26	0.25	0.13	0.12
19	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
20	0	0	0	1	3	0	0.26	0.25	0.13	0.12
21	0	0	0	1	3	0	0.26	0.25	0.13	0.12
22	0.8	0.2	0	0	0	0.2	0.26	0.25	0.13	0.12
23	0.99	0.0097	0	0	0	0.2	0.26	0.25	0.13	0.12
24	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
25	5.2e-05	0	0	1	3	0	0.26	0.25	0.13	0.12
26	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
27	0.97	0.025	0	0	0	0.2	0.26	0.25	0.13	0.12
28	0	0	0	1	3	0	0.26	0.25	0.13	0.12
29	1	0	0	0	0	0.2	0.26	0.25	0.13	0.12
30	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
31	0.57	0.43	0	0	0	0.2	0.26	0.25	0.13	0.12
32	0.37	0	0	0.63	3	0	0.26	0.25	0.13	0.12
33	0	0	0	1	3	0	0.26	0.25	0.13	0.12
34	0	0	0	1	3	0	0.26	0.25	0.13	0.12
35	0	0	1	3.9e-05	2	0.2	0.029	0.028	0.014	0.013
36	1	0.00012	0	0	0	0.2	0.26	0.25	0.13	0.12
37	1	0	0	0	0	0.2	0.26	0.25	0.13	0.12
38	1	0	0	0	0	0.2	0.26	0.25	0.13	0.12
39	0	0	0	1	3	0	0.26	0.25	0.13	0.12
40	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
41	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
42	1	0	0	0	0	0.2	0.26	0.25	0.13	0.12
43	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
44	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
45	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
46	1	0	0	0	0	0.2	0.26	0.25	0.13	0.12
47	1	0	0	0	0	0.2	0.26	0.25	0.13	0.12
48	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
49	0.07	0.93	0	0	1	0.27	0.47	0.47	0.29	0.2
50	1	0	0	0	0	0.2	0.26	0.25	0.13	0.12
51	0.46	0.54	0	0	1	0.27	0.47	0.47	0.29	0.2
52	0	0	0	1	3	0	0.26	0.25	0.13	0.12
53	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
54	1	0.003	0	0	0	0.2	0.26	0.25	0.13	0.12
55	0.48	0	0	0.52	3	0	0.26	0.25	0.13	0.12
56	1	0.00011	0	0	0	0.2	0.26	0.25	0.13	0.12
57	0	0	0	1	3	0	0.26	0.25	0.13	0.12
58	0	0	0	1	3	0	0.26	0.25	0.13	0.12
59	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
60	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
61	0	1	0	0	1	0.27	0.47	0.47	0.29	0.2
62	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
63	1	0	0	0	0	0.2	0.26	0.25	0.13	0.12
64	0	0	0	1	3	0	0.26	0.25	0.13	0.12
65	0	0	0	1	3	0	0.26	0.25	0.13	0.12
66	1	0.0001	0	0	0	0.2	0.26	0.25	0.13	0.12
67	1	0	0	0	0	0.2	0.26	0.25	0.13	0.12
68	0	0	0	1	3	0	0.26	0.25	0.13	0.12
69	0.92	0.077	0	0	0	0.2	0.26	0.25	0.13	0.12
70	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
71	1	0	0	0	0	0.2	0.26	0.25	0.13	0.12
72	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
73	0	0	0	1	3	0	0.26	0.25	0.13	0.12
74	2.5e-05	0	0	1	3	0	0.26	0.25	0.13	0.12
75	1	0	0	0	0	0.2	0.26	0.25	0.13	0.12
76	1	0.0044	0	0	0	0.2	0.26	0.25	0.13	0.12
77	0	0	0.0021	1	3	0	0.26	0.25	0.13	0.12
78	1	3.9e-06	0	0	0	0.2	0.26	0.25	0.13	0.12
79	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
80	0	0	0	1	3	0	0.26	0.25	0.13	0.12
81	1	0	0	0	0	0.2	0.26	0.25	0.13	0.12
82	0	0	0	1	3	0	0.26	0.25	0.13	0.12
83	0	0	0	1	3	0	0.26	0.25	0.13	0.12
84	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
85	0.00012	0	1	0	2	0.2	0.029	0.028	0.014	0.013
86	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
87	0	0	0	1	3	0	0.26	0.25	0.13	0.12
88	0	0	0	1	3	0	0.26	0.25	0.13	0.12
89	0	0	0	1	3	0	0.26	0.25	0.13	0.12
90	0	0	0	1	3	0	0.26	0.25	0.13	0.12
91	0	0	0	1	3	0	0.26	0.25	0.13	0.12
92	1	0.00035	0	0	0	0.2	0.26	0.25	0.13	0.12
93	0	0	0	1	3	0	0.26	0.25	0.13	0.12
94	0	0	0	1	3	0	0.26	0.25	0.13	0.12
95	1	0.0021	0	0	0	0.2	0.26	0.25	0.13	0.12
96	0	0	0	1	3	0	0.26	0.25	0.13	0.12
97	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
98	0	0	0	1	3	0	0.26	0.25	0.13	0.12
99	0.99	0.013	0	0	0	0.2	0.26	0.25	0.13	0.12
100	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
101	0	0	0	1	3	0	0.26	0.25	0.13	0.12
102	0.99	0.0078	0	0	0	0.2	0.26	0.25	0.13	0.12
103	0	0	0	1	3	0	0.26	0.25	0.13	0.12
104	0	0	0	1	3	0	0.26	0.25	0.13	0.12
105	1	8.3e-06	0	0	0	0.2	0.26	0.25	0.13	0.12
106	0.95	0.045	0	0	0	0.2	0.26	0.25	0.13	0.12
107	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
108	3.4e-06	0	0	1	3	0	0.26	0.25	0.13	0.12
109	0	0	0	1	3	0	0.26	0.25	0.13	0.12
110	1	0	4.2e-06	0	0	0.2	0.26	0.25	0.13	0.12
111	0.87	0.13	0	0	0	0.2	0.26	0.25	0.13	0.12
112	0	0	0	1	3	0	0.26	0.25	0.13	0.12
113	1	0	1.7e-06	0	0	0.2	0.26	0.25	0.13	0.12
114	0	0	0	1	3	0	0.26	0.25	0.13	0.12
115	0	0	0.00033	1	3	0	0.26	0.25	0.13	0.12
116	0	0	0	1	3	0	0.26	0.25	0.13	0.12
117	0	0	0	1	3	0	0.26	0.25	0.13	0.12
118	0	1	0	0	1	0.27	0.47	0.47	0.29	0.2
119	1	0.00068	0	0	0	0.2	0.26	0.25	0.13	0.12
120	1	0.00077	0	0	0	0.2	0.26	0.25	0.13	0.12
121	0	0	0	1	3	0	0.26	0.25	0.13	0.12
122	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
123	1	0	0.0014	0	0	0.2	0.26	0.25	0.13	0.12
124	0	0	1	0	2	0.2	0.029	0.028	0.014	0.013
