k	loglikelihood	observations	parameters	BIC
1	-31536.4	24415	10	63173.9
2	-21759.7	24415	15	43671
3	-18789.5	24415	20	37781
4	-15783.5	24415	25	31819.6
5	-13652.9	24415	30	27608.9
6	-12721.7	24415	35	25797
7	-11068.7	24415	40	22541.5
8	-12867.1	24415	45	26188.8
9	-10596.2	24415	50	21697.5
10	-11103.9	24415	55	22763.5
11	-12286.7	24415	60	25179.5
12	-12258.6	24415	65	25174
13	-10859.6	24415	70	22426.5
14	-10803	24415	75	22363.7
15	-11007.4	24415	80	22823.1
16	-10966.3	24415	85	22791.3
17	-12628	24415	90	26165.3
18	-11992.1	24415	95	24944
19	-13054	24415	100	27118.4
20	-10842.7	24415	105	22746.2
