SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	0	0	1	0	0	0	2	0.2	0.26	0.25	0.13	0.12
1	0	0	1	0	0	0	2	0.2	0.26	0.25	0.13	0.12
2	0.047	0	0.95	0	3e-05	0	2	0.2	0.26	0.25	0.13	0.12
3	0.23	0	0.77	0	0.0037	0	2	0.2	0.26	0.25	0.13	0.12
4	0	0	0	1	0	0	3	0	0.058	0.083	0.058	0.053
5	0	0	0.97	0	0.029	0	2	0.2	0.26	0.25	0.13	0.12
6	1	0	0	0	0	0	0	0	0.42	0.42	0.21	0.2
7	0	0	0.98	0	0.017	0	2	0.2	0.26	0.25	0.13	0.12
8	0	0	0	0	0	1	5	0.2	0.029	0.028	0.014	0.013
9	0	0	1	0	7.7e-06	0	2	0.2	0.26	0.25	0.13	0.12
10	0	0	1	0	0.00025	0	2	0.2	0.26	0.25	0.13	0.12
11	0	0	1	0	5e-06	0	2	0.2	0.26	0.25	0.13	0.12
12	1	0	0	0	0	0	0	0	0.42	0.42	0.21	0.2
13	0	0	1	0	0.00088	0	2	0.2	0.26	0.25	0.13	0.12
14	1	0	0	0	0	0	0	0	0.42	0.42	0.21	0.2
15	1	0	0	0	0	0	0	0	0.42	0.42	0.21	0.2
16	1	0	0	0	0	0	0	0	0.42	0.42	0.21	0.2
17	0	1	0	0	0	0.0007	1	0.27	0	0	0	0
18	1	0	0	0	0	0	0	0	0.42	0.42	0.21	0.2
19	0	1	0	0	0	1.8e-06	1	0.27	0	0	0	0
20	0	0	0	1	0	0	3	0	0.058	0.083	0.058	0.053
21	4.3e-06	0	8.4e-05	1	0	0	3	0	0.058	0.083	0.058	0.053
22	0	0	0.99	0	0.0069	0	2	0.2	0.26	0.25	0.13	0.12
23	0	0	0.9	0	0.096	0	2	0.2	0.26	0.25	0.13	0.12
24	0	1	0	0	0	1.9e-05	1	0.27	0	0	0	0
25	1	0	0.00029	0	1.8e-06	0	0	0	0.42	0.42	0.21	0.2
26	0	0	0	1	0	0	3	0	0.058	0.083	0.058	0.053
27	0	0	0.89	0	0.11	0	2	0.2	0.26	0.25	0.13	0.12
28	0	0	0	1	0	0	3	0	0.058	0.083	0.058	0.053
29	0	0	1	0	0	0	2	0.2	0.26	0.25	0.13	0.12
30	0	0.96	0	0	0	0.04	1	0.27	0	0	0	0
31	0	0	1	0	0.00013	0	2	0.2	0.26	0.25	0.13	0.12
32	0	0	0.00059	1	0	0	3	0	0.058	0.083	0.058	0.053
33	1	0	0	0	0	0	0	0	0.42	0.42	0.21	0.2
34	0	0	0	1	0	0	3	0	0.058	0.083	0.058	0.053
35	0	0	0	1	0	0	3	0	0.058	0.083	0.058	0.053
36	0	0	1	0	2.3e-06	0	2	0.2	0.26	0.25	0.13	0.12
37	0	0	1	0	0	0	2	0.2	0.26	0.25	0.13	0.12
38	0	0	1	0	0	0	2	0.2	0.26	0.25	0.13	0.12
39	1	0	0	0	0	0	0	0	0.42	0.42	0.21	0.2
40	0	0.97	0	0	0	0.03	1	0.27	0	0	0	0
41	0	1	0	0	0	0.00013	1	0.27	0	0	0	0
42	0	0	1	0	0	0	2	0.2	0.26	0.25	0.13	0.12
43	0	0.89	0	0	0	0.11	1	0.27	0	0	0	0
