SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	0	0	0.95	0.012	0	0	0.00015	0	0	0	0	8.2e-05	0	4.1e-05	0	0	0	0.038	0	0	2	0.2	0.47	0.42	0.21	0.2
1	0	0	0	1	0	0	0	0	0	4.5e-06	0	0	0	0	0	0	0	0	0	0	3	0.27	0.26	0.25	0.13	0.12
2	0.00035	0.04	0.15	0.00039	0	0	0.13	0	0.26	0	0.37	0.051	0	0	0	0	1e-05	0	0	0	10	0	0.26	0.31	0.13	0.12
3	0.03	0.023	0.066	0.0084	0	0	0.07	0	0.54	0.00031	0.17	0.094	0	0.0008	0	0	0.0012	0	0	0	8	0	0.47	0.47	0.29	0.2
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0	0.058	0.083	0.058	0.053
5	0	0	0.66	0.27	0	0	0.037	0	0	0	0	0.0077	0	0.013	0	0	5.1e-06	0.02	0	0	2	0.2	0.47	0.42	0.21	0.2
6	0.26	2.4e-05	0	0	0	0	0	0	0.11	0	0.63	0	0	0	0	0	3.4e-06	0	0	0	10	0	0.26	0.31	0.13	0.12
7	0	0	0.045	0.78	0	0	0.028	0	0	0	0	0.045	0	0.0029	0	0	0	0.096	0	0	3	0.27	0.26	0.25	0.13	0.12
8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0.2	0.029	0.028	0.014	0.013
9	0	0	0.011	0.00036	0	0	0.78	0	0	0	0	0.21	0	0	0	0	0	0	0	0	6	0.2	0.53	0.47	0.29	0.29
10	0	0	0.00033	2.3e-06	0	0	9.2e-05	0	0	0.014	0	5e-05	0	0	0	0	0.99	0	0	0	16	0.089	0.47	0.47	0.21	0.2
11	0	0	0	0	0	0	0	0	0	0.021	0	0	0	0	0	0	0.98	0	0	0	16	0.089	0.47	0.47	0.21	0.2
12	0.00081	0.0087	0	0	0	0	0	0	0.75	0.0001	0.24	0	0	0	0	0	6.3e-06	0	0	0	8	0	0.47	0.47	0.29	0.2
13	0	0	0.0026	0.0026	0	0	0.59	0	0	0.17	0	0.24	0	0	0	0	0.0053	0	0	0	6	0.2	0.53	0.47	0.29	0.29
14	0.0021	0.23	0	0	0	0	0	0	0.65	0	0.12	0	0	0	0	0	0	0	0	0	8	0	0.47	0.47	0.29	0.2
15	0.64	0.021	0	0	0	0	0	0	0.039	2.7e-05	0.3	0	0	0	0	0	4.8e-05	0	0	0	0	0	0.31	0.42	0.21	0.2
16	0	0.0001	0	0	0	0	0	0	0.0067	0	0.99	0	0	0	0	0	0	0	0	0	10	0	0.26	0.31	0.13	0.12
17	0	0	0	0	0.23	0.55	0	4.9e-06	0	0	0	0	0.23	0	0	0	0	0	0	0	5	0.2	0	0	0	0
18	0.0006	0.81	0	0	0	0	0	0	0.16	0	0.026	0	0	0	0	0	0	0	0	0	1	0	0.53	0.42	0.29	0.29
19	0	0	0	0	0.16	0.68	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	5	0.2	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0	0.058	0.083	0.058	0.053
21	3.5e-06	0	0	0	0	0	0	0	0	1.6e-05	0.91	0	0	0	0	0	0	0	0.094	0	10	0	0.26	0.31	0.13	0.12
22	0	0	0.0017	0.99	0	0	0.00048	0	0	0	0	0.009	0	0.0011	0	0	0	3e-06	0	0	3	0.27	0.26	0.25	0.13	0.12
23	0	0	2.3e-05	0.081	0	0	0.83	0	0	0	0	0.086	0	0	0	0	0	0	0	0	6	0.2	0.53	0.47	0.29	0.29
24	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	4	0.089	0	0	0	0
25	0.053	0.11	4.7e-06	0	0	0	1.2e-05	0	0.054	0.00043	0.78	7.9e-06	0	0	0	0	0.0025	0	0	0	10	0	0.26	0.31	0.13	0.12
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0	0.058	0.083	0.058	0.053
27	0	0	0.037	0.15	0	0	0.24	0	0	0.066	0	0.48	0	0.007	0	0.00091	0.0081	0.00014	0	0	11	0.2	0.47	0.53	0.29	0.29
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0	0.058	0.083	0.058	0.053
29	0	0	0.00013	0	0	0	0.00011	0	0	0.014	0	4.4e-05	0	0	0	0	0.99	0	0	0	16	0.089	0.47	0.47	0.21	0.2
30	0	0	0	0	0.05	0.89	0	0.012	0	0	0	0	0.05	0	0	0	0	0	0	0	5	0.2	0	0	0	0
31	0	0	0.017	0.0028	0	0	4.1e-06	0	0	0	0	0	0	6.6e-05	0	0	0.98	0.00012	0	0	16	0.089	0.47	0.47	0.21	0.2
32	0	0	0	0	0	0	0	0	0	0	0.00043	0	0	0	0	0	0	0	1	0	18	0	0.058	0.083	0.058	0.053
