SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0	dcf1
0	0.4	0	0	0.37	0.0064	0	0	0	0	0.0064	0	0.22	0	0.0004	0	0	0	1.5e-05	0	0.067	0.014
1	0.11	0	0	0.092	0.015	0	0	0.085	0	0.015	0	0.054	0	0.0008	8.3e-05	0.41	0.22	3.5e-05	15	0.083	0
2	6.6e-06	0	0.51	0	0.0011	0.0077	0	0	0	0.0011	3.9e-06	0	0.32	0.033	0.12	0	0	0.00031	2	0	0.072
3	0	0.0096	0	0	0	0	0.96	0	0	0	0	0	0	0	0.026	0	0	0	6	0.23	0.21
4	0.72	0	0	0.17	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0.067	0.014
5	0.76	0	0	0.15	0	0	0	0	0	0	0	0.088	0	0	0	0	0	0	0	0.067	0.014
6	0.00026	0	0	0.0002	0	0	0	0	0	0	0	0.00012	0	0	0	0.64	0.36	0	15	0.083	0
7	0.079	0	0	0.036	9.6e-05	0	0	0.0015	0	9.6e-05	0	0.021	0	0	0	0.44	0.42	0	15	0.083	0
8	0.59	0	0	0.26	0.00016	0	0	0	0	0.00016	0	0.15	0	0	0	0	0	0	0	0.067	0.014
9	0.36	0	0	0.4	0.0021	0	0	0	0	0.0021	0	0.24	0	1.9e-05	0	0	0	0	3	0.083	0.014
10	0	5.7e-06	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	14	0.15	0.13
11	0.77	0	0	0.15	0	0	0	0	0	0	0	0.087	0	0	0	0	0	0	0	0.067	0.014
12	0.038	0	0	0.021	4.3e-05	0	0	0.0013	0	4.3e-05	0	0.012	0	0	0	0.51	0.42	0	15	0.083	0
13	0.0073	0	0	0.011	4.8e-05	0	0	0.0041	0	4.8e-05	0	0.0067	0	0	0	0.76	0.22	0	15	0.083	0
14	0	3.1e-05	0	0	0	0	0.9	0	3.6e-06	0	0	0	0	0	0.1	0	0	0	6	0.23	0.21
