SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1
0	0	0.02	0.43	0	0	0	0	0.55	0	0	7	0.083	0.014
1	0.72	0.043	0.11	0	0	8e-05	0	0.13	0	0	0	0.083	0
2	0	0.0033	7.3e-06	0	0.009	0.13	0	0	0	0.86	9	0	0.072
3	0	0	0	0.014	0	0.026	0.96	0	0	0	6	0.23	0.21
4	0	0	0.75	0	0	0	0	0.25	0	0	2	0.067	0.014
5	0	0	0.79	0	0	0	0	0.21	0	0	2	0.067	0.014
6	1	0	0.00024	0	0	0	0	0.00026	0	0	0	0.083	0
7	0.85	0.00031	0.09	0	0	0	0	0.056	0	0	0	0.083	0
8	0	0.00047	0.62	0	0	0	0	0.38	0	0	2	0.067	0.014
9	0	0.0064	0.4	0	0	0	0	0.6	0	0	7	0.083	0.014
10	0	0	0	8.3e-06	0	1	0	0	0	0	5	0.15	0.13
11	0	0	0.79	0	0	0	0	0.21	0	0	2	0.067	0.014
12	0.93	0.00013	0.04	0	0	0	0	0.03	0	0	0	0.083	0
13	0.98	0.0001	0.0055	0	0	0	0	0.012	0	0	0	0.083	0
14	0	0	0	4.8e-05	0	0.1	0.9	0	0	0	6	0.23	0.21
15	0	0.00028	0.58	0	0	0	0	0.42	0	0	2	0.067	0.014
16	0	0	0.82	0	0	0	0	0.18	0	0	2	0.067	0.014
17	0	0.32	0.035	0	0	0	0	0.65	0	0	7	0.083	0.014
18	0	0	0.81	0	0	0	0	0.19	0	0	2	0.067	0.014
19	0	0	6.6e-06	0	1	0	0	0	0	0	4	0.017	0.13
20	0	0	0	0.056	0	0.65	0.3	0	0	0	5	0.15	0.13
21	0	1.2e-05	0.73	0	0	0	0	0.27	0	0	2	0.067	0.014
22	0	0	0.66	0	0	0	0	0.34	0	0	2	0.067	0.014
23	0	0	0	0.0021	0	0.02	0.98	0	0	0	6	0.23	0.21
24	0.84	0.0021	0.063	0	0	0	0	0.097	0	0	0	0.083	0
25	0	0	0	0	1	0	0	0	0	0	4	0.017	0.13
26	1	0	0.0016	0	0	0	0	0.00037	0	0	0	0.083	0
27	0	3.4e-06	0	0	1.4e-05	0.0049	0	0	0	1	9	0	0.072
28	0	7.2e-06	0.35	0	0	0	0	0.65	0	0	7	0.083	0.014
29	0	2.9e-06	0.65	0	0	0	0	0.35	0	0	2	0.067	0.014
30	0	0.18	0.27	0	0	0.00011	0	0.55	0	0	7	0.083	0.014
31	0	0	0	0	1	0	0	0	0	0	4	0.017	0.13
32	0	0	0	0.0013	0	0.69	0.31	0	0	0	5	0.15	0.13
33	0.96	0	0.025	0	0	0	0	0.012	0	0	0	0.083	0
34	0.66	0.00023	0.22	0	0	0	0	0.12	0	0	0	0.083	0
35	0.97	0.0003	0.0054	0	0	0	0	0.025	0	0	0	0.083	0
36	0	0	0	0.00062	0	1	2.6e-05	0	0	0	5	0.15	0.13
37	0	0.49	0.015	0	0	0	0	0.5	0	0	7	0.083	0.014
