k	loglikelihood	observations	parameters	BIC
1	-54718.9	14125	10	109533
2	-22730.2	14125	15	45603.6
3	-19235	14125	20	38661.1
4	-17529.5	14125	25	35298
5	-14424.9	14125	30	29136.5
6	-12801.1	14125	35	25936.6
7	-11873.3	14125	40	24128.9
8	-11297.1	14125	45	23024.3
9	-10954.8	14125	50	22387.4
10	-10342.6	14125	55	21210.7
11	-10071	14125	60	20715.4
12	-9513.59	14125	65	19648.3
13	-9795.26	14125	70	20259.4
14	-9510.16	14125	75	19737
15	-9011.45	14125	80	18787.3
16	-9017.24	14125	85	18846.7
17	-9039.88	14125	90	18939.8
18	-8791.3	14125	95	18490.4
19	-8396.32	14125	100	17748.2
20	-8489.85	14125	105	17983
