SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	0	0	1	0	0	0	0	0	2	0.051	0	0	0	0.15
1	0	0	0	1	0	0	0	0	3	0.2	0.27	0	0.21	0.037
2	1	0	0	0	0	0	0	0	0	0.46	0.44	0.08	0.47	0.18
3	0	0	0	0	1	0	0	0	4	0.051	0.16	0	0.052	0
4	0	0	0	1	0	0	0	0	3	0.2	0.27	0	0.21	0.037
5	0	0	0	0	0	0	1	0	6	0.2	0	0	0	0
6	1	0	0	0	0	0	0	0	0	0.46	0.44	0.08	0.47	0.18
7	1	0	0	0	0	0	0	0	0	0.46	0.44	0.08	0.47	0.18
8	0	1	0	0	0	0	0	0	1	0.54	0.51	0.36	0.53	0.33
9	0	0	0	0	1	0	0	0	4	0.051	0.16	0	0.052	0
10	0	0	0	0	1	0.0012	0	0	4	0.051	0.16	0	0.052	0
11	0	0	0	0	1	0	0	0.00012	4	0.051	0.16	0	0.052	0
12	0	0	0	0	1	0	0	0	4	0.051	0.16	0	0.052	0
13	0.87	0.13	0	0	0	0	0	0	0	0.46	0.44	0.08	0.47	0.18
14	0	0	0	0	0	0	1	0	6	0.2	0	0	0	0
15	0	0	0	0	0	0	0	1	7	0.051	0.054	0.08	0.052	0.037
16	0	0	0	8.1e-05	1	3.4e-05	0	0	4	0.051	0.16	0	0.052	0
17	0	0	0	1	0	0	0	0	3	0.2	0.27	0	0.21	0.037
18	1	0	0	0	0	0	0	0	0	0.46	0.44	0.08	0.47	0.18
19	1	0	0	0	0	0	0	0	0	0.46	0.44	0.08	0.47	0.18
20	0	0	1	0	0	0	0	0	2	0.051	0	0	0	0.15
21	0	0	1	0	0	0	0	0	2	0.051	0	0	0	0.15
22	0	0	0	0	0	0	0	1	7	0.051	0.054	0.08	0.052	0.037
23	0	0	0	0	0	0	0	1	7	0.051	0.054	0.08	0.052	0.037
24	0	0	1	0	0	0	0	0	2	0.051	0	0	0	0.15
25	0	1	0	0	0	0	0	0	1	0.54	0.51	0.36	0.53	0.33
26	0	0	0	0	0	0	0	1	7	0.051	0.054	0.08	0.052	0.037
27	0	0	1	0	0	0	0	0	2	0.051	0	0	0	0.15
28	0.99	0.0057	0	0	0	0	0	0	0	0.46	0.44	0.08	0.47	0.18
29	0	0	0	0	0	0	0	1	7	0.051	0.054	0.08	0.052	0.037
30	0	0	0	0	0	0	1	0	6	0.2	0	0	0	0
31	0	1	0	0	0	0	0	0	1	0.54	0.51	0.36	0.53	0.33
32	0	0	0	0	0	1	0	0	5	0	0.054	0.08	0	0
33	1	0	0	0	0	0	0	0	0	0.46	0.44	0.08	0.47	0.18
34	0	0	1	0	0	0	0	7.8e-05	2	0.051	0	0	0	0.15
35	0	0	1	0	0	0	0	0	2	0.051	0	0	0	0.15
36	0	0	0	0	0	0	1	0	6	0.2	0	0	0	0
