SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	0	0	0	0	0	0	1	0	0	0	0	6	0.051	0.054	0.04	0.052	0.037
1	1	0	0	0	0	0	0	0	0	0	0	0	0.2	0.27	0	0.21	0.037
2	0	1	0	0	0	0	0	0	0	0	0	1	0.46	0.44	0.04	0.42	0.15
3	0	0	0	0	0	0	0	0	1	0	0	8	0	0.22	0	0	0
4	1	0	0	0	0	0	0	0	0	0	0	0	0.2	0.27	0	0.21	0.037
5	0	0	0	0	0	1	0	0	0	0	0	5	0.2	0	0	0	0
6	0	1	0	0	0	0	0	0	0	0	0	1	0.46	0.44	0.04	0.42	0.15
7	0	1	0	0	0	0	0	0	0	0	0	1	0.46	0.44	0.04	0.42	0.15
8	0	0	0	0.5	0.5	0	0	0	0	0	0.00025	3	0.54	0.51	0.36	0.53	0.33
9	0	0	0	0	0	0	0	0	1	0	0	8	0	0.22	0	0	0
10	0	0	0	0	0	0	0	0	1	0	0	8	0	0.22	0	0	0
11	0	0	0	0	0	0	1	0	0	0	0	6	0.051	0.054	0.04	0.052	0.037
12	0	0	0	0	0	0	0	0	1	0	0	8	0	0.22	0	0	0
13	0	0.053	0	0.47	0.47	0	0	0	0	0	5.1e-05	3	0.54	0.51	0.36	0.53	0.33
14	0	0	0	0	0	1	0	0	0	0	0	5	0.2	0	0	0	0
15	0	0	0	0	0	0	1	0	0	0	0	6	0.051	0.054	0.04	0.052	0.037
16	0	0	0	0	0	0	0	0	1	0	0	8	0	0.22	0	0	0
17	1	0	0	0	0	0	0	0	0	0	0	0	0.2	0.27	0	0.21	0.037
18	0	1	0	0	0	0	0	0	0	0	0	1	0.46	0.44	0.04	0.42	0.15
19	0	1	0	0	0	0	0	0	0	0	0	1	0.46	0.44	0.04	0.42	0.15
20	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0.18
21	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0.18
22	0	0	0	0	0	0	1	0	0	0	0	6	0.051	0.054	0.04	0.052	0.037
23	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0.12	0	0.037
24	0	0	0.0035	0	0	0	0	0	0	1	0	9	0	0	0	0	0.18
25	0	0	0	0.5	0.5	0	0	0	0	0	0	3	0.54	0.51	0.36	0.53	0.33
26	0	0	0	0	0	0	1	0	0	0	0	6	0.051	0.054	0.04	0.052	0.037
27	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0.073
28	0	0.97	0	0.014	0.014	0	0	0	0	0	1.4e-05	1	0.46	0.44	0.04	0.42	0.15
29	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0.12	0	0.037
30	0	0	0	0	0	1	0	0	0	0	0	5	0.2	0	0	0	0
31	0	0	0	0.5	0.5	0	0	0	0	0	0	3	0.54	0.51	0.36	0.53	0.33
32	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0.12	0	0.037
33	0	1	0	0	0	0	0	0	0	0	0	1	0.46	0.44	0.04	0.42	0.15
34	0	0	0	0	0	0	1	0	0	0	0	6	0.051	0.054	0.04	0.052	0.037
35	0	0	0.47	0	0	0	0	0	0	0.53	0	9	0	0	0	0	0.18
36	0	0	0	0	0	1	0	0	0	0	0	5	0.2	0	0	0	0
37	0	0	0	0	0	0	1	0	0	0	0	6	0.051	0.054	0.04	0.052	0.037
38	0	1	0	0	0	0	0	0	0	0	0	1	0.46	0.44	0.04	0.42	0.15
39	0.2	0.8	0	0	0	0	0	0	0	0	0	1	0.46	0.44	0.04	0.42	0.15
40	0	0	0.0041	0	0	0	0	0	0	1	0	9	0	0	0	0	0.18
41	0	0	0	0	0	0	0	0	0	0	1	10	0.54	0.51	0.5	0.69	0.4
42	0	1	0	0	0	0	0	0	0	0	0	1	0.46	0.44	0.04	0.42	0.15
43	0	0	0	0.5	0.5	0	0	0	0	0	0	3	0.54	0.51	0.36	0.53	0.33
44	0	0	0	0.5	0.5	0	0	0	0	0	6.6e-06	3	0.54	0.51	0.36	0.53	0.33
45	0	0	0	0	0	0	0	0	0	0	1	10	0.54	0.51	0.5	0.69	0.4
46	0	1	0	6.8e-06	6.8e-06	0	0	0	0	0	0	1	0.46	0.44	0.04	0.42	0.15
47	0	0	0	0	0	0	0	0	0	0	1	10	0.54	0.51	0.5	0.69	0.4
48	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0.12	0	0.037
49	0	0	0	0	0	0	1	0	0	0	0	6	0.051	0.054	0.04	0.052	0.037
50	0	0	0	0	0	1	0	0	0	0	0	5	0.2	0	0	0	0
51	0	1	0	0	0	0	0	0	0	0	0	1	0.46	0.44	0.04	0.42	0.15
52	0	0	0	0.5	0.5	0	0	0	0	0	0	3	0.54	0.51	0.36	0.53	0.33
