SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	1	0	0	0	0.051	0.054	0.04	0	0.037
1	0	0	1	2	0.31	0.27	0.04	0.26	0.073
2	0	0	1	2	0.31	0.27	0.04	0.26	0.073
3	1	0	0	0	0.051	0.054	0.04	0	0.037
4	0	0	1	2	0.31	0.27	0.04	0.26	0.073
5	1	0	0	0	0.051	0.054	0.04	0	0.037
6	0	1	4.9e-06	1	0.54	0.51	0.36	0.53	0.33
7	0	0	1	2	0.31	0.27	0.04	0.26	0.073
8	0	1	0	1	0.54	0.51	0.36	0.53	0.33
9	1	0	0	0	0.051	0.054	0.04	0	0.037
10	1	0	0	0	0.051	0.054	0.04	0	0.037
11	1	0	0	0	0.051	0.054	0.04	0	0.037
12	1	0	0	0	0.051	0.054	0.04	0	0.037
13	0	1	0	1	0.54	0.51	0.36	0.53	0.33
14	1	0	0	0	0.051	0.054	0.04	0	0.037
15	0	0	1	2	0.31	0.27	0.04	0.26	0.073
16	1	0	0.0011	0	0.051	0.054	0.04	0	0.037
17	0	0	1	2	0.31	0.27	0.04	0.26	0.073
18	0	3.5e-05	1	2	0.31	0.27	0.04	0.26	0.073
19	0	0	1	2	0.31	0.27	0.04	0.26	0.073
20	1	0	0	0	0.051	0.054	0.04	0	0.037
21	1	0	0	0	0.051	0.054	0.04	0	0.037
22	1	0	0	0	0.051	0.054	0.04	0	0.037
23	1	0	0	0	0.051	0.054	0.04	0	0.037
24	1	0	0	0	0.051	0.054	0.04	0	0.037
25	0	1	0	1	0.54	0.51	0.36	0.53	0.33
26	0	0	1	2	0.31	0.27	0.04	0.26	0.073
27	1	0	0	0	0.051	0.054	0.04	0	0.037
28	0	0.63	0.37	1	0.54	0.51	0.36	0.53	0.33
29	1	0	0	0	0.051	0.054	0.04	0	0.037
30	1	0	0	0	0.051	0.054	0.04	0	0.037
31	0	1	0	1	0.54	0.51	0.36	0.53	0.33
32	1	0	0	0	0.051	0.054	0.04	0	0.037
33	0	0	1	2	0.31	0.27	0.04	0.26	0.073
34	1	0	0	0	0.051	0.054	0.04	0	0.037
35	1	0	0	0	0.051	0.054	0.04	0	0.037
36	1	0	0	0	0.051	0.054	0.04	0	0.037
37	1	0	0	0	0.051	0.054	0.04	0	0.037
38	0	0	1	2	0.31	0.27	0.04	0.26	0.073
39	0	0	1	2	0.31	0.27	0.04	0.26	0.073
40	1	0	0	0	0.051	0.054	0.04	0	0.037
41	0	1	0	1	0.54	0.51	0.36	0.53	0.33
42	0	1	7.4e-06	1	0.54	0.51	0.36	0.53	0.33
43	0	1	0	1	0.54	0.51	0.36	0.53	0.33
44	0	1	0	1	0.54	0.51	0.36	0.53	0.33
45	0	1	0	1	0.54	0.51	0.36	0.53	0.33
46	0	1	0	1	0.54	0.51	0.36	0.53	0.33
47	0	1	0	1	0.54	0.51	0.36	0.53	0.33
48	1	0	0	0	0.051	0.054	0.04	0	0.037
49	1	0	0	0	0.051	0.054	0.04	0	0.037
50	1	0	0	0	0.051	0.054	0.04	0	0.037
51	0	0.014	0.99	2	0.31	0.27	0.04	0.26	0.073
52	0	1	0	1	0.54	0.51	0.36	0.53	0.33
53	0	1	0	1	0.54	0.51	0.36	0.53	0.33
54	0	1	0	1	0.54	0.51	0.36	0.53	0.33
55	1	0	0	0	0.051	0.054	0.04	0	0.037
56	1	0	0	0	0.051	0.054	0.04	0	0.037
57	1	0	0	0	0.051	0.054	0.04	0	0.037
58	0	1	0	1	0.54	0.51	0.36	0.53	0.33
59	1	0	0	0	0.051	0.054	0.04	0	0.037
60	1	0	0	0	0.051	0.054	0.04	0	0.037
61	1	0	0	0	0.051	0.054	0.04	0	0.037
62	1	0	0	0	0.051	0.054	0.04	0	0.037
63	0	1	0	1	0.54	0.51	0.36	0.53	0.33
64	1	0	0	0	0.051	0.054	0.04	0	0.037
65	1	0	0	0	0.051	0.054	0.04	0	0.037
66	1	0	0	0	0.051	0.054	0.04	0	0.037
67	1	0	0	0	0.051	0.054	0.04	0	0.037
68	0	1	0	1	0.54	0.51	0.36	0.53	0.33
69	0	1	0	1	0.54	0.51	0.36	0.53	0.33
70	1	0	0	0	0.051	0.054	0.04	0	0.037
71	1	0	0	0	0.051	0.054	0.04	0	0.037
72	1	0	0	0	0.051	0.054	0.04	0	0.037
73	1	0	0	0	0.051	0.054	0.04	0	0.037
74	1	0	0	0	0.051	0.054	0.04	0	0.037
75	0	0	1	2	0.31	0.27	0.04	0.26	0.073
76	1	0	0	0	0.051	0.054	0.04	0	0.037
77	0	0	1	2	0.31	0.27	0.04	0.26	0.073
78	1	0	0	0	0.051	0.054	0.04	0	0.037
79	1	0.00014	1.6e-05	0	0.051	0.054	0.04	0	0.037
80	1	0	0	0	0.051	0.054	0.04	0	0.037
81	0	0	1	2	0.31	0.27	0.04	0.26	0.073
82	0	0	1	2	0.31	0.27	0.04	0.26	0.073
83	0	0	1	2	0.31	0.27	0.04	0.26	0.073
84	1	0	0	0	0.051	0.054	0.04	0	0.037
85	0	1	0	1	0.54	0.51	0.36	0.53	0.33
86	0	1	0.00011	1	0.54	0.51	0.36	0.53	0.33
