SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
1	0	1	0	1.5e-05	0	0	1	0.1	0.054	0.04	0.052	0.037
2	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
3	1	0	0	0	0	0	0	0.051	0.22	0	0.052	0
4	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
5	0	0	1	0	0	0	2	0.2	0	0	0	0
6	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
7	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
8	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
9	1	0	0	0	0	0	0	0.051	0.22	0	0.052	0
10	1	0	0	0	0	0	0	0.051	0.22	0	0.052	0
11	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
12	1	0	0	0	0	0	0	0.051	0.22	0	0.052	0
13	0	0	0	0.058	0.94	0	4	0.54	0.51	0.36	0.53	0.33
14	0	0	1	0	0	0	2	0.2	0	0	0	0
15	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
16	1	0	0	0	0	0	0	0.051	0.22	0	0.052	0
17	1	0	0	0	0	0	0	0.051	0.22	0	0.052	0
18	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
19	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
20	0	0	0	0	0	1	5	0	0	0.04	0	0.073
21	0	0	0	0	0	1	5	0	0	0.04	0	0.073
22	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
23	0	0	0	0	0	1	5	0	0	0.04	0	0.073
24	0	0	0	0	0	1	5	0	0	0.04	0	0.073
25	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
26	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
27	0	0	0	0	0	1	5	0	0	0.04	0	0.073
28	0	0	0	0.98	0.025	0	3	0.46	0.44	0.04	0.42	0.15
29	0	0	0	0	0	1	5	0	0	0.04	0	0.073
30	0	0	1	0	0	0	2	0.2	0	0	0	0
31	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
32	0	0	0	0	0	1	5	0	0	0.04	0	0.073
33	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
34	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
35	0	0	0	0	0	1	5	0	0	0.04	0	0.073
36	0	0	1	0	0	0	2	0.2	0	0	0	0
37	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
38	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
39	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
40	0	0	0	0	0	1	5	0	0	0.04	0	0.073
41	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
42	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
43	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
44	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
45	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
46	0	0	0	1	1.2e-05	0	3	0.46	0.44	0.04	0.42	0.15
47	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
48	0	0	0	0	0	1	5	0	0	0.04	0	0.073
49	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
50	0	0	1	0	0	0	2	0.2	0	0	0	0
51	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
52	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
53	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
54	0	0	0	1	0.0016	0	3	0.46	0.44	0.04	0.42	0.15
55	0	0	0	0	0	1	5	0	0	0.04	0	0.073
56	0	0	0	0	0	1	5	0	0	0.04	0	0.073
57	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
58	0	0	0	1	0.0044	0	3	0.46	0.44	0.04	0.42	0.15
59	1	0	0	0	0	0	0	0.051	0.22	0	0.052	0
60	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
61	1	0	0	0	0	0	0	0.051	0.22	0	0.052	0
62	0	0	1	0	0	0	2	0.2	0	0	0	0
63	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
64	0	0	1	0	0	0	2	0.2	0	0	0	0
65	0	0	0	0	0	1	5	0	0	0.04	0	0.073
66	1	0	0	0	0	0	0	0.051	0.22	0	0.052	0
67	1	0	0	0	0	0	0	0.051	0.22	0	0.052	0
68	0	0	0	0.0027	1	0	4	0.54	0.51	0.36	0.53	0.33
69	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
70	1	0	0	0	0	0	0	0.051	0.22	0	0.052	0
71	0	0	0	0	0	1	5	0	0	0.04	0	0.073
72	0	0	0	0	0	1	5	0	0	0.04	0	0.073
73	0	0	0	0	0	1	5	0	0	0.04	0	0.073
74	0	0	0	0	0	1	5	0	0	0.04	0	0.073
75	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
76	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
77	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
78	0	0	0	0	0	1	5	0	0	0.04	0	0.073
79	1	2.2e-05	0	0	0	0	0	0.051	0.22	0	0.052	0
80	1	0	0	0	0	0	0	0.051	0.22	0	0.052	0
81	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
82	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
83	1	0	0	0	0	0	0	0.051	0.22	0	0.052	0
84	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
85	0	0	0	0.41	0.59	0	4	0.54	0.51	0.36	0.53	0.33
86	0	0	0	0.99	0.011	0	3	0.46	0.44	0.04	0.42	0.15
87	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
88	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
89	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
90	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
91	0	0	0	0	0	1	5	0	0	0.04	0	0.073
92	0	0	1	0	0	0	2	0.2	0	0	0	0
93	0	0.95	0	0.05	0	0	1	0.1	0.054	0.04	0.052	0.037
94	0	0	0	1	0.00011	0	3	0.46	0.44	0.04	0.42	0.15
95	0	1.3e-05	0	0	0	1	5	0	0	0.04	0	0.073
96	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
97	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
98	0	0	0	1	9.9e-06	0	3	0.46	0.44	0.04	0.42	0.15
99	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
100	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
101	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
102	1	0	0	0	0	0	0	0.051	0.22	0	0.052	0
103	1	0	0	0	0	0	0	0.051	0.22	0	0.052	0
104	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
105	0	0	1	0	0	0	2	0.2	0	0	0	0
106	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
107	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
108	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
109	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
110	0	0	0	0	0	1	5	0	0	0.04	0	0.073
111	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
112	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
113	1	0.0002	0	0	0	0	0	0.051	0.22	0	0.052	0
114	0	0	0	0	0	1	5	0	0	0.04	0	0.073
115	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
116	0	0	1	0	0	0	2	0.2	0	0	0	0
117	1	0	0	0	0	0	0	0.051	0.22	0	0.052	0
118	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
119	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
120	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
121	0	0	0	0	0	1	5	0	0	0.04	0	0.073
122	0	0	1	0	0	0	2	0.2	0	0	0	0
123	0	0	1	0	0	0	2	0.2	0	0	0	0
124	0	0	0	0	0	1	5	0	0	0.04	0	0.073
125	0	0	0	0	0	1	5	0	0	0.04	0	0.073
126	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
127	0	0	0	0	0	1	5	0	0	0.04	0	0.073
128	0	0	0	0	0	1	5	0	0	0.04	0	0.073
129	0	0	0	0	0	1	5	0	0	0.04	0	0.073
130	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
131	1	0	0	0	0	0	0	0.051	0.22	0	0.052	0
132	0	0	0	0	0	1	5	0	0	0.04	0	0.073
133	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
134	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
135	0	0	0	0	0	1	5	0	0	0.04	0	0.073
136	0	0	1	0	0	0	2	0.2	0	0	0	0
137	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
138	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
139	1	0	0	0	0	0	0	0.051	0.22	0	0.052	0
140	0	0	0	1	0	0	3	0.46	0.44	0.04	0.42	0.15
141	0	0	0	0	0	1	5	0	0	0.04	0	0.073
142	0.0023	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
143	0	0	0	0	0	1	5	0	0	0.04	0	0.073
144	0	0	0	0	0	1	5	0	0	0.04	0	0.073
145	0	0	0	0	0	1	5	0	0	0.04	0	0.073
146	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
147	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
148	0	0	1	0	0	0	2	0.2	0	0	0	0
149	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
150	0	0	0	0	0	1	5	0	0	0.04	0	0.073
151	0	0	0	0	0	1	5	0	0	0.04	0	0.073
152	0	3.6e-06	0	0	0	1	5	0	0	0.04	0	0.073
153	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
154	0	0	0	0	1	0	4	0.54	0.51	0.36	0.53	0.33
155	0	0	1	0	0	0	2	0.2	0	0	0	0
156	0	1	0	0	0	0	1	0.1	0.054	0.04	0.052	0.037
157	0	0	0	0	0	1	5	0	0	0.04	0	0.073
158	0.97	0	0	0.026	0	0	0	0.051	0.22	0	0.052	0
