k	loglikelihood	observations	parameters	BIC
1	-16563.7	11612	8	33202.3
2	-9126.34	11612	12	18365
3	-8146.79	11612	16	16443.3
4	-8026.56	11612	20	16240.3
5	-6697.78	11612	24	13620.2
6	-6301.4	11612	28	12864.9
7	-7004.83	11612	32	14309.2
8	-6141.45	11612	36	12619.8
9	-6265.18	11612	40	12904.8
10	-5777.69	11612	44	11967.2
11	-5803.61	11612	48	12056.5
12	-4928.64	11612	52	10344
13	-5060.4	11612	56	10644.9
14	-5028.23	11612	60	10618
15	-4945.91	11612	64	10490.8
16	-4691.66	11612	68	10019.8
17	-5446.93	11612	72	11567.8
18	-4850.66	11612	76	10412.7
19	-4925.03	11612	80	10598.9
20	-1.79769e+308	11612	84	inf
