SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0	dcf1	dcf2
0	0	0.00095	0.017	0.15	0.053	0.00031	0.2	0.057	0.48	0.045	0	0	8	0.22	0.47	0.22
1	0	3.3e-06	0.0094	0.082	0.78	0	0.13	0	3.9e-05	0	0	2.2e-06	4	0.14	0.26	0.14
2	0	0	0.0044	0.026	0.036	0	0.66	0	0.28	0	0	0	6	0.14	0.37	0.14
3	0.0012	0	5.9e-05	3.1e-05	1	0	0.00025	0	0	0	0	0	4	0.14	0.26	0.14
4	0	0.0091	0.005	2.1e-06	0.0058	1.1e-05	0.75	0.00049	0.23	0.00039	0	0	6	0.14	0.37	0.14
5	0	2.9e-06	0.015	0.12	0.33	0	0.073	0	0.45	0	0	0	8	0.22	0.47	0.22
6	0	0	0	0	2.4e-06	5e-05	0.97	0.00082	0.026	0.00065	0	0	6	0.14	0.37	0.14
7	0	0.14	0.39	0.0012	0.27	1.3e-06	0.18	0.00035	0.013	0.00028	0	0	2	0.14	0.26	0.22
8	0	0.97	0.021	0	0.0018	0	0.00053	0	0.0022	0	0	0	1	0.22	0.26	0.3
9	0	7.7e-06	0.92	4.4e-06	0.072	0	0.004	0	0.0015	0	0	0	2	0.14	0.26	0.22
10	0	0	0	0	0	0	0.99	1.5e-06	0.011	1.2e-06	0	0	6	0.14	0.37	0.14
11	0	0	0.0039	0.00039	0.2	0	0.79	0	0.00021	0	0	0	6	0.14	0.37	0.14
12	0	0	0.011	1.1e-05	0.73	0	0.25	0	0	0	0	0	4	0.14	0.26	0.14
13	0	0.00017	0.0022	0.06	0.036	0.0016	0.29	0.12	0.4	0.094	0	0	8	0.22	0.47	0.22
14	0	0	0	0.0012	0.94	0	0.055	0	0	0	0	3e-06	4	0.14	0.26	0.14
15	0	0.82	0.035	0	0.017	0	0.12	2.9e-06	0.0013	2.3e-06	0	0	1	0.22	0.26	0.3
16	0	0.00011	0.4	0	3.7e-05	0	2.5e-06	0	0.6	0	0	0	8	0.22	0.47	0.22
17	0	0.004	0.1	0.021	0.21	0	0.25	7.8e-05	0.42	6.1e-05	0	0	8	0.22	0.47	0.22
18	0	0.0058	0.003	0.0057	0.24	0.00028	0.58	0.067	0.044	0.053	0	0	6	0.14	0.37	0.14
19	0	0.0067	0.039	0.0011	0.03	8.2e-05	0.33	0.0064	0.58	0.005	0	0	8	0.22	0.47	0.22
20	0	0.00066	0.023	0.03	0.086	0	0.58	2e-06	0.28	0	0	0	6	0.14	0.37	0.14
21	0	0.088	0.22	0.0016	0.27	1.8e-05	0.35	0.0015	0.065	0.0012	0	0	6	0.14	0.37	0.14
22	0	0.00015	0	0	0.00026	3e-06	0.0074	8.1e-05	0.99	6.4e-05	0	0	8	0.22	0.47	0.22
23	0	0.051	0.27	0.016	0.23	5.8e-05	0.17	0.0057	0.24	0.0045	0	0	2	0.14	0.26	0.22
24	0	0.00025	0.024	0.062	0.3	0	0.49	1.3e-05	0.12	1e-05	0	0	6	0.14	0.37	0.14
25	0	0.016	0.022	0.0022	0.14	0	0.0034	0.00025	0.81	0.0002	0	0	8	0.22	0.47	0.22
26	0	0.00026	0.00038	0.011	0.74	0.0011	0.21	0.016	0.0078	0.013	0	0	4	0.14	0.26	0.14
27	0	0	0.0097	0.038	0.82	0	0.13	1.6e-06	0.0035	1.3e-06	0	0	4	0.14	0.26	0.14
28	1	0	0	0	0	0	0	0	0	0	0	0	0	0.062	0.12	0.062
29	0	0.00031	0.0012	0.0011	0.11	0.00039	0.83	0.029	0.0069	0.023	0	0	6	0.14	0.37	0.14
30	0	0.0046	0.74	0.0011	0.028	0	0.0044	6.7e-05	0.23	5.3e-05	0	0	2	0.14	0.26	0.22
31	0	0.022	0.18	0.022	0.57	5.9e-06	0.15	0.00075	0.046	0.00059	0	0	4	0.14	0.26	0.14
32	0	0	0.00013	0.19	0.81	0	0.00028	0	0.00078	0	0	0	4	0.14	0.26	0.14
33	0	0.0054	0.25	0.061	0.26	9.6e-06	0.18	0.0031	0.24	0.0024	0	0	4	0.14	0.26	0.14
34	0	0.0054	0.078	0.032	0.058	6.9e-06	0.02	0.0026	0.8	0.002	0	0	8	0.22	0.47	0.22
35	0	1.2e-06	0.011	0.32	0.13	0	0.00035	0	0.53	0	0	0	8	0.22	0.47	0.22
36	0	0.0083	0.09	0.014	0.81	1.7e-05	0.06	0.00027	0.021	0.00022	0	0	4	0.14	0.26	0.14
37	0	0.022	0.2	0.016	0.27	0.00011	0.13	0.0086	0.35	0.0068	0	0	8	0.22	0.47	0.22
38	1	0	0	0	0	0	0	0	0	0	0	0	0	0.062	0.12	0.062
