k	loglikelihood	observations	parameters	BIC
1	-10409.7	15759	6	20877.4
2	-9180.66	15759	9	18448.3
3	-8719.44	15759	12	17554.9
4	-8453.12	15759	15	17051.2
5	-7925.01	15759	18	16024
6	-7609.75	15759	21	15422.5
7	-7540.07	15759	24	15312.1
8	-7500.9	15759	27	15262.8
9	-7290.85	15759	30	14871.7
10	-7403.5	15759	33	15126
11	-7220.36	15759	36	14788.7
12	-7304.82	15759	39	14986.6
13	-7454.14	15759	42	15314.2
14	-7289.79	15759	45	15014.5
15	-7187.83	15759	48	14839.6
16	-7240.41	15759	51	14973.7
17	-7250.16	15759	54	15022.2
18	-7149.5	15759	57	14849.9
19	-7160.9	15759	60	14901.7
20	-7152.51	15759	63	14913.9
