SNV	cluster0	cluster	dcf0	dcf1	dcf2
0	1	0	0.14	0.26	0.14
1	1	0	0.14	0.26	0.14
2	1	0	0.14	0.26	0.14
3	1	0	0.14	0.26	0.14
4	1	0	0.14	0.26	0.14
5	1	0	0.14	0.26	0.14
6	1	0	0.14	0.26	0.14
7	1	0	0.14	0.26	0.14
8	1	0	0.14	0.26	0.14
9	1	0	0.14	0.26	0.14
10	1	0	0.14	0.26	0.14
11	1	0	0.14	0.26	0.14
12	1	0	0.14	0.26	0.14
13	1	0	0.14	0.26	0.14
14	1	0	0.14	0.26	0.14
15	1	0	0.14	0.26	0.14
16	1	0	0.14	0.26	0.14
17	1	0	0.14	0.26	0.14
18	1	0	0.14	0.26	0.14
19	1	0	0.14	0.26	0.14
20	1	0	0.14	0.26	0.14
21	1	0	0.14	0.26	0.14
22	1	0	0.14	0.26	0.14
23	1	0	0.14	0.26	0.14
24	1	0	0.14	0.26	0.14
25	1	0	0.14	0.26	0.14
26	1	0	0.14	0.26	0.14
27	1	0	0.14	0.26	0.14
28	1	0	0.14	0.26	0.14
29	1	0	0.14	0.26	0.14
30	1	0	0.14	0.26	0.14
31	1	0	0.14	0.26	0.14
32	1	0	0.14	0.26	0.14
33	1	0	0.14	0.26	0.14
34	1	0	0.14	0.26	0.14
35	1	0	0.14	0.26	0.14
36	1	0	0.14	0.26	0.14
37	1	0	0.14	0.26	0.14
38	1	0	0.14	0.26	0.14
39	1	0	0.14	0.26	0.14
40	1	0	0.14	0.26	0.14
41	1	0	0.14	0.26	0.14
42	1	0	0.14	0.26	0.14
43	1	0	0.14	0.26	0.14
44	1	0	0.14	0.26	0.14
45	1	0	0.14	0.26	0.14
46	1	0	0.14	0.26	0.14
47	1	0	0.14	0.26	0.14
48	1	0	0.14	0.26	0.14
49	1	0	0.14	0.26	0.14
50	1	0	0.14	0.26	0.14
51	1	0	0.14	0.26	0.14
52	1	0	0.14	0.26	0.14
53	1	0	0.14	0.26	0.14
54	1	0	0.14	0.26	0.14
55	1	0	0.14	0.26	0.14
56	1	0	0.14	0.26	0.14
57	1	0	0.14	0.26	0.14
58	1	0	0.14	0.26	0.14
59	1	0	0.14	0.26	0.14
60	1	0	0.14	0.26	0.14
61	1	0	0.14	0.26	0.14
62	1	0	0.14	0.26	0.14
63	1	0	0.14	0.26	0.14
64	1	0	0.14	0.26	0.14
65	1	0	0.14	0.26	0.14
66	1	0	0.14	0.26	0.14
67	1	0	0.14	0.26	0.14
68	1	0	0.14	0.26	0.14
69	1	0	0.14	0.26	0.14
70	1	0	0.14	0.26	0.14
