SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2
0	0.043	0.95	0.0072	1	0.22	0.42	0.22
1	0.99	0.00028	0.0062	0	0.14	0.26	0.14
2	0.056	0.94	0.0035	1	0.22	0.42	0.22
3	1	0	3.1e-05	0	0.14	0.26	0.14
4	0.033	0.95	0.015	1	0.22	0.42	0.22
5	0.54	0.45	0.013	0	0.14	0.26	0.14
6	8.3e-05	1	0	1	0.22	0.42	0.22
7	0.57	0.018	0.42	0	0.14	0.26	0.14
8	0.14	0.015	0.84	2	0.14	0.26	0.22
9	0.13	0.00085	0.87	2	0.14	0.26	0.22
10	0	1	0	1	0.22	0.42	0.22
11	0.99	0.0025	0.0097	0	0.14	0.26	0.14
12	0.99	0	0.0075	0	0.14	0.26	0.14
13	0.11	0.89	0.0033	1	0.22	0.42	0.22
14	1	0	0	0	0.14	0.26	0.14
15	0.38	0.22	0.4	2	0.14	0.26	0.22
16	7.2e-05	0.6	0.4	1	0.22	0.42	0.22
17	0.3	0.62	0.074	1	0.22	0.42	0.22
18	0.72	0.28	0.0047	0	0.14	0.26	0.14
19	0.092	0.85	0.061	1	0.22	0.42	0.22
20	0.12	0.87	0.016	1	0.22	0.42	0.22
21	0.61	0.12	0.26	0	0.14	0.26	0.14
22	9.2e-05	1	0	1	0.22	0.42	0.22
23	0.45	0.27	0.28	0	0.14	0.26	0.14
24	0.61	0.36	0.024	0	0.14	0.26	0.14
25	0.23	0.76	0.018	1	0.22	0.42	0.22
26	0.99	0.0053	0.00026	0	0.14	0.26	0.14
27	0.99	0.00069	0.006	0	0.14	0.26	0.14
28	1	0	0	0	0.14	0.26	0.14
29	0.91	0.084	0.005	0	0.14	0.26	0.14
30	0.064	0.069	0.87	2	0.14	0.26	0.22
31	0.85	0.014	0.14	0	0.14	0.26	0.14
32	1	4.9e-05	8.4e-05	0	0.14	0.26	0.14
33	0.53	0.21	0.26	0	0.14	0.26	0.14
34	0.17	0.72	0.12	1	0.22	0.42	0.22
35	0.74	0.23	0.031	0	0.14	0.26	0.14
36	0.94	0.0062	0.054	0	0.14	0.26	0.14
37	0.49	0.33	0.18	0	0.14	0.26	0.14
38	1	0	0	0	0.14	0.26	0.14
39	0.12	0.7	0.18	1	0.22	0.42	0.22
40	1	4.1e-05	6.8e-06	0	0.14	0.26	0.14
41	0.42	0.5	0.075	1	0.22	0.42	0.22
42	0.69	0.085	0.22	0	0.14	0.26	0.14
43	0.12	0.88	1.8e-05	1	0.22	0.42	0.22
44	0.69	0.22	0.094	0	0.14	0.26	0.14
45	0.31	1e-05	0.69	2	0.14	0.26	0.22
46	0.78	0.0039	0.22	0	0.14	0.26	0.14
47	0.89	0.098	0.012	0	0.14	0.26	0.14
48	0.051	0.37	0.58	2	0.14	0.26	0.22
49	0.85	0.055	0.097	0	0.14	0.26	0.14
50	0.038	0.95	0.016	1	0.22	0.42	0.22
51	0.46	0.044	0.49	2	0.14	0.26	0.22
52	0.0052	0.42	0.58	2	0.14	0.26	0.22
53	0.0095	0.99	0.00039	1	0.22	0.42	0.22
54	1	0	0	0	0.14	0.26	0.14
55	0.63	0.33	0.045	0	0.14	0.26	0.14
56	1	0	0	0	0.14	0.26	0.14
57	0.01	0.9	0.09	1	0.22	0.42	0.22
58	0.0089	0.98	0.0066	1	0.22	0.42	0.22
59	0.0015	1	0.00064	1	0.22	0.42	0.22
60	0.49	0.2	0.3	0	0.14	0.26	0.14
61	1	0	0.00073	0	0.14	0.26	0.14
62	1	0	0.00012	0	0.14	0.26	0.14
63	1	0	0.0002	0	0.14	0.26	0.14
64	1	0	0.00066	0	0.14	0.26	0.14
65	0.96	0.0031	0.037	0	0.14	0.26	0.14
66	1	0	0.00017	0	0.14	0.26	0.14
67	0.99	0	0.0053	0	0.14	0.26	0.14
68	1	1.6e-05	2.5e-05	0	0.14	0.26	0.14
69	0.87	0.055	0.07	0	0.14	0.26	0.14
70	0.00014	0.032	0.97	2	0.14	0.26	0.22
71	1	0	5.6e-06	0	0.14	0.26	0.14
72	0.7	0.23	0.067	0	0.14	0.26	0.14
73	1	0	0	0	0.14	0.26	0.14
74	0.9	0.023	0.075	0	0.14	0.26	0.14
75	1	3.1e-06	0.0036	0	0.14	0.26	0.14
76	0.96	0.012	0.026	0	0.14	0.26	0.14
77	0.79	0.16	0.052	0	0.14	0.26	0.14
78	0.91	0.026	0.064	0	0.14	0.26	0.14
79	0.78	0.21	0.00097	0	0.14	0.26	0.14
80	0.83	0.16	0.016	0	0.14	0.26	0.14
81	0.51	0.49	0.00027	0	0.14	0.26	0.14
82	0.00018	0.98	0.023	1	0.22	0.42	0.22
83	0.83	0.13	0.044	0	0.14	0.26	0.14
84	1	0	0	0	0.14	0.26	0.14
85	0.014	0.99	0.0013	1	0.22	0.42	0.22
86	0.97	0.023	0.0075	0	0.14	0.26	0.14
87	0.99	0	0.0088	0	0.14	0.26	0.14
88	0.99	0	0.0092	0	0.14	0.26	0.14
89	1	0	0	0	0.14	0.26	0.14
90	0.32	0.58	0.099	1	0.22	0.42	0.22
91	0.47	0.11	0.42	0	0.14	0.26	0.14
92	0.0034	0.99	0.0024	1	0.22	0.42	0.22
93	1	0	0	0	0.14	0.26	0.14
94	0.94	0.058	0.0022	0	0.14	0.26	0.14
95	0.89	0.093	0.019	0	0.14	0.26	0.14
96	0.2	0.8	0.00014	1	0.22	0.42	0.22
97	0.011	0.67	0.31	1	0.22	0.42	0.22
98	0.99	2.9e-06	0.01	0	0.14	0.26	0.14
99	0.7	0.23	0.066	0	0.14	0.26	0.14
100	0.65	0.33	0.029	0	0.14	0.26	0.14
101	0.93	8.5e-05	0.075	0	0.14	0.26	0.14
102	1	4.4e-06	0.0037	0	0.14	0.26	0.14
103	0.38	0.00097	0.62	2	0.14	0.26	0.22
104	0.19	0.81	0.0011	1	0.22	0.42	0.22
105	0.53	0.35	0.12	0	0.14	0.26	0.14
106	0.053	0.94	0.0048	1	0.22	0.42	0.22
107	0.95	0.014	0.032	0	0.14	0.26	0.14
108	0	1	0	1	0.22	0.42	0.22
109	0.3	0.65	0.051	1	0.22	0.42	0.22
110	0.021	0.56	0.42	1	0.22	0.42	0.22
111	0.018	0.98	0.0045	1	0.22	0.42	0.22
112	1	0	0	0	0.14	0.26	0.14
113	0.9	0.1	0.00056	0	0.14	0.26	0.14
114	0.016	0.98	2.7e-06	1	0.22	0.42	0.22
115	1	0	0.00063	0	0.14	0.26	0.14
116	0.0042	1	0	1	0.22	0.42	0.22
117	0.22	0.78	3.1e-06	1	0.22	0.42	0.22
118	0.99	0.0016	0.013	0	0.14	0.26	0.14
119	0.58	0.18	0.24	0	0.14	0.26	0.14
120	0.51	0.46	0.03	0	0.14	0.26	0.14
121	0.15	0.85	0.0015	1	0.22	0.42	0.22
122	0.0032	0.99	0.0036	1	0.22	0.42	0.22
