k	loglikelihood	observations	parameters	BIC
1	-12977.5	12752	8	26030.6
2	-8734.46	12752	12	17582.4
3	-8552.76	12752	16	17256.8
4	-7473.98	12752	20	15137
5	-7681.94	12752	24	15590.8
6	-7674.47	12752	28	15613.6
7	-7206.17	12752	32	14714.9
8	-7606.17	12752	36	15552.7
9	-7594.62	12752	40	15567.4
10	-7260.23	12752	44	14936.4
11	-6127.75	12752	48	12709.3
12	-6283.68	12752	52	13058.9
13	-6301.07	12752	56	13131.5
14	-5904.07	12752	60	12375.4
15	-1.79769e+308	12752	64	inf
16	-1.79769e+308	12752	68	inf
17	-1.79769e+308	12752	72	inf
18	-1.79769e+308	12752	76	inf
19	-1.79769e+308	12752	80	inf
20	-1.79769e+308	12752	84	inf
