SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2	dcf3
0	1	0	9.4e-06	0	0.14	0.15	0.12	0.31
1	0.00016	1	0	1	0.062	0.033	0.027	0.1
2	0	1	0	1	0.062	0.033	0.027	0.1
3	0.79	0	0.21	0	0.14	0.15	0.12	0.31
4	1	0	0.00088	0	0.14	0.15	0.12	0.31
5	1	0	0.00032	0	0.14	0.15	0.12	0.31
6	0	1	0	1	0.062	0.033	0.027	0.1
7	0.83	0	0.17	0	0.14	0.15	0.12	0.31
8	1	0	0	0	0.14	0.15	0.12	0.31
9	0	1	0	1	0.062	0.033	0.027	0.1
10	0.00017	1	0	1	0.062	0.033	0.027	0.1
11	0	1	0	1	0.062	0.033	0.027	0.1
12	0	1	0	1	0.062	0.033	0.027	0.1
13	0	1	0	1	0.062	0.033	0.027	0.1
14	0	1	0	1	0.062	0.033	0.027	0.1
15	0	1	0	1	0.062	0.033	0.027	0.1
16	0.94	0	0.064	0	0.14	0.15	0.12	0.31
17	2e-05	1	0	1	0.062	0.033	0.027	0.1
18	0.99	0	0.0059	0	0.14	0.15	0.12	0.31
19	0.94	0	0.056	0	0.14	0.15	0.12	0.31
20	0.31	0.69	0.0017	1	0.062	0.033	0.027	0.1
21	1	0	0.00025	0	0.14	0.15	0.12	0.31
22	0.91	0	0.091	0	0.14	0.15	0.12	0.31
23	1	8.2e-05	0.00053	0	0.14	0.15	0.12	0.31
24	1	0	0	0	0.14	0.15	0.12	0.31
25	1	0	3.4e-05	0	0.14	0.15	0.12	0.31
26	1	8e-06	0	0	0.14	0.15	0.12	0.31
27	1	0	0	0	0.14	0.15	0.12	0.31
28	0.93	0	0.065	0	0.14	0.15	0.12	0.31
29	0	1	0	1	0.062	0.033	0.027	0.1
30	1	0	0	0	0.14	0.15	0.12	0.31
31	0.9	0	0.096	0	0.14	0.15	0.12	0.31
32	1	0	0.00059	0	0.14	0.15	0.12	0.31
33	0.00049	1	0	1	0.062	0.033	0.027	0.1
34	1	0	0	0	0.14	0.15	0.12	0.31
35	0	1	0	1	0.062	0.033	0.027	0.1
36	0	1	0	1	0.062	0.033	0.027	0.1
37	1	0	0.00023	0	0.14	0.15	0.12	0.31
38	0.77	0	0.23	0	0.14	0.15	0.12	0.31
39	0.81	0	0.19	0	0.14	0.15	0.12	0.31
40	0.98	0.017	0	0	0.14	0.15	0.12	0.31
41	0	1	0	1	0.062	0.033	0.027	0.1
42	1	0	0	0	0.14	0.15	0.12	0.31
43	1	0	1.1e-05	0	0.14	0.15	0.12	0.31
44	1	0	0.0047	0	0.14	0.15	0.12	0.31
45	1	0	0.00096	0	0.14	0.15	0.12	0.31
46	1	0	0	0	0.14	0.15	0.12	0.31
47	0.43	0	0.57	2	0.14	0.23	0.12	0.31
