SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1	dcf2	dcf3
0	0.00032	0	1	0	0	0	0	0	2	0.14	0.15	0.12	0.31
1	0	1	0	0	0	0.0014	0	0	1	0	0	0	0.17
2	0	0	0	0	0	0	0	1	7	0	0.083	0.013	0
3	0.017	0	0.98	0	0	0	2.1e-05	0	2	0.14	0.15	0.12	0.31
4	1	0	0.00059	0	0	0	0.0017	0	0	0.22	0.15	0.12	0.35
5	0.016	0	0.98	0	0	0	0	0	2	0.14	0.15	0.12	0.31
6	0	0	0	0	0	1	0	0	5	0.14	0	0.027	0.31
7	0.00062	0	0.7	0	0	0	0.3	0	2	0.14	0.15	0.12	0.31
8	0	0	0	0	0	1	0	0	5	0.14	0	0.027	0.31
9	0	0	0	0	0	0	0	1	7	0	0.083	0.013	0
10	0	1	0	0	0	0.0031	0	0	1	0	0	0	0.17
11	0	0	0	0	0	1	0	0	5	0.14	0	0.027	0.31
12	0	0	0	0	0	1	0	0	5	0.14	0	0.027	0.31
13	0	1	0	0	0	0	0	0	1	0	0	0	0.17
14	0	0	0	0	0	1	0	0	5	0.14	0	0.027	0.31
15	0	0	1	0	0	0	0	0	2	0.14	0.15	0.12	0.31
16	0.15	0	0.85	0	0	0	0.0016	0	2	0.14	0.15	0.12	0.31
17	0	0	0	0	0	1	0	0	5	0.14	0	0.027	0.31
18	0	0	1	0	0	0	0	0	2	0.14	0.15	0.12	0.31
19	0.019	0	0.98	0	0	0	0	0	2	0.14	0.15	0.12	0.31
20	0.066	0	0.93	0	0	0	3e-06	0	2	0.14	0.15	0.12	0.31
21	2.2e-05	0	1	0	0	0	0	0	2	0.14	0.15	0.12	0.31
22	0	0	1	0	0	0	0	0	2	0.14	0.15	0.12	0.31
23	0.049	0	0.95	0	0	0	0	0	2	0.14	0.15	0.12	0.31
24	0.0014	0	1	0	0	0	8.3e-06	0	2	0.14	0.15	0.12	0.31
25	0	0	1	0	0	0	7e-06	0	2	0.14	0.15	0.12	0.31
26	0	0	0.00085	0	0	0	0	1	7	0	0.083	0.013	0
27	0.014	0	0.99	0	0	0	6.8e-05	0	2	0.14	0.15	0.12	0.31
